treatment,reference,population,metric,denominator,before,after,delta_pp,lost,gained,both_success,both_failure,conditional_loss_denominator,conditional_recovery_denominator,new_nll_delta_mean,new_nll_delta_median,new_nll_delta_p90,new_nll_delta_p95,new_nll_delta_p99,new_nll_delta_min,new_nll_delta_max,true_nll_delta_mean,true_nll_delta_median,true_nll_delta_p90,true_nll_delta_p95,true_nll_delta_p99,true_nll_delta_min,true_nll_delta_max,desired_margin_delta_mean,desired_margin_delta_median,desired_margin_delta_p90,desired_margin_delta_p95,desired_margin_delta_p99,desired_margin_delta_min,desired_margin_delta_max,desired_NLL_harmed,request_clusters,CI95_low,CI95_high,CI
REFIT4,N4,W10_ALL1000,RS,1000,999,999,0.0,1,1,998,0,999,1,0.012847983975147144,0.0020303725759731606,0.0202593866037205,0.03185127968899905,0.10058822412276638,-5.028229221701622,15.058390617370605,-1.4205947497785092,-1.7645230293273926,2.608981990814209,5.072522926330566,8.76545878410339,-10.967730045318604,15.058398246765137,-1.4334427337536564,-1.7811523152922746,2.553546396644379,4.938998785330471,8.978847252953855,-11.000469344769954,16.43779895734042,830,1000,-0.3,0.3,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
REFIT4,N4,W10_ALL1000,PS,2000,1934,1929,-0.25,43,38,1891,28,1934,66,0.08717609475844984,0.03480311017483473,1.2818274617195131,2.102302426099776,4.21461177945137,-12.40081238746643,11.181169658899307,-0.6267173539996147,-0.6710200309753418,2.732219409942629,4.683364427089691,8.917921924591063,-15.588413715362549,13.563980102539062,-0.7138934487580646,-0.9093713704496622,3.1672592051094406,5.448108466714618,12.036250616014003,-19.720252841711044,20.366257209330797,1341,1000,-1.25,0.7000000000000001,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
REFIT4,N4,W10_ALL1000,NS,10000,8026,8187,1.6099999999999999,187,348,7839,1626,8026,1974,0.1932648067390288,0.1367335319519043,1.4373073577880862,2.0904971599578857,3.922134523391724,-10.071457598358393,12.281952857971191,-0.07968491754909628,-0.016666248440742493,0.957734966278077,1.4888408303260798,3.4297576951980595,-10.891290187835693,12.653990745544434,0.2729497242881251,0.1586070880293846,1.8813808321952827,2.744166421890258,5.130945475101471,-22.569631550461054,12.966368675231934,4790,1000,1.0697499999999998,2.13,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
L75,N4,W10_ALL1000,RS,1000,999,1000,0.1,0,1,999,0,999,1,0.015507129041597182,0.0016227551095653325,0.015190374280791733,0.025556560610129963,0.07874790656846009,-4.449646949768066,13.516547203063965,-0.9278616667687893,-1.3354392051696777,3.5284344196319584,6.316032457351682,11.945546627044665,-17.063312530517578,20.06995940208435,-0.9433687958103865,-1.3460917616030201,3.4766894983360555,6.288998961282412,12.38856350054458,-17.07680947665358,22.927343364572152,772,1000,0.0,0.3,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
L75,N4,W10_ALL1000,PS,2000,1934,1919,-0.75,51,36,1883,30,1934,66,0.09816983637599787,0.012989810202270746,1.4054369211196918,2.536606383323669,5.657201216369866,-15.021020621061325,14.867392420768738,-0.11127798943221569,-0.24464654922485352,3.888031339645386,5.676830291748047,10.716788389682769,-12.543377876281738,16.152847290039062,-0.20944782580821356,-0.49609761498868465,4.4431906051992,6.8808382559567685,12.894020946305243,-19.37645810097456,23.732814997434616,1199,1000,-1.8499999999999999,0.35000000000000003,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
L75,N4,W10_ALL1000,NS,10000,8026,8227,2.01,252,453,7774,1521,8026,1974,0.5677122164017019,0.3991929292678833,2.294727683067322,3.155712246894832,5.660784721374512,-12.968976974487305,12.356028079986572,-0.04074319398485531,-0.014654397964477539,1.3210123538970953,2.019368529319763,4.4546753764152545,-10.032052993774414,14.672121047973633,0.6084554103865571,0.43250347673892975,2.7217384576797508,3.8099475383758534,6.40738596439362,-15.378221038146876,13.762621283531189,4811,1000,1.3597499999999998,2.7,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
T75,N4,W10_ALL1000,RS,1000,999,997,-0.2,3,1,996,0,999,1,0.03964114174603492,4.5467102609109133e-05,0.003718719229800627,0.009553980105556529,0.4295209239967497,-2.8536524679511786,8.010660529136658,0.07769033589959144,0.04105949401855469,4.409321403503419,5.9780966758728,8.603317775726312,-14.75999641418457,14.350148677825928,0.03804919415355653,0.0201046118454542,4.395929965752112,5.978698157379402,8.610474502986758,-20.848771387478337,15.76988529227674,529,1000,-0.6,0.2,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
T75,N4,W10_ALL1000,PS,2000,1934,1942,0.4,27,35,1907,31,1934,66,-0.2602823511788665,-0.017116473405621946,0.9626397907733931,2.09465378858149,4.91910882949829,-14.063430070877075,8.577356815338135,0.6503055807128548,0.5300326347351074,4.86343994140625,6.506204700469969,9.786944453716277,-13.947896480560303,12.818563342094421,0.9105879318917214,0.7273170966072939,5.592533717630433,7.567081928253174,10.92743447071407,-17.888105869293213,15.351246009580791,707,1000,-0.40124999999999994,1.3,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
T75,N4,W10_ALL1000,NS,10000,8026,7161,-8.649999999999999,1219,354,6807,1620,8026,1974,-0.7132101941673616,-0.5948662757873535,2.116555118560792,3.126578974723813,5.108609800338746,-12.802178859710693,11.298124313354492,0.3890698472472781,0.08746184315532446,3.53622899055481,4.954605460166931,8.217645862102515,-14.03938539326191,15.416696071624756,-1.1022800414146396,-0.734982967376709,2.3305518984794618,3.4323127269744873,5.8984723407030115,-19.48702570796013,17.549211099743843,5306,1000,-9.710249999999998,-7.6,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
L4D,N4,W10_ALL1000,RS,1000,999,999,0.0,0,0,999,1,999,1,0.0026161243567512428,2.562563167884946e-06,0.00134213447017828,0.005646607601374853,0.061399289394030325,-0.8197207450866699,0.7822871208190918,-0.26120692992210387,-0.010265827178955078,0.27398872375488287,0.5904935836791985,1.9818633651733395,-10.584387302398682,5.152261734008789,-0.2638230542788551,-0.011850373790366575,0.2780300115671707,0.6085790948505745,2.0152815590619864,-10.932224875781685,5.154459879908245,525,1000,0.0,0.0,DESCRIPTIVE_REQUEST_CLUSTER_2000_FIXED_ORDER_NOT_BATCH_REPLICATES
