arm,batch,contrast,metric,denominator,before,after,lost,gained,twoP_denominator,twoP_before,twoP_after,twoP_lost,twoP_gained,reference
L4D,,POLICY_W10,NS,10000,1761,1786,43,68,,,,,,N4
LD,,POLICY_W10,RS,1000,993,997,0,4,,,,,,N4
LD,,POLICY_W10,PS,2000,1354,1309,134,89,1000,513,479,78,44,N4
LD,,POLICY_W10,NS,10000,1761,1918,171,328,,,,,,N4
TD,,POLICY_W10,RS,1000,993,993,0,0,,,,,,N4
TD,,POLICY_W10,PS,2000,1354,1354,0,0,1000,513,513,0,0,N4
TD,,POLICY_W10,NS,10000,1761,1761,0,0,,,,,,N4
LD,,POLICY_W10,RS,1000,993,997,0,4,,,,,,L4D
LD,,POLICY_W10,PS,2000,1346,1309,136,99,1000,508,479,77,48,L4D
LD,,POLICY_W10,NS,10000,1786,1918,172,304,,,,,,L4D
LD,,POLICY_W10,RS,1000,998,997,1,0,,,,,,L75
LD,,POLICY_W10,PS,2000,1336,1309,122,95,1000,498,479,71,52,L75
LD,,POLICY_W10,NS,10000,1927,1918,235,226,,,,,,L75
LD,,POLICY_W10,RS,1000,998,997,1,0,,,,,,REFIT4
LD,,POLICY_W10,PS,2000,1307,1309,119,121,1000,476,479,72,75,REFIT4
LD,,POLICY_W10,NS,10000,1916,1918,243,245,,,,,,REFIT4
LD,,POLICY_W10,RS,1000,993,997,0,4,,,,,,TD
LD,,POLICY_W10,PS,2000,1354,1309,134,89,1000,513,479,78,44,TD
LD,,POLICY_W10,NS,10000,1761,1918,171,328,,,,,,TD
T75,,POLICY_W10,RS,1000,998,991,7,0,,,,,,L75
T75,,POLICY_W10,PS,2000,1336,1465,118,247,1000,498,590,68,160,L75
T75,,POLICY_W10,NS,10000,1927,1456,932,461,,,,,,L75
