arm,batch,selected,a4,a8,D,E,H,current_strict,past_strict,action_norm,own_N4,shadow_no_plateau,shadow_strict_only,declared,distinct,D_vs_own_N4,E_vs_own_N4
L4D,1,N4,1.0,0.0,0.0017209079930182725,0.003404614371538628,,100,0,7.61165279863614,True,N4,N4,2,2,0.0,0.0
L4D,2,N4,1.0,0.0,0.0038239335715388734,0.026622378780157305,0.0015802247926330892,100,64,7.71136987798354,True,N4,N4,2,2,0.0,0.0
L4D,3,N4,1.0,0.0,0.006022348446322212,0.0026307728864776434,0.012278749113193044,100,64,7.8385920077260876,True,N4,N4,2,2,0.0,0.0
L4D,4,N4,1.0,0.0,0.008421741996926357,0.003918482569279149,0.024522713774786098,100,63,7.8014973235883645,True,N4,N4,2,2,0.0,0.0
L4D,5,N4,1.0,0.0,0.010314425840761032,0.012849908573552966,0.032335318147602266,100,63,7.824510436564866,True,N4,N4,2,2,0.0,0.0
L4D,6,N4,1.0,0.0,0.012474029073018755,0.0024117284012027083,0.03278846723253537,100,63,8.213161757253289,True,N4,N4,2,2,0.0,0.0
L4D,7,N4,1.0,0.0,0.014935928673367016,0.004654217146162409,0.03582400399386643,100,63,8.211082227704994,True,N4,L0.75-0,2,2,0.0,0.0
L4D,8,L0.75-0,0.75,0.0,0.01599123453706852,0.042969779589911924,0.04323645445640523,100,63,6.101297845591979,False,N4,L0.75-0,2,2,-0.0008509759436492459,0.04098806383379269
L4D,9,N4,1.0,0.0,0.018225790245651297,0.007198091598620521,0.053466357836327916,100,63,8.604485628695699,True,N4,N4,2,2,0.0,0.0
L4D,10,N4,1.0,0.0,0.020650619265325076,0.02085734495805809,0.052256847244279925,99,63,8.584048256682113,True,N4,L0.75-0,2,2,0.0,0.0
LD,1,L0.75-0.5,0.75,0.5,0.001252664631266498,0.012414455455291318,,100,0,6.8024118178968065,False,N4,L0.75-0.5,6,6,-0.0004682433617517745,0.00900984108375269
LD,2,L0.75-0.5,0.75,0.5,0.002757233526580194,0.029641933554667047,0.006676316116454473,100,64,6.444177763772718,False,L0.75-0.5,L0.75-0.5,6,6,-0.0003945905878310896,-0.0014380314864683892
LD,3,L0.75-0.5,0.75,0.5,0.004077504581573521,0.010120606227137613,0.00622468516473873,100,64,6.470836653881555,False,N4,L0.75-0.5,6,6,-0.0005625085232168203,0.006200024415156803
LD,4,N4,1.0,0.0,0.006273447359376405,0.005340493291732855,0.006464649275812917,100,64,7.709165326579581,True,N4,L0.75-0,6,6,0.0,0.0
LD,5,L0.75-0.5,0.75,0.5,0.007404249999638068,0.013378986591706053,0.004391270306541628,100,64,6.197231192429311,False,L0.75-0.5,L0.75-0.5,6,6,-0.0004749448139023116,-0.006415806077129672
LD,6,L0.75-0.5,0.75,0.5,0.008473118389701995,0.010627047884481726,0.005301563238958806,100,64,6.464220281996663,False,N4,L0.75-0.5,6,6,-0.000598554868474821,0.008241261321672938
LD,7,L0.75-0.5,0.75,0.5,0.009741435179421387,0.009839441027579596,0.0058139444006428675,100,64,6.634037407899623,False,L0.75-0.5,L0.75-0.5,6,6,-0.0006311393284477163,-0.01083475053557777
LD,8,L0.75-0.5,0.75,0.5,0.010902258262376563,0.010938618547297664,0.005422894787443511,100,64,6.44489484070989,False,N4,L0.75-0,6,6,-0.0006768377606931608,0.008750098135278677
LD,9,L0.75-0.5,0.75,0.5,0.012335267470007238,0.009611084911884973,0.006260485278971828,100,64,6.70820908422962,False,L0.75-0.5,L0.75-0.5,6,6,-0.0007165213273765403,-0.004405248985713116
LD,10,L0.75-0.5,0.75,0.5,0.013540887085582654,0.009389311186678241,0.0062505985136454,100,64,6.918626675414777,False,L0.75-0.5,L0.75-0.5,6,6,-0.0004926578342292487,-0.01302721861298778
TD,1,N4,1.0,0.0,0.0017209079930182725,0.003404614371538628,,100,0,7.61165279863614,True,N4,N4,7,7,0.0,0.0
TD,2,N4,1.0,0.0,0.0038239335715388734,0.026622378780157305,0.0015802247926330892,100,64,7.71136987798354,True,N4,N4,7,7,0.0,0.0
TD,3,N4,1.0,0.0,0.006022348446322212,0.0026307728864776434,0.012278749113193044,100,64,7.8385920077260876,True,N4,N4,7,7,0.0,0.0
TD,4,N4,1.0,0.0,0.008421741996926357,0.003918482569279149,0.024522713774786098,100,63,7.8014973235883645,True,N4,N4,7,7,0.0,0.0
TD,5,N4,1.0,0.0,0.010314425840761032,0.012849908573552966,0.032335318147602266,100,63,7.824510436564866,True,N4,N4,7,7,0.0,0.0
TD,6,N4,1.0,0.0,0.012474029073018755,0.0024117284012027083,0.03278846723253537,100,63,8.213161757253289,True,N4,N4,7,7,0.0,0.0
TD,7,N4,1.0,0.0,0.014935928673367016,0.004654217146162409,0.03582400399386643,100,63,8.211082227704994,True,N4,N4,7,7,0.0,0.0
TD,8,N4,1.0,0.0,0.016842210480717767,0.001981715756119229,0.0459460568600889,100,63,8.135063794196299,True,N4,N4,7,7,0.0,0.0
TD,9,N4,1.0,0.0,0.01877682717577045,0.003784382830854156,0.06089393641013885,100,63,8.633953693329415,True,N4,N4,7,7,0.0,0.0
TD,10,N4,1.0,0.0,0.021280895331074134,0.0246290294676146,0.04731072307913564,99,63,8.59634070037267,True,N4,N4,7,7,0.0,0.0
