start_KST,end_KST,GPUs,arms,seconds,above_cap1
2026-09-16T20:36:50,2026-09-16T21:25:05,1,PREPARATION,2895.0,False
2026-09-16T21:25:05,2026-09-16T21:25:27,0,,22.0,False
2026-09-16T21:25:27,2026-09-17T00:29:34,1,LD,11047.0,False
2026-09-17T00:29:34,2026-09-17T01:39:01,2,"LD,N4",4167.0,True
2026-09-17T01:39:01,2026-09-17T01:39:02,1,N4,1.0,False
2026-09-17T01:39:02,2026-09-17T02:09:38,2,"N4,REFIT4",1836.0,True
2026-09-17T02:09:38,2026-09-17T02:10:05,1,REFIT4,27.0,False
2026-09-17T02:10:05,2026-09-17T03:42:01,2,"L75,REFIT4",5516.0,True
2026-09-17T03:42:01,2026-09-17T03:42:04,1,L75,3.0,False
2026-09-17T03:42:04,2026-09-17T04:02:35,2,"L75,T75",1231.0,True
2026-09-17T04:02:35,2026-09-17T04:02:36,1,T75,1.0,False
2026-09-17T04:02:36,2026-09-17T05:40:21,2,"L4D,T75",5865.0,True
2026-09-17T05:40:21,2026-09-17T05:40:34,1,L4D,13.0,False
2026-09-17T05:40:34,2026-09-17T05:54:07,2,"L4D,TD",813.0,True
2026-09-17T05:54:07,2026-09-17T10:48:56,1,TD,17689.0,False
