arm,accepted_edit_count,wall_seconds,model_forward_batch_count,parity_forward_batch_count,request_count,locality_prompt_count,peak_gpu_memory_bytes,full_fp32,weight_pointer_version_bytes_exact,forbidden_mutation_count,nonfinite_count
LM,1000,72.08212854992598,1022,3,1000,10000,32644090880,True,True,0,0
LM,1500,103.9398799687624,1536,3,1500,15000,32644090880,True,True,0,0
LM,2000,136.97563376650214,2043,3,2000,20000,32644090880,True,True,0,0
LM,3000,201.28748161159456,3057,3,3000,30000,32644090880,True,True,0,0
LM,5000,331.505939906463,5092,3,5000,50000,32644090880,True,True,0,0
LM,7500,493.759748053737,7628,3,7500,75000,32644090880,True,True,0,0
LM,10000,653.9510440761223,10168,3,10000,100000,32644090880,True,True,0,0
LA,1000,75.68472044728696,1022,3,1000,10000,32644090880,True,True,0,0
LA,1500,109.11287230532616,1536,3,1500,15000,32644090880,True,True,0,0
LA,2000,141.3699068883434,2043,3,2000,20000,32644090880,True,True,0,0
LA,3000,206.98525056336075,3057,3,3000,30000,32644090880,True,True,0,0
LA,5000,335.7455514445901,5092,3,5000,50000,32644090880,True,True,0,0
LA,7500,497.75974364578724,7628,3,7500,75000,32644090880,True,True,0,0
LA,10000,657.7920514624566,10168,3,10000,100000,32644090880,True,True,0,0
QM,1000,68.01079140976071,1022,3,1000,10000,30892298240,True,True,0,0
QM,1500,91.32852967642248,1536,3,1500,15000,30892298240,True,True,0,0
QM,2000,119.7933896528557,2043,3,2000,20000,30892298240,True,True,0,0
QM,3000,174.55872986186296,3057,3,3000,30000,30892298240,True,True,0,0
QM,5000,285.3213407052681,5092,3,5000,50000,30892298240,True,True,0,0
QM,7500,422.7765915095806,7628,3,7500,75000,30892298240,True,True,0,0
QM,10000,561.1226126179099,10168,3,10000,100000,30892298240,True,True,0,0
QA,1000,72.3993716193363,1022,3,1000,10000,30892298240,True,True,0,0
QA,1500,98.21875767596066,1536,3,1500,15000,30892298240,True,True,0,0
QA,2000,133.70327560789883,2043,3,2000,20000,30892298240,True,True,0,0
QA,3000,193.2254801997915,3057,3,3000,30000,30892298240,True,True,0,0
QA,5000,299.31743571627885,5092,3,5000,50000,30892298240,True,True,0,0
QA,7500,438.07388480193913,7628,3,7500,75000,30892298240,True,True,0,0
QA,10000,572.3515387233347,10168,3,10000,100000,30892298240,True,True,0,0
