P_ratio,alias,capacity_ratio,case,comparison,delta_eff,delta_eff_nll,delta_gap,delta_gen,delta_loc,delta_w_nll,delta_z_nll,energy_ratio,matched
NOT_RECORDED,llama3-8b-inst,NOT_RECORDED,10,Official-AlphaEdit,0.0,0.42156655788421626,NOT_RECORDED,0.0,1.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True
0.7154814254067924,qwen2.5-7b-inst,1.255423652851053,1,P1R39-Neutral,0.0,0.033955001831054696,0.009570216643624015,-1.0,0.0,0.007688339822925633,-0.0018818768206983819,1.5363687032602724,True
0.2576957058717658,qwen2.5-7b-inst,0.05713760115732861,1,P1R38-Soft,0.0,-0.17615623474121092,-0.06529239995870739,-3.0,1.0,-0.21045558692421765,-0.14516318696551025,0.07881073133090458,True
0.9902419558568507,qwen2.5-7b-inst,0.6612800988000093,1,P1R36-RS-Soft,0.0,-0.01814918518066405,-0.009143361391033972,0.0,0.0,0.011028065066784623,0.020171426457818595,0.6421922346503511,True
NOT_RECORDED,qwen2.5-7b-inst,NOT_RECORDED,1,Official-AlphaEdit,0.0,0.13160972595214845,NOT_RECORDED,-4.0,0.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True
0.4925512357202697,qwen2.5-7b-inst,0.218164278089353,2,P1R39-Neutral,0.0,-0.02211151123046884,-0.02491327938623722,0.0,0.0,-0.011319385399110482,0.013593893987126737,0.38435464195726554,True
0.35169272146266356,qwen2.5-7b-inst,0.6231583309653138,2,P1R38-Soft,0.0,-0.0024017333984376332,-0.06628221767023212,0.0,0.0,0.11443370308261369,0.18071592075284582,0.9476465085591086,True
1.4705883811191747,qwen2.5-7b-inst,5.5076876945845,2,P1R36-RS-Soft,-1.0,0.9419387817382812,-0.03005164664355106,-1.0,0.0,1.0004475677153097,1.0304992143588607,4.143091157128028,True
NOT_RECORDED,qwen2.5-7b-inst,NOT_RECORDED,2,Official-AlphaEdit,-1.0,0.9825241088867187,NOT_RECORDED,-3.0,1.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True
0.7769084449815771,qwen2.5-7b-inst,0.36010716565452294,3,P1R39-Neutral,0.0,-0.2260909080505371,-0.010616743960417827,1.0,0.0,-0.12342283116886393,-0.1128060872084461,0.3908834817957242,True
0.26906582753250946,qwen2.5-7b-inst,0.08919301733718715,3,P1R38-Soft,0.0,-0.3415040493011475,-0.001921526959631617,-1.0,0.0,-0.09550626033451409,-0.09358473337488248,0.11842536068020182,True
0.9522937834464975,qwen2.5-7b-inst,0.845814776907457,3,P1R36-RS-Soft,0.0,-0.027623033523559604,-0.001713498600292962,0.0,1.0,0.02124981996603309,0.022963318566326052,0.8718798756549093,True
NOT_RECORDED,qwen2.5-7b-inst,NOT_RECORDED,3,Official-AlphaEdit,0.0,0.34924678802490233,NOT_RECORDED,-3.0,-1.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True
0.42605462122635096,qwen2.5-7b-inst,0.006711846702566148,4,P1R39-Neutral,0.0,-0.014789581298828125,-0.09094871537527083,0.0,0.0,-0.1403565560933202,-0.04940784071804938,0.006974562152746732,True
0.2575728617220903,qwen2.5-7b-inst,0.006540247992315127,4,P1R38-Soft,-1.0,0.36688537597656246,-0.08600655255140743,-1.0,1.0,0.4132775579346344,0.4992841104860418,0.008818994808776444,True
0.9498949261767714,qwen2.5-7b-inst,0.03796781105497609,4,P1R36-RS-Soft,-1.0,0.3282035827636718,-0.06482634443091229,0.0,0.0,0.3578017918393017,0.422628136270214,0.03119499164409486,True
NOT_RECORDED,qwen2.5-7b-inst,NOT_RECORDED,4,Official-AlphaEdit,-1.0,1.5529525756835938,NOT_RECORDED,-3.0,8.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True
0.5312700348802848,qwen2.5-7b-inst,0.08501648440404737,5,P1R39-Neutral,0.0,-0.09034423828125004,-0.0028117576846851122,0.0,0.0,-0.005094820796512023,-0.0022830631118269107,0.07870537514295234,True
0.19618785583027434,qwen2.5-7b-inst,0.011690835430810544,5,P1R38-Soft,0.0,0.92279052734375,-0.0694470592308789,-1.0,0.0,0.9935054868459701,1.062952546076849,0.01810080556884548,True
0.9255860769987732,qwen2.5-7b-inst,0.3594822070988478,5,P1R36-RS-Soft,0.0,1.0469879150390626,-0.036035204492509326,1.0,0.0,1.0668899145908652,1.1029251190833746,0.3479501523179139,True
NOT_RECORDED,qwen2.5-7b-inst,NOT_RECORDED,5,Official-AlphaEdit,0.0,1.178664779663086,NOT_RECORDED,-1.0,5.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True
0.6185724710128921,qwen2.5-7b-inst,0.7358010912639661,6,P1R39-Neutral,0.0,-0.031891250610351585,0.0046876570908352955,0.0,0.0,-0.01953607159666715,-0.024223728687502444,0.8829485221178155,True
0.29811834072881743,qwen2.5-7b-inst,0.22736401422493943,6,P1R38-Soft,-1.0,0.38411560058593747,-0.028082885558251294,-2.0,0.0,0.2578889261581935,0.2859718117164448,0.3174100785330978,True
1.0767670562043166,qwen2.5-7b-inst,1.1480414537430708,6,P1R36-RS-Soft,-1.0,0.296807861328125,-0.07497439276194201,0.0,0.0,0.21733645891072229,0.2923108516726643,1.0280154581805747,True
NOT_RECORDED,qwen2.5-7b-inst,NOT_RECORDED,6,Official-AlphaEdit,-1.0,0.39705734252929686,NOT_RECORDED,-3.0,0.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True
0.553310337949695,qwen2.5-7b-inst,0.31596612561638826,7,P1R39-Neutral,1.0,-0.06355323791503897,0.04260579474503179,0.0,0.0,-0.06376158134080478,-0.10636737608583657,0.2406921081222589,True
0.3374910097794617,qwen2.5-7b-inst,0.2318933276534162,7,P1R38-Soft,0.0,1.025118637084961,-0.022467672673519706,-4.0,0.0,0.9125754971057176,0.9350431697792373,0.28622567112675057,True
1.036107353948702,qwen2.5-7b-inst,2.1582674919669107,7,P1R36-RS-Soft,0.0,0.6368946075439453,0.006935310002882056,-2.0,0.0,0.49229178619571023,0.4853564761928282,1.435540186847753,True
NOT_RECORDED,qwen2.5-7b-inst,NOT_RECORDED,7,Official-AlphaEdit,0.0,1.2263858795166016,NOT_RECORDED,-3.0,0.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True
0.6137930332344066,qwen2.5-7b-inst,0.18767410855395786,8,P1R39-Neutral,0.0,-0.03458633422851562,0.013238337787333881,-1.0,0.0,-0.01859109899960458,-0.03182943678693846,0.24192993356495107,True
0.2804806089772357,qwen2.5-7b-inst,0.04426282880695562,8,P1R38-Soft,0.0,-0.2349945068359375,-0.039356403367128215,-4.0,0.0,-0.05152843100950122,-0.012172027642372994,0.06089659111556337,True
0.9916893767914495,qwen2.5-7b-inst,0.3318221888551472,8,P1R36-RS-Soft,0.0,-0.01434154510498048,-0.0010481906938366592,1.0,0.0,0.011098667571786791,0.01214685826562345,0.3662398508771267,True
NOT_RECORDED,qwen2.5-7b-inst,NOT_RECORDED,8,Official-AlphaEdit,0.0,0.07433433532714843,NOT_RECORDED,-6.0,1.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True
0.5365125357230881,qwen2.5-7b-inst,0.05893644713936743,9,P1R39-Neutral,0.0,-0.3607521057128906,-0.05757406401680783,2.0,1.0,-0.3629920177045278,-0.30541795368772,0.05031331103704992,True
0.34848386832128864,qwen2.5-7b-inst,0.24160953935658763,9,P1R38-Soft,0.0,-0.04886856079101562,-0.03536751114297658,-1.0,1.0,0.005521325976587832,0.04088883711956441,0.22822766943203993,True
NOT_RECORDED,qwen2.5-7b-inst,NOT_RECORDED,9,P1R36-RS-Soft,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,False
NOT_RECORDED,qwen2.5-7b-inst,NOT_RECORDED,9,Official-AlphaEdit,0.0,0.07359390258789063,NOT_RECORDED,-3.0,1.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True
0.7269618273498575,qwen2.5-7b-inst,0.34485961647405355,10,P1R39-Neutral,-1.0,0.2224143981933595,0.09519379105768166,0.0,0.0,0.07883562521892595,-0.01635816583875571,0.4291245695354326,True
0.2632099291326721,qwen2.5-7b-inst,0.03964263814688802,10,P1R38-Soft,0.0,0.5387344360351562,0.021193905209656694,-2.0,0.0,0.45880183603148894,0.43760793082183225,0.07035583036824926,True
0.9570287287570763,qwen2.5-7b-inst,0.2683929274662706,10,P1R36-RS-Soft,0.0,0.29369354248046875,0.12026892473222683,-1.0,0.0,0.3080717859324067,0.18780286120017986,0.3101108462584042,True
NOT_RECORDED,qwen2.5-7b-inst,NOT_RECORDED,10,Official-AlphaEdit,-1.0,1.4114719390869142,NOT_RECORDED,-7.0,2.0,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True
