method,prompt,target,denominator,mean,median,p90_nearest_rank,max
OFFICIAL-ALPHAEDIT-CACHE,rewrite,target_new,1000,0.04352576237318954,0.0010169935994781554,0.005215609911829233,8.8618803024292
OFFICIAL-ALPHAEDIT-CACHE,rewrite,target_true,1000,14.608627825975418,14.390605449676514,20.425498962402344,31.089412689208984
OFFICIAL-ALPHAEDIT-CACHE,rephrase,target_new,1000,1.2008818798193532,0.31812869664281607,3.407060593366623,12.973389625549316
OFFICIAL-ALPHAEDIT-CACHE,rephrase,target_true,1000,10.38422155314061,10.370014190673828,15.267339706420898,22.683067321777344
OFFICIAL-MEMIT,rewrite,target_new,1000,0.7571528150301747,0.038795603439211845,2.4733715057373047,19.90550422668457
OFFICIAL-MEMIT,rewrite,target_true,1000,9.669078924335539,9.445753574371338,15.330941200256348,24.699993133544922
OFFICIAL-MEMIT,rephrase,target_new,1000,1.6675217712210033,0.7559563992545009,4.704381227493286,14.99956226348877
OFFICIAL-MEMIT,rephrase,target_true,1000,8.297380083743484,8.211417317390442,13.32375955581665,21.764062881469727
P1R54-FZ-SEQUENTIAL,rewrite,target_new,1000,0.018627236681428825,0.0005799638165626675,0.005624540150165558,8.71495246887207
P1R54-FZ-SEQUENTIAL,rewrite,target_true,1000,14.51783628463745,14.114929676055908,20.189289093017578,30.16880226135254
P1R54-FZ-SEQUENTIAL,rephrase,target_new,1000,2.306030945784841,1.447105615399778,6.100810527801514,13.292747020721436
P1R54-FZ-SEQUENTIAL,rephrase,target_true,1000,8.516335408237063,8.26163899898529,13.544448375701904,22.684467315673828
