method,Eff,Gen,strict,Loc,z_rewrite_mean,z_rewrite_median,z_rewrite_p90_nearest_rank,z_rewrite_max,z_rephrase_mean,z_rephrase_median,z_rephrase_p90_nearest_rank,z_rephrase_max,W_rewrite_mean,W_rewrite_median,W_rewrite_p90_nearest_rank,W_rewrite_max,W_rephrase_mean,W_rephrase_median,W_rephrase_p90_nearest_rank,W_rephrase_max
FZ-RESET,1.0,0.8465,0.754,0.8469,0.017847472743680554,0.0006569253746420145,0.0062950183637440205,4.761465072631836,1.3308862277268318,0.06703142449259758,4.909336566925049,17.16532325744629,0.029980680252112053,0.0005968815530650318,0.006452914793044329,11.387056350708008,2.404130068551284,0.6529965698719025,7.434225082397461,18.031171798706055
PDZ-RESET,0.999,0.8375,0.737,0.8479,0.049260628129122776,0.018961362540721893,0.06237493082880974,10.023932456970215,1.4478187442171329,0.3093966245651245,4.792751789093018,16.431705474853516,0.05595499851378554,0.01732144132256508,0.06302700936794281,9.849946022033691,2.631029525785125,1.3618710041046143,7.262716293334961,17.82028579711914
OFFICIAL-ALPHAEDIT-CACHE,0.994,0.967,0.943,0.781,0.0013915438221733893,0.0007433511782437563,0.0033570146188139915,0.025194421410560608,0.7976907307744578,0.06925876706372947,2.721581995487213,12.862534523010254,0.04352576237318954,0.0010169935994781554,0.005215609911829233,8.8618803024292,1.2008818798193532,0.31812869664281607,3.407060593366623,12.973389625549316
OFFICIAL-MEMIT,0.954,0.9035,0.861,0.7239,0.002096798793733342,0.000902960222447291,0.004588788375258446,0.043855756521224976,0.7717991034221341,0.0817473437928129,2.6468722596764565,12.733782768249512,0.7571528150301747,0.038795603439211845,2.4733715057373047,19.90550422668457,1.6675217712210033,0.7559563992545009,4.704381227493286,14.99956226348877
P1R54-FZ-SEQUENTIAL,1.0,0.8495,0.756,0.8453,0.008817008990365138,0.0006174922455102205,0.004827629309147596,2.775531768798828,1.2650328017407673,0.06551201641559601,4.6607537269592285,21.40110969543457,0.018627236681428825,0.0005799638165626675,0.005624540150165558,8.71495246887207,2.306030945784841,1.447105615399778,6.100810527801514,13.292747020721436
