arm,M_fixed,from_h,to_h,from_T_z,to_T_z,new_nll_median_before,new_nll_median_after,new_nll_median_delta_after_minus_before,margin_median_delta,displacement_median_delta,clamp_fraction_before,clamp_fraction_after,clamp_fraction_delta,interpretation
Z+,1,0.0625,0.25,0.0625,0.25,10.159257888793945,7.655735015869141,-2.5035228729248047,3.3226438760757446,0.8670834302902222,0.0,0.0,0.0,H_AND_T_Z_CHANGE_AT_FIXED_M
Z+,1,0.25,1.0,0.25,1.0,7.655735015869141,6.6737060546875,-0.9820289611816406,2.2695220708847046,3.098576068878174,0.0,0.5,0.5,H_AND_T_Z_CHANGE_AT_FIXED_M
Z+,1,1.0,4.0,1.0,4.0,6.6737060546875,6.600191116333008,-0.07351493835449219,0.13894498348236084,0.4809741973876953,0.5,1.0,0.5,H_AND_T_Z_CHANGE_AT_FIXED_M
Z+,3,0.0625,0.25,0.1875,0.75,6.644108772277832,0.7527183294296265,-5.891390442848206,7.763540290296078,1.430133581161499,0.0,0.0,0.0,H_AND_T_Z_CHANGE_AT_FIXED_M
Z+,3,0.25,1.0,0.75,3.0,0.7527183294296265,0.18699929118156433,-0.5657190382480621,1.7315635681152344,2.511164665222168,0.0,0.7333333333333333,0.7333333333333333,H_AND_T_Z_CHANGE_AT_FIXED_M
Z+,3,1.0,4.0,3.0,12.0,0.18699929118156433,0.7573906183242798,0.5703913271427155,-3.172389030456543,0.03346681594848633,0.7333333333333333,0.9666666666666667,0.2333333333333334,H_AND_T_Z_CHANGE_AT_FIXED_M
Z+,5,0.0625,0.25,0.3125,1.25,2.7302894592285156,0.10981786251068115,-2.6204715967178345,5.576638221740723,1.9722943305969238,0.0,0.0,0.0,H_AND_T_Z_CHANGE_AT_FIXED_M
Z+,5,0.25,1.0,1.25,5.0,0.10981786251068115,0.034464359283447266,-0.07535350322723389,-0.10396003723144531,1.4702534675598145,0.0,0.74,0.74,H_AND_T_Z_CHANGE_AT_FIXED_M
Z+,5,1.0,4.0,5.0,20.0,0.034464359283447266,1.4576785564422607,1.4232141971588135,0.3229198455810547,0.006585597991943359,0.74,0.92,0.18000000000000005,H_AND_T_Z_CHANGE_AT_FIXED_M
Z+,10,0.0625,0.25,0.625,2.5,0.23293447494506836,0.018934842199087143,-0.21399963274598122,2.7689599990844727,1.4428956508636475,0.0,0.0,0.0,H_AND_T_Z_CHANGE_AT_FIXED_M
Z+,10,0.25,1.0,2.5,10.0,0.018934842199087143,0.006938758306205273,-0.01199608389288187,0.48569774627685547,1.3816981315612793,0.0,0.54,0.54,H_AND_T_Z_CHANGE_AT_FIXED_M
Z+,10,1.0,4.0,10.0,40.0,0.006938758306205273,1.052815556526184,1.0458767982199788,-2.069751739501953,0.013264656066894531,0.54,0.76,0.21999999999999997,H_AND_T_Z_CHANGE_AT_FIXED_M
Z±,1,0.0625,0.25,0.0625,0.25,9.66317367553711,8.668874740600586,-0.9942989349365234,1.7314396500587463,1.4839707612991333,0.0,0.0,0.0,H_AND_T_Z_CHANGE_AT_FIXED_M
Z±,1,0.25,1.0,0.25,1.0,8.668874740600586,7.957235813140869,-0.7116389274597168,0.9675887674093246,2.6841163635253906,0.0,0.9,0.9,H_AND_T_Z_CHANGE_AT_FIXED_M
Z±,1,1.0,4.0,1.0,4.0,7.957235813140869,7.814717769622803,-0.1425180435180664,0.07895885407924652,0.07291650772094727,0.9,1.0,0.09999999999999998,H_AND_T_Z_CHANGE_AT_FIXED_M
Z±,3,0.0625,0.25,0.1875,0.75,4.777327060699463,1.0071120262145996,-3.7702150344848633,3.171961784362793,2.440631151199341,0.0,0.06666666666666667,0.06666666666666667,H_AND_T_Z_CHANGE_AT_FIXED_M
Z±,3,0.25,1.0,0.75,3.0,1.0071120262145996,0.2231888622045517,-0.7839231640100479,3.1284360885620117,1.119826316833496,0.06666666666666667,0.9666666666666667,0.9,H_AND_T_Z_CHANGE_AT_FIXED_M
Z±,3,1.0,4.0,3.0,12.0,0.2231888622045517,2.933647632598877,2.7104587703943253,-7.945061445236206,1.9073486328125e-06,0.9666666666666667,1.0,0.033333333333333326,H_AND_T_Z_CHANGE_AT_FIXED_M
Z±,5,0.0625,0.25,0.3125,1.25,2.1897964477539062,0.12847886979579926,-2.061317577958107,4.014922142028809,2.2265594005584717,0.0,0.12,0.12,H_AND_T_Z_CHANGE_AT_FIXED_M
Z±,5,0.25,1.0,1.25,5.0,0.12847886979579926,0.024684645235538483,-0.10379422456026077,1.6470613479614258,0.8475520610809326,0.12,0.86,0.74,H_AND_T_Z_CHANGE_AT_FIXED_M
Z±,5,1.0,4.0,5.0,20.0,0.024684645235538483,1.268873929977417,1.2441892847418785,-3.8335676193237305,0.004343509674072266,0.86,0.88,0.020000000000000018,H_AND_T_Z_CHANGE_AT_FIXED_M
Z±,10,0.0625,0.25,0.625,2.5,0.17591500282287598,0.028573522344231606,-0.14734148047864437,2.850640296936035,2.0307587385177612,0.0,0.21,0.21,H_AND_T_Z_CHANGE_AT_FIXED_M
Z±,10,0.25,1.0,2.5,10.0,0.028573522344231606,0.006825192831456661,-0.021748329512774944,1.541804313659668,0.7011981010437012,0.21,0.59,0.38,H_AND_T_Z_CHANGE_AT_FIXED_M
Z±,10,1.0,4.0,10.0,40.0,0.006825192831456661,0.9245447516441345,0.9177195588126779,-6.001978874206543,-0.0515594482421875,0.59,0.79,0.20000000000000007,H_AND_T_Z_CHANGE_AT_FIXED_M
