arm,h_fixed,from_M,to_M,from_T_z,to_T_z,new_nll_median_before,new_nll_median_after,new_nll_median_delta_after_minus_before,new_nll_median_reduction_percent,true_nll_median_delta,margin_median_delta,displacement_median_delta,raw_field_norm_median_delta,clamp_fraction_delta,interpretation
Z+,0.0625,1,3,0.0625,0.1875,10.159257888793945,6.644108772277832,-3.5151491165161133,34.60045167662747,-0.1983046531677246,4.919347740709782,0.4706045389175415,0.884833812713623,0.0,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z+,0.0625,3,5,0.1875,0.3125,6.644108772277832,2.7302894592285156,-3.9138193130493164,58.90661106241225,2.6437530517578125,5.216126464307308,0.48982882499694824,-1.737419843673706,0.0,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z+,0.0625,5,10,0.3125,0.625,2.7302894592285156,0.23293447494506836,-2.4973549842834473,91.46850623629894,1.3524694442749023,4.606156349182129,0.5651710033416748,-2.0058127641677856,0.0,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z+,0.0625,1,10,0.0625,0.625,10.159257888793945,0.23293447494506836,-9.926323413848877,97.70717037115473,3.7979178428649902,14.741630554199219,1.5256043672561646,-2.8583987951278687,0.0,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z+,0.25,1,3,0.25,0.75,7.655735015869141,0.7527183294296265,-6.903016686439514,90.16791558394642,2.0762863159179688,9.360244154930115,1.0336546897888184,-0.7397332191467285,0.0,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z+,0.25,3,5,0.75,1.25,0.7527183294296265,0.10981786251068115,-0.6429004669189453,85.41049709870944,2.3102731704711914,3.029224395751953,1.031989574432373,-2.300525963306427,0.0,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z+,0.25,5,10,1.25,2.5,0.10981786251068115,0.018934842199087143,-0.09088302031159401,82.75795779830854,1.6701993942260742,1.798478126525879,0.03577232360839844,-0.32089973986148834,0.0,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z+,0.25,1,10,0.25,2.5,7.655735015869141,0.018934842199087143,-7.6368001736700535,99.75267113921997,6.056758880615234,14.187946677207947,2.10141658782959,-3.361158922314644,0.0,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z+,1.0,1,3,1.0,3.0,6.6737060546875,0.18699929118156433,-6.486706763505936,97.19796931945753,2.9875335693359375,8.822285652160645,0.4462432861328125,-3.5338171124458313,0.23333333333333328,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z+,1.0,3,5,3.0,5.0,0.18699929118156433,0.034464359283447266,-0.15253493189811707,81.56979148654388,0.7044134140014648,1.1937007904052734,-0.008921623229980469,-0.24616903066635132,0.00666666666666671,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z+,1.0,5,10,5.0,10.0,0.034464359283447266,0.006938758306205273,-0.027525600977241993,79.86685825452771,2.271512031555176,2.3881359100341797,-0.05278301239013672,-0.10366364568471909,-0.19999999999999996,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z+,1.0,1,10,1.0,10.0,6.6737060546875,0.006938758306205273,-6.666767296381295,99.89602840986184,5.963459014892578,12.404122352600098,0.3845386505126953,-3.8836497887969017,0.040000000000000036,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z+,4.0,1,3,4.0,12.0,6.600191116333008,0.7573906183242798,-5.842800498008728,88.52471686084937,1.4687795639038086,5.510951638221741,-0.0012640953063964844,1.0729446411132812,-0.033333333333333326,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z+,4.0,3,5,12.0,20.0,0.7573906183242798,1.4576785564422607,0.700287938117981,-92.4606037063625,4.192937850952148,4.689009666442871,-0.03580284118652344,-0.24567079544067383,-0.046666666666666634,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z+,4.0,5,10,20.0,40.0,1.4576785564422607,1.052815556526184,-0.40486299991607666,27.7745047511861,-0.10161781311035156,-0.004535675048828125,-0.04610395431518555,-0.562263011932373,-0.16000000000000003,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z+,4.0,1,10,4.0,40.0,6.600191116333008,1.052815556526184,-5.547375559806824,84.0487110453384,5.5600996017456055,10.195425629615784,-0.08317089080810547,0.2650108337402344,-0.24,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z±,0.0625,1,3,0.0625,0.1875,9.66317367553711,4.777327060699463,-4.8858466148376465,50.56151093720331,0.8472690582275391,7.299384117126465,0.6805461645126343,-1.0798568725585938,0.0,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z±,0.0625,3,5,0.1875,0.3125,4.777327060699463,2.1897964477539062,-2.5875306129455566,54.16272698245425,1.0774660110473633,2.344390869140625,0.4776790142059326,-1.8614799976348877,0.0,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z±,0.0625,5,10,0.3125,0.625,2.1897964477539062,0.17591500282287598,-2.0138814449310303,91.96660479546793,1.1858806610107422,3.763504981994629,0.3192101716995239,-2.099273383617401,0.0,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z±,0.0625,1,10,0.0625,0.625,9.66317367553711,0.17591500282287598,-9.487258672714233,98.17953181087684,3.1106157302856445,13.407279968261719,1.4774353504180908,-5.040610253810883,0.0,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z±,0.25,1,3,0.25,0.75,8.668874740600586,1.0071120262145996,-7.661762714385986,88.38243651742019,0.5780506134033203,8.739906251430511,1.6372065544128418,-3.2468700408935547,0.06666666666666667,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z±,0.25,3,5,0.75,1.25,1.0071120262145996,0.12847886979579926,-0.8786331564188004,87.24284226068586,2.4628210067749023,3.1873512268066406,0.2636072635650635,-1.6368914544582367,0.05333333333333333,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z±,0.25,5,10,1.25,2.5,0.12847886979579926,0.028573522344231606,-0.09990534745156765,77.76013877640302,2.0720224380493164,2.5992231369018555,0.12340950965881348,-0.2824012041091919,0.09,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z±,0.25,1,10,0.25,2.5,8.668874740600586,0.028573522344231606,-8.640301218256354,99.67038948884095,5.112894058227539,14.526480615139008,2.0242233276367188,-5.166162699460983,0.21,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z±,1.0,1,3,1.0,3.0,7.957235813140869,0.2231888622045517,-7.734046950936317,97.19514580885024,3.1065149307250977,10.900753572583199,0.07291650772094727,-3.588188648223877,0.06666666666666665,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z±,1.0,3,5,3.0,5.0,0.2231888622045517,0.024684645235538483,-0.19850421696901321,88.94001923227016,1.253854751586914,1.7059764862060547,-0.0086669921875,-0.8168874531984329,-0.10666666666666669,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z±,1.0,5,10,5.0,10.0,0.024684645235538483,0.006825192831456661,-0.01785945240408182,72.35045200637346,2.3226327896118164,2.4939661026000977,-0.02294445037841797,-0.09350550919771194,-0.27,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z±,1.0,1,10,1.0,10.0,7.957235813140869,0.006825192831456661,-7.9504106203094125,99.91422658581784,6.683002471923828,15.100696161389351,0.0413050651550293,-4.498581610620022,-0.31000000000000005,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z±,4.0,1,3,4.0,12.0,7.814717769622803,2.933647632598877,-4.881070137023926,62.45996696128314,1.3928031921386719,2.876733273267746,1.9073486328125e-06,1.4765701293945312,0.0,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
Z±,4.0,3,5,12.0,20.0,2.933647632598877,1.268873929977417,-1.66477370262146,56.74756859420981,0.8285770416259766,5.81747031211853,-0.004325389862060547,-1.3885397911071777,-0.12,STRENGTH_PSEUDOTIME_CHANGE_NOT_REFINEMENT
