arm,rank_by_lowest_new_nll_median,h,M,T_z,new_nll_median,new_nll_p90,new_nll_max,margin_median,clamp_fraction,stage1_h_admissible,ranking_is_observation_only
Z+,1,1.0,10,10.0,0.006938758306205273,0.5249167680740356,4.798516750335693,13.025934219360352,0.54,False,True
Z+,2,0.25,10,2.5,0.018934842199087143,0.05942254513502121,0.12063800543546677,12.540236473083496,0.0,True,True
Z+,3,1.0,5,5.0,0.034464359283447266,0.1563510000705719,0.28068217635154724,10.637798309326172,0.74,False,True
Z+,4,0.25,5,1.25,0.10981786251068115,0.8283525705337524,0.9183434844017029,10.741758346557617,0.0,True,True
Z+,5,1.0,3,3.0,0.18699929118156433,2.8984320163726807,4.364071846008301,9.444097518920898,0.7333333333333333,False,True
Z+,6,0.0625,10,0.625,0.23293447494506836,0.7198021411895752,1.1118137836456299,9.771276473999023,0.0,True,True
Z+,7,0.25,3,0.75,0.7527183294296265,4.802224636077881,5.002145290374756,7.712533950805664,0.0,True,True
Z+,8,4.0,3,12.0,0.7573906183242798,12.75186538696289,15.468806266784668,6.2717084884643555,0.9666666666666667,False,True
Z+,9,4.0,10,40.0,1.052815556526184,6.392017841339111,6.640061855316162,10.956182479858398,0.76,False,True
Z+,10,4.0,5,20.0,1.4576785564422607,3.8517818450927734,6.5318145751953125,10.960718154907227,0.92,False,True
Z+,11,0.0625,5,0.3125,2.7302894592285156,9.94116497039795,13.778966903686523,5.1651201248168945,0.0,True,True
Z+,12,4.0,1,4.0,6.600191116333008,8.614550590515137,9.818082809448242,0.7607568502426147,1.0,False,True
Z+,13,0.0625,3,0.1875,6.644108772277832,11.02888298034668,15.03049373626709,-0.051006339490413666,0.0,True,True
Z+,14,1.0,1,1.0,6.6737060546875,8.777716636657715,11.449767112731934,0.6218118667602539,0.5,False,True
Z+,15,0.25,1,0.25,7.655735015869141,10.846968650817871,14.676371574401855,-1.6477102041244507,0.0,True,True
Z+,16,0.0625,1,0.0625,10.159257888793945,11.743203163146973,16.001502990722656,-4.970354080200195,0.0,True,True
Z±,1,1.0,10,10.0,0.006825192831456661,0.05154143273830414,0.07452063262462616,15.137362480163574,0.59,False,True
Z±,2,1.0,5,5.0,0.024684645235538483,0.2780492901802063,0.3309548497200012,12.643396377563477,0.86,False,True
Z±,3,0.25,10,2.5,0.028573522344231606,0.07109152525663376,0.14920681715011597,13.595558166503906,0.21,True,True
Z±,4,0.25,5,1.25,0.12847886979579926,0.8783213496208191,0.9252386093139648,10.99633502960205,0.12,True,True
Z±,5,0.0625,10,0.625,0.17591500282287598,0.3674928843975067,0.5993682742118835,10.744917869567871,0.0,True,True
Z±,6,1.0,3,3.0,0.2231888622045517,3.0757360458374023,4.920862197875977,10.937419891357422,0.9666666666666667,False,True
Z±,7,4.0,10,40.0,0.9245447516441345,6.099987506866455,8.070972442626953,9.135383605957031,0.79,False,True
Z±,8,0.25,3,0.75,1.0071120262145996,4.752781391143799,5.709442138671875,7.80898380279541,0.06666666666666667,True,True
Z±,9,4.0,5,20.0,1.268873929977417,7.496212005615234,7.933596611022949,8.809828758239746,0.88,False,True
Z±,10,0.0625,5,0.3125,2.1897964477539062,6.88366174697876,7.080684185028076,6.981412887573242,0.0,True,True
Z±,11,4.0,3,12.0,2.933647632598877,10.548867225646973,15.5128173828125,2.992358446121216,1.0,False,True
Z±,12,0.0625,3,0.1875,4.777327060699463,9.585967063903809,14.42860221862793,4.637022018432617,0.0,True,True
Z±,13,4.0,1,4.0,7.814717769622803,8.835288047790527,9.289377212524414,0.11562517285346985,1.0,False,True
Z±,14,1.0,1,1.0,7.957235813140869,9.240256309509277,9.289373397827148,0.03666631877422333,0.9,False,True
Z±,15,0.25,1,0.25,8.668874740600586,10.084654808044434,14.183980941772461,-0.9309224486351013,0.0,True,True
Z±,16,0.0625,1,0.0625,9.66317367553711,11.754500389099121,15.890296936035156,-2.6623620986938477,0.0,True,True
