arm,request_ordinal,h,M5_T_z,M5_new_nll,M5_true_nll,M5_margin,M10_T_z,M10_new_nll,M10_true_nll,M10_margin,new_nll_delta_M10_minus_M5,interpretation
Z+,0,0.25,1.25,0.8183536529541016,9.398092269897461,8.57973861694336,2.5,0.038039036095142365,13.802821159362793,13.76478099822998,-0.7803146168589592,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z+,1,0.25,1.25,0.0721098929643631,10.835001945495605,10.76289176940918,2.5,0.020063836127519608,12.142881393432617,12.122817039489746,-0.05204605683684349,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z+,2,0.25,1.25,0.10862412303686142,12.420924186706543,12.312299728393555,2.5,0.024849629029631615,14.448026657104492,14.423175811767578,-0.0837744940072298,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z+,3,0.25,1.25,0.005163679830729961,11.76655101776123,11.761388778686523,2.5,0.00280957855284214,12.1963529586792,12.19354248046875,-0.002354101277887821,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z+,4,0.25,1.25,0.30789685249328613,11.028521537780762,10.720624923706055,2.5,0.12063800543546677,13.007568359375,12.886930465698242,-0.18725884705781937,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z+,5,0.25,1.25,0.21640488505363464,7.405446529388428,7.1890411376953125,2.5,0.052620869129896164,8.859075546264648,8.806453704833984,-0.16378401592373848,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z+,6,0.25,1.25,0.9183434844017029,13.566825866699219,12.648482322692871,2.5,0.00866265781223774,13.97073745727539,13.962074279785156,-0.9096808265894651,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z+,7,0.25,1.25,0.020597565919160843,13.266534805297852,13.245936393737793,2.5,0.012275569140911102,13.886080741882324,13.873805046081543,-0.00832199677824974,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z+,8,0.25,1.25,0.03688506782054901,7.694516658782959,7.657631874084473,2.5,0.0067617204040288925,9.16690731048584,9.16014575958252,-0.03012334741652012,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z+,9,0.25,1.25,0.11101160943508148,6.562116622924805,6.451105117797852,2.5,0.01780584640800953,7.940938472747803,7.92313289642334,-0.09320576302707195,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z±,0,0.25,1.25,0.8731083869934082,9.234298706054688,8.361190795898438,2.5,0.039563246071338654,13.6557035446167,13.616140365600586,-0.8335451409220695,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z±,1,0.25,1.25,0.11736216396093369,12.791114807128906,12.67375373840332,2.5,0.036746300756931305,13.992774963378906,13.95602798461914,-0.08061586320400238,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z±,2,0.25,1.25,0.13959558308124542,11.998663902282715,11.859067916870117,2.5,0.03125683590769768,13.606234550476074,13.574976921081543,-0.10833874717354774,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z±,3,0.25,1.25,0.08813062310218811,12.77203369140625,12.683902740478516,2.5,0.02027999609708786,13.767074584960938,13.746795654296875,-0.06785062700510025,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z±,4,0.25,1.25,0.34046846628189087,11.119230270385742,10.77876091003418,2.5,0.14920681715011597,13.00351333618164,12.854307174682617,-0.1912616491317749,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z±,5,0.25,1.25,0.19895999133586884,9.185209274291992,8.986249923706055,2.5,0.06241210550069809,10.333074569702148,10.270662307739258,-0.13654788583517075,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z±,6,0.25,1.25,0.9252386093139648,12.139147758483887,11.213909149169922,2.5,0.019425876438617706,14.936912536621094,14.917486190795898,-0.9058127328753471,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z±,7,0.25,1.25,0.042411766946315765,12.827228546142578,12.784818649291992,2.5,0.013525750488042831,14.234663009643555,14.221137046813965,-0.028886016458272934,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z±,8,0.25,1.25,0.039326995611190796,7.757698059082031,7.71837043762207,2.5,0.018343929201364517,8.448143005371094,8.429800033569336,-0.02098306640982628,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
Z±,9,0.25,1.25,0.09942591190338135,9.784767150878906,9.685340881347656,2.5,0.025890208780765533,11.090147018432617,11.064257621765137,-0.07353570312261581,FIXED_H_STRENGTH_CURVE_T_Z_1.25_TO_2.5
