arm,h,M,T_z,request_ordinal,new_nll,true_nll,new_minus_true_margin,new_nll_below_1_observation,positive_margin_observation,cutoff_note
Z±,0.0625,10,0.625,4,0.18858692049980164,12.090301513671875,11.901714324951172,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,0.0625,10,0.625,5,0.3417291045188904,7.6432342529296875,7.3015055656433105,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,0.0625,10,0.625,6,0.5993682742118835,12.873193740844727,12.273824691772461,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,0.0625,10,0.625,7,0.05003776401281357,10.961191177368164,10.911153793334961,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,0.0625,10,0.625,8,0.29098057746887207,6.374408721923828,6.083428859710693,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,0.0625,10,0.625,9,0.15130320191383362,10.026776313781738,9.875473022460938,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,0.25,10,2.5,0,0.039563246071338654,13.6557035446167,13.616140365600586,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,0.25,10,2.5,1,0.036746300756931305,13.992774963378906,13.95602798461914,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,0.25,10,2.5,2,0.03125683590769768,13.606234550476074,13.574976921081543,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,0.25,10,2.5,3,0.02027999609708786,13.767074584960938,13.746795654296875,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,0.25,10,2.5,4,0.14920681715011597,13.00351333618164,12.854307174682617,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,0.25,10,2.5,5,0.06241210550069809,10.333074569702148,10.270662307739258,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,0.25,10,2.5,6,0.019425876438617706,14.936912536621094,14.917486190795898,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,0.25,10,2.5,7,0.013525750488042831,14.234663009643555,14.221137046813965,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,0.25,10,2.5,8,0.018343929201364517,8.448143005371094,8.429800033569336,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,0.25,10,2.5,9,0.025890208780765533,11.090147018432617,11.064257621765137,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,1.0,10,10.0,0,0.007452291902154684,15.510157585144043,15.502706527709961,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,1.0,10,10.0,1,0.011499154381453991,15.7178955078125,15.70639705657959,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,1.0,10,10.0,2,0.07452063262462616,14.846540451049805,14.772018432617188,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,1.0,10,10.0,3,0.004321934189647436,14.44932746887207,14.445005416870117,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,1.0,10,10.0,4,0.04898820444941521,15.803251266479492,15.754261016845703,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,1.0,10,10.0,5,0.007659902796149254,10.561702728271484,10.554043769836426,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,1.0,10,10.0,6,0.0018793049966916442,16.075021743774414,16.073143005371094,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,1.0,10,10.0,7,0.0012070084922015667,17.737443923950195,17.736236572265625,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,1.0,10,10.0,8,0.006198093295097351,8.237449645996094,8.231250762939453,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,1.0,10,10.0,9,0.003963159862905741,12.586471557617188,12.582508087158203,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,4.0,10,40.0,0,1.159670352935791,9.856842041015625,8.697171211242676,False,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,4.0,10,40.0,1,0.00262977066449821,13.36756420135498,13.364934921264648,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,4.0,10,40.0,2,2.448333740234375,12.021929740905762,9.573596954345703,False,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,4.0,10,40.0,3,5.880990505218506,7.821493148803711,1.9405025243759155,False,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,4.0,10,40.0,4,0.00887336116284132,18.396772384643555,18.387897491455078,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,4.0,10,40.0,5,0.009768153540790081,11.181404113769531,11.171636581420898,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,4.0,10,40.0,6,0.689419150352478,7.982830047607422,7.2934112548828125,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,4.0,10,40.0,7,8.070972442626953,12.74216365814209,4.671192169189453,False,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,4.0,10,40.0,8,4.081130027770996,8.565258026123047,4.484127998352051,False,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
Z±,4.0,10,40.0,9,0.0006723240949213505,13.699820518493652,13.699148178100586,True,True,DESCRIPTIVE_NOT_PREDECLARED_GATE
