arm,T_z,M5_h,M10_h,M5_new_nll_mean,M5_new_nll_median,M5_new_nll_p90,M5_new_nll_max,M10_new_nll_mean,M10_new_nll_median,M10_new_nll_p90,M10_new_nll_max,M5_positive_margin_count,M10_positive_margin_count,M5_new_nll_below_1_count,M10_new_nll_below_1_count,request_denominator,M5_clamp_fraction,M10_clamp_fraction,latent_endpoint_d_median,latent_endpoint_d_p90,latent_endpoint_d_max,old_geometry_gate_pass,revised_task_metric_gate,claim_level
Z+,1.25,0.25,0.125,0.2615390717983246,0.10981786251068115,0.8283525705337524,0.9183434844017029,0.051359884440898895,0.03485048934817314,0.12240596860647202,0.1575644165277481,10,10,10,10,10,0.0,0.0,0.5998193025588989,0.8199989199638367,0.8374960422515869,False,USER_DIRECTED_PASS,TRAIN_TARGET_METRIC_STABILITY_ONLY
Z±,1.25,0.25,0.125,0.2864028513431549,0.12847886979579926,0.8783213496208191,0.9252386093139648,0.06824278086423874,0.05883515626192093,0.13339382410049438,0.18896625936031342,10,10,10,10,10,0.12,0.0,0.7378959655761719,0.8652667999267578,1.022678017616272,False,USER_DIRECTED_PASS,TRAIN_TARGET_METRIC_STABILITY_ONLY
