state,family,variant,edits,task,wall_seconds,forwards,input_tokens
W0,W0,W0,0,sst2,37.165152521803975,700,9378
W0,W0,W0,0,mrpc,53.57362402789295,700,21741
W0,W0,W0,0,cola,35.803509815596044,700,7332
W0,W0,W0,0,rte,48.76934027019888,700,21237
W0,W0,W0,0,mmlu,93.56483223289251,900,62465
W0,W0,W0,0,nli,51.797042932361364,700,23670
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,sst2,36.84739121515304,700,9378
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mrpc,53.62904168386012,700,21741
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,cola,35.787516636773944,700,7332
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,rte,48.7815694892779,700,21237
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mmlu,93.55836038012058,900,62465
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,nli,51.830938786268234,700,23670
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,sst2,36.86794527899474,700,9378
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,mrpc,53.66255977656692,700,21741
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,cola,35.790448809973896,700,7332
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,rte,48.81828949879855,700,21237
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,mmlu,93.60278024990112,900,62465
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,nli,51.82592386379838,700,23670
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,sst2,36.860162443481386,700,9378
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mrpc,53.65744145959616,700,21741
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,cola,35.81217746064067,700,7332
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,rte,48.79343043919653,700,21237
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,mmlu,93.58896701782942,900,62465
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,nli,51.81004405580461,700,23670
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,sst2,36.85875088535249,700,9378
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,mrpc,53.70872142724693,700,21741
