state,family,variant,edits,task,branch,correct,denominator,invalid,accuracy,weighted_f1,mcc,delta_accuracy_pp,delta_f1_pp,probability_ties,prompt_order_sha256,parameter_root,source_head
W0,W0,W0,0,sst2,generation,73,100,25,0.73,0.8311041174927878,0.6226154140883043,0.0,0.0,0,58281b251b2f3602437328044925c3cc5be1005c310e0061467b5a9bb39398bb,29f6798214f10059ead42a7b8e6ea72be859416dd975a0a76fd7527f1a3458c3,257fe5483dc3407690fec9c9bb45cc7dcda91215
W0,W0,W0,0,sst2,alternative,98,100,0,0.98,0.9799919967987194,0.9607689228305227,0.0,0.0,0,58281b251b2f3602437328044925c3cc5be1005c310e0061467b5a9bb39398bb,29f6798214f10059ead42a7b8e6ea72be859416dd975a0a76fd7527f1a3458c3,257fe5483dc3407690fec9c9bb45cc7dcda91215
W0,W0,W0,0,mrpc,generation,67,100,0,0.67,0.6576408341114223,0.367572937554749,0.0,0.0,0,f6d9aefa402108b411d5f0eaede49359dbc0ad6c222dba27a3db59e784c61db3,29f6798214f10059ead42a7b8e6ea72be859416dd975a0a76fd7527f1a3458c3,257fe5483dc3407690fec9c9bb45cc7dcda91215
W0,W0,W0,0,mrpc,alternative,67,100,0,0.67,0.6576408341114223,0.367572937554749,0.0,0.0,0,f6d9aefa402108b411d5f0eaede49359dbc0ad6c222dba27a3db59e784c61db3,29f6798214f10059ead42a7b8e6ea72be859416dd975a0a76fd7527f1a3458c3,257fe5483dc3407690fec9c9bb45cc7dcda91215
W0,W0,W0,0,cola,generation,76,100,1,0.76,0.7606732348111658,0.5417195694589682,0.0,0.0,0,777b214fad96fab17e8286e57fb93df326943fded99956c0fcbc1addba8e46d1,29f6798214f10059ead42a7b8e6ea72be859416dd975a0a76fd7527f1a3458c3,257fe5483dc3407690fec9c9bb45cc7dcda91215
W0,W0,W0,0,cola,alternative,74,100,0,0.74,0.7312939231087227,0.5144957554275266,0.0,0.0,0,777b214fad96fab17e8286e57fb93df326943fded99956c0fcbc1addba8e46d1,29f6798214f10059ead42a7b8e6ea72be859416dd975a0a76fd7527f1a3458c3,257fe5483dc3407690fec9c9bb45cc7dcda91215
W0,W0,W0,0,rte,generation,66,100,0,0.66,0.6310763888888888,0.38624363966821407,0.0,0.0,0,d8018f2d287374ec2c0abc7fb97f9c3d96b340afc900e54ab6476460e468be95,29f6798214f10059ead42a7b8e6ea72be859416dd975a0a76fd7527f1a3458c3,257fe5483dc3407690fec9c9bb45cc7dcda91215
W0,W0,W0,0,rte,alternative,66,100,0,0.66,0.6310763888888888,0.38624363966821407,0.0,0.0,0,d8018f2d287374ec2c0abc7fb97f9c3d96b340afc900e54ab6476460e468be95,29f6798214f10059ead42a7b8e6ea72be859416dd975a0a76fd7527f1a3458c3,257fe5483dc3407690fec9c9bb45cc7dcda91215
W0,W0,W0,0,mmlu,generation,52,100,15,0.52,0.5623958491137706,0.4013184072223359,0.0,0.0,0,d2d3d7d816b173c156c4524a7efab0e01d4f1cb974ad64c2bc34de1c504caee3,29f6798214f10059ead42a7b8e6ea72be859416dd975a0a76fd7527f1a3458c3,257fe5483dc3407690fec9c9bb45cc7dcda91215
W0,W0,W0,0,mmlu,alternative,61,100,0,0.61,0.6109995910932678,0.4856005150965233,0.0,0.0,0,d2d3d7d816b173c156c4524a7efab0e01d4f1cb974ad64c2bc34de1c504caee3,29f6798214f10059ead42a7b8e6ea72be859416dd975a0a76fd7527f1a3458c3,257fe5483dc3407690fec9c9bb45cc7dcda91215
