state,family,variant,edits,wall_seconds,task_wall_seconds,non_task_state_seconds,peak_gpu_bytes,peak_host_kib
W0,W0,W0,0,431.19044462312013,320.6735018007457,110.5169428223744,33231294464,34690092
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,510.3327266359702,320.4348181914538,189.89790844451636,33231294464,34690092
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,510.0510401604697,320.5679474780336,189.4830926824361,33231294464,34690092
AlphaEdit_L4_ONLY-edits01000,AlphaEdit,L4_ONLY,1000,509.21081662457436,320.52222287654877,188.6885937480256,33231294464,34690092
AlphaEdit_L4_ONLY-edits02000,AlphaEdit,L4_ONLY,2000,510.5381088955328,320.5952502740547,189.94285862147808,33231294464,34690092
AlphaEdit_L4_ONLY-edits03000,AlphaEdit,L4_ONLY,3000,512.421636342071,320.54085666686296,191.88077967520803,33231294464,34690092
AlphaEdit_L4_ONLY-edits04000,AlphaEdit,L4_ONLY,4000,512.1440095677972,320.29823285155,191.8457767162472,33231294464,34690092
AlphaEdit_L4_ONLY-edits05000,AlphaEdit,L4_ONLY,5000,511.90593503415585,320.3512268131599,191.55470822099596,33231294464,34690092
AlphaEdit_L4_ONLY-edits06000,AlphaEdit,L4_ONLY,6000,511.2625873219222,320.3461664458737,190.9164208760485,33231294464,34690092
AlphaEdit_L4_ONLY-edits07000,AlphaEdit,L4_ONLY,7000,511.0088031999767,320.4947097832337,190.51409341674298,33231294464,34690092
AlphaEdit_L4_ONLY-edits08000,AlphaEdit,L4_ONLY,8000,508.12947562057525,319.9051510868594,188.22432453371584,33231294464,34690092
AlphaEdit_L4_ONLY-edits09000,AlphaEdit,L4_ONLY,9000,508.6786352703348,319.67324408795685,189.00539118237793,33231294464,34690092
AlphaEdit_L4_ONLY-edits10000,AlphaEdit,L4_ONLY,10000,512.2210931582376,319.48919248767197,192.73190067056566,33231294464,34690092
AlphaEdit_L8_ONLY-edits00100,AlphaEdit,L8_ONLY,100,509.5398145047948,320.5500665055588,188.989747999236,33231294464,34690092
AlphaEdit_L8_ONLY-edits00500,AlphaEdit,L8_ONLY,500,513.517677991651,320.4737188825384,193.04395910911262,33231294464,34690092
AlphaEdit_L8_ONLY-edits01000,AlphaEdit,L8_ONLY,1000,509.5077856834978,320.48273067642003,189.02505500707775,33231294464,34690092
AlphaEdit_L8_ONLY-edits02000,AlphaEdit,L8_ONLY,2000,510.8664270378649,320.62210148759186,190.24432555027306,33231294464,34690092
AlphaEdit_L8_ONLY-edits03000,AlphaEdit,L8_ONLY,3000,510.20979359652847,320.66715526767075,189.54263832885772,33231294464,34690092
AlphaEdit_L8_ONLY-edits04000,AlphaEdit,L8_ONLY,4000,509.7790428902954,320.660293799825,189.11874909047037,33231294464,34690092
AlphaEdit_L8_ONLY-edits05000,AlphaEdit,L8_ONLY,5000,510.09017811436206,320.36095363646746,189.7292244778946,33231294464,34690092
AlphaEdit_L8_ONLY-edits06000,AlphaEdit,L8_ONLY,6000,508.6882377965376,320.4712548730895,188.21698292344809,33231294464,34690092
AlphaEdit_L8_ONLY-edits07000,AlphaEdit,L8_ONLY,7000,509.8198284506798,320.4876614958048,189.332166954875,33231294464,34690092
AlphaEdit_L8_ONLY-edits08000,AlphaEdit,L8_ONLY,8000,509.3620864022523,320.3031834596768,189.05890294257551,33231294464,34690092
AlphaEdit_L8_ONLY-edits09000,AlphaEdit,L8_ONLY,9000,509.31705805752426,319.949754036963,189.36730402056128,33231294464,34690092
AlphaEdit_L8_ONLY-edits10000,AlphaEdit,L8_ONLY,10000,506.8339216951281,319.9521406907588,186.88178100436926,33231294464,34690092
AlphaEdit_ORIGINAL-edits00100,AlphaEdit,BLUE,100,510.6259599244222,320.113124800846,190.51283512357622,33231294464,34690092
AlphaEdit_ORIGINAL-edits00500,AlphaEdit,BLUE,500,512.6184981474653,319.66936757974327,192.94913056772202,33231294464,34690092
AlphaEdit_ORIGINAL-edits01000,AlphaEdit,BLUE,1000,515.7470803931355,319.7845582384616,195.96252215467393,33231294464,34690092
AlphaEdit_ORIGINAL-edits02000,AlphaEdit,BLUE,2000,518.9914600681514,320.44185534119606,198.5496047269553,33231294464,34690092
AlphaEdit_ORIGINAL-edits03000,AlphaEdit,BLUE,3000,515.7589393006638,320.8946546120569,194.86428468860686,33231294464,34690092
