cell,arm,requests,at_write_success,initial_failure,success_to_loss,recovery,final_RS,overwrite
LM,O,1000,995,5,46,1,950,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
LM,QCL,1000,986,14,11,11,986,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
LM,NQFIX,1000,1000,0,244,0,756,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
LM,ORBFH,1000,912,88,22,8,898,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
LM,JAC,1000,913,87,17,17,913,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
LA,O,1000,1000,0,2,0,998,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
LA,QCL,1000,1000,0,3,0,997,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
LA,NQFIX,1000,1000,0,9,0,991,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
LA,ORBFH,1000,1000,0,4,0,996,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
LA,JAC,1000,918,82,1,1,918,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
QM,O,1000,1000,0,25,0,975,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
QM,QCL,1000,1000,0,5,0,995,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
QM,NQFIX,1000,993,7,145,0,848,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
QM,ORBFH,1000,1000,0,10,0,990,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
QM,JAC,1000,999,1,3,0,996,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
QA,O,1000,992,8,170,0,822,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
QA,QCL,1000,974,26,204,5,775,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
QA,NQFIX,1000,718,282,251,111,578,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
QA,ORBFH,1000,992,8,54,3,941,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
QA,JAC,1000,918,82,0,4,922,UNAVAILABLE_NO_RELATION_TARGET_CONFLICT_METADATA_IN_RUN_PUBLIC_ROWS
