cell,arm,batch,stage,request_n,RS_num,RS_den,RS_rate,PS_num,PS_den,PS_rate,PS_strict_num,PS_strict_den,PS_strict_rate,NS_num,NS_den,NS_rate,rewrite_acc_num,rewrite_acc_den,rewrite_acc_rate,rephrase_acc_num,rephrase_acc_den,rephrase_acc_rate,neighborhood_true_acc_num,neighborhood_true_acc_den,neighborhood_true_acc_rate,rewrite_target_new_nll_n,rewrite_target_new_nll_mean,rewrite_target_new_nll_median,rewrite_target_new_nll_q25,rewrite_target_new_nll_q75,rewrite_target_new_nll_p90,rewrite_target_new_nll_max,rewrite_target_true_nll_n,rewrite_target_true_nll_mean,rewrite_target_true_nll_median,rewrite_target_true_nll_q25,rewrite_target_true_nll_q75,rewrite_target_true_nll_p90,rewrite_target_true_nll_max,rewrite_margin_true_minus_new_n,rewrite_margin_true_minus_new_mean,rewrite_margin_true_minus_new_median,rewrite_margin_true_minus_new_q25,rewrite_margin_true_minus_new_q75,rewrite_margin_true_minus_new_p90,rewrite_margin_true_minus_new_max,rephrase_target_new_nll_mean_n,rephrase_target_new_nll_mean_mean,rephrase_target_new_nll_mean_median,rephrase_target_new_nll_mean_q25,rephrase_target_new_nll_mean_q75,rephrase_target_new_nll_mean_p90,rephrase_target_new_nll_mean_max,rephrase_target_new_nll_max_n,rephrase_target_new_nll_max_mean,rephrase_target_new_nll_max_median,rephrase_target_new_nll_max_q25,rephrase_target_new_nll_max_q75,rephrase_target_new_nll_max_p90,rephrase_target_new_nll_max_max,rephrase_target_true_nll_mean_n,rephrase_target_true_nll_mean_mean,rephrase_target_true_nll_mean_median,rephrase_target_true_nll_mean_q25,rephrase_target_true_nll_mean_q75,rephrase_target_true_nll_mean_p90,rephrase_target_true_nll_mean_max,rephrase_target_true_nll_max_n,rephrase_target_true_nll_max_mean,rephrase_target_true_nll_max_median,rephrase_target_true_nll_max_q25,rephrase_target_true_nll_max_q75,rephrase_target_true_nll_max_p90,rephrase_target_true_nll_max_max,rephrase_margin_true_minus_new_mean_n,rephrase_margin_true_minus_new_mean_mean,rephrase_margin_true_minus_new_mean_median,rephrase_margin_true_minus_new_mean_q25,rephrase_margin_true_minus_new_mean_q75,rephrase_margin_true_minus_new_mean_p90,rephrase_margin_true_minus_new_mean_max,locality_target_true_nll_mean_n,locality_target_true_nll_mean_mean,locality_target_true_nll_mean_median,locality_target_true_nll_mean_q25,locality_target_true_nll_mean_q75,locality_target_true_nll_mean_p90,locality_target_true_nll_mean_max,locality_target_new_nll_mean_n,locality_target_new_nll_mean_mean,locality_target_new_nll_mean_median,locality_target_new_nll_mean_q25,locality_target_new_nll_mean_q75,locality_target_new_nll_mean_p90,locality_target_new_nll_mean_max,locality_target_true_minus_new_nll_mean_n,locality_target_true_minus_new_nll_mean_mean,locality_target_true_minus_new_nll_mean_median,locality_target_true_minus_new_nll_mean_q25,locality_target_true_minus_new_nll_mean_q75,locality_target_true_minus_new_nll_mean_p90,locality_target_true_minus_new_nll_mean_max,PP_num,PP_den,PP_rate
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,100,98,100,0.97999999999999998,164,200,0.81999999999999995,77,100,0.77000000000000002,887,1000,0.88700000000000001,95,100,0.94999999999999996,97,200,0.48499999999999999,205,1000,0.20499999999999999,100,0.39499661860711055,0.0031031437683850527,0.0011788783012889326,0.0094847648870199919,0.1949747487902643,13.503738403320312,100,12.001955499388277,12.078693866729736,9.2423214912414551,14.746626377105713,17.36986770629883,22.587747573852539,100,11.606958880781168,12.023931800795253,9.2358940592966974,14.746033219955279,17.369160120852762,22.586745287757367,100,3.094813690101728,2.1923406845889986,0.24021918140351772,4.6029812097549438,6.9921870589256292,13.909633636474609,100,4.4456289617344735,3.913124680519104,0.39470437169075012,6.0735542774200439,11.516185760498047,17.217962265014648,100,7.9767858323454854,8.1461941003799438,5.4596951007843018,10.044973254203796,12.563320922851563,15.837774753570557,100,9.4312761306762702,9.0508155822753906,7.3617792129516602,12.141324520111084,14.187763500213624,18.091947555541992,100,4.8819721422437574,5.5558225065469742,2.1567143052816391,8.2290354966244195,10.818459452502431,15.696365028154105,100,4.7555473367790686,4.4945142667042095,2.872201446071267,5.6413094937801356,8.7216712141036989,11.701945400238037,100,10.582573794126509,10.585544967651366,8.2123509645462036,12.381599736213685,14.89445833206177,18.369972705841064,100,-5.82702645734744,-5.8050204560160639,-8.2302474856376655,-3.1118371814489363,-1.8402479696273775,3.5520494937896729,,,
LM,O,2,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,200,197,200,0.98499999999999999,340,400,0.84999999999999998,158,200,0.79000000000000004,1787,2000,0.89349999999999996,194,200,0.96999999999999997,220,400,0.55000000000000004,415,2000,0.20749999999999999,200,0.18824775448385481,0.0018582945922389627,0.00070147938095033169,0.0048395221820101142,0.040645089000463472,13.906005859375,200,12.994660406317562,12.561856746673584,10.15966534614563,15.854376554489136,18.334095382690428,25.959300994873047,200,12.806412651833707,12.560306619328912,10.157543747860473,15.853502126090461,18.329326892428799,25.958925556100439,200,2.6890610286427727,1.761221818625927,0.1104935840703547,4.0674442918971181,6.5215307759121055,18.883160591125488,200,3.9568226071377284,2.8586673736572266,0.21081883460283279,6.3190686702728271,10.144642353057861,20.703525543212891,200,8.6993539696180964,8.7351481914520264,6.1638937741518021,10.982988357543945,13.55095601081848,19.918261528015137,200,10.160564723834396,10.171599864959717,7.5675820112228394,12.826642036437988,15.454024314880369,21.968851089477539,200,6.0102929409753232,6.5555847459472716,2.9391693621873856,9.2979745015327353,12.403776279848534,19.915138850396033,200,4.7064583920106813,4.3952116787433626,3.1805505841970443,5.9346576448529955,7.9654461288452145,12.869215106964111,200,10.438749855741857,10.50893759727478,8.318177413940429,12.068568539619445,14.488666429519654,18.212097644805908,200,-5.732291463731177,-5.569225816428661,-7.5530952274799343,-3.3778490483760835,-1.8300900369882589,3.473735284805298,,,
LM,O,3,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,300,298,300,0.99333333333333329,515,600,0.85833333333333328,239,300,0.79666666666666663,2654,3000,0.88466666666666671,291,300,0.96999999999999997,342,600,0.56999999999999995,682,3000,0.22733333333333333,300,0.14700469603852981,0.0015364995924755931,0.00060224276967346668,0.0047155675711110234,0.034325689077377479,14.532876968383789,300,13.043319892684618,12.910330295562744,9.9963672161102295,15.985681295394897,18.787845420837403,26.549476623535156,300,12.896315196646089,12.90796925000177,9.9761671724845655,15.984815411560703,18.786765190860027,26.549103448895039,300,2.4104803806736768,1.2796594398096204,0.10553469625301659,3.6191735379397869,6.2503713190555574,18.158317565917969,300,3.5445907223943505,2.2537416219711304,0.192716084420681,5.504525899887085,9.3908865928650052,20.178913116455078,300,8.6158053140916557,8.4682936668395996,5.956689178943634,11.097705483436584,13.481708335876467,21.098300933837891,300,10.038221406117081,10.040898323059082,7.571314811706543,12.586483240127563,15.532725524902345,22.32354736328125,300,6.2053249334179785,6.4879079544916749,3.3708501607179642,9.48788598831743,12.374533394537879,21.096343253564555,300,4.5054838268550919,4.0191459655761719,2.8982076363638045,5.6933211982250214,7.7637147545814518,13.116521215438842,300,10.010082957958183,10.146380877494812,8.0654053241014481,11.849734950065614,13.993130826950075,17.428347206115724,300,-5.5045991311030908,-5.3540719851851462,-7.4229165107011799,-3.2298791248351333,-1.4275469830632186,4.6655339241027836,,,
LM,O,4,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,400,397,400,0.99250000000000005,704,800,0.88,328,400,0.81999999999999995,3449,4000,0.86224999999999996,391,400,0.97750000000000004,476,800,0.59499999999999997,950,4000,0.23749999999999999,400,0.13172344687458462,0.0015970225795172155,0.00060977817338425666,0.0049618561752140522,0.019161937199533043,15.11736011505127,400,13.242488105082884,12.908605098724365,10.113436460494995,16.155956268310547,19.278827285766603,26.456705093383789,400,13.1107646582083,12.89076214027591,10.110849718919781,16.153106210404076,19.278267632407371,26.456142702896614,400,2.1366046850824114,1.0615777773782611,0.087964319420279935,3.2420187741518021,5.5124779212288564,17.783671855926514,400,3.208535788012814,1.88200443983078,0.15527914464473724,4.879743218421936,8.5838301658630378,19.821340560913086,400,8.8157379071909237,8.7567979097366333,6.2810974717140198,11.114242076873779,13.677162265777589,20.899438858032227,400,10.295141837261617,10.167069435119629,7.5951615571975708,12.818358421325684,15.846988201141357,25.263713836669922,400,6.6791332221085122,6.9862040423322469,3.7171918004751205,9.6238413078244776,12.991670400206932,20.723034146736609,400,4.4414611460630988,3.9945813441649083,2.8065204109996555,5.8601434096693996,7.615467784404756,13.656381988525391,400,9.8342535706795466,9.9252721786499016,7.7695168316364285,11.66047079563141,14.132277965545654,17.894030857086182,400,-5.3927924246164478,-5.2366246461868293,-7.5066080938093362,-2.9624136855360121,-0.80915662288665735,4.5769808724522587,,,
LM,O,5,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,500,495,500,0.98999999999999999,888,1000,0.88800000000000001,416,500,0.83199999999999996,4252,5000,0.85040000000000004,486,500,0.97199999999999998,610,1000,0.60999999999999999,1194,5000,0.23880000000000001,500,0.1834673082259542,0.0018751314491964877,0.0006342902488540858,0.0062166234711185098,0.038256093487143518,14.798704147338867,500,13.06468490685895,12.885164737701416,9.8804655075073242,15.970527172088623,18.732812309265139,26.023979187011719,500,12.881217598632997,12.883419742342085,9.8364117587916553,15.970351234798727,18.731541432300585,26.023725303442916,500,2.077657273665289,1.0359902061754838,0.097917210776358843,3.0317058935761452,5.6037216782569912,16.990167140960693,500,3.1029626491362579,1.7835685014724731,0.15383873134851456,5.0176701545715332,8.5113271713256839,19.002727508544922,500,8.8239072625683619,8.7192783355712891,6.0539469122886658,11.131052494049072,13.627043676376346,22.442324638366699,500,10.272270796060562,10.237620830535889,7.3553906679153442,12.848269462585449,15.701316642761233,25.800748825073242,500,6.7462499889030729,6.9837356582283974,3.766546942293644,9.870450200047344,12.592321620089933,22.433177178259939,500,4.3789916288822655,4.0413353834301233,2.7680040948791431,5.6753419697284695,7.4738975977897653,13.598720073699951,500,9.5135381239625989,9.4914530873298641,7.4994514942169186,11.296465706825256,13.806864595413209,17.722083854675294,500,-5.1345464950803317,-5.0984709292650221,-7.3655107956379648,-2.5977339915931226,-0.55138362482190073,5.8306824445724486,,,
LM,O,6,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,600,593,600,0.98833333333333329,1073,1200,0.89416666666666667,503,600,0.83833333333333337,4845,6000,0.8075,576,600,0.95999999999999996,748,1200,0.62333333333333329,1327,6000,0.22116666666666668,600,0.23763692100629366,0.0023302682675421238,0.00078846716496627778,0.0097948650363832712,0.073808127641677865,15.730585098266602,600,12.785129499665151,12.659405708312988,9.7248821258544922,15.634658336639404,18.394776153564454,26.603372573852539,600,12.547492578658858,12.592824579944136,9.6146318984101526,15.626143117100582,18.393866064687611,26.602504153735936,600,2.0133137387717035,0.94787959661334753,0.084743094950681552,2.8874074518680573,5.5456744194030776,16.601534843444824,600,2.9897352618232254,1.597113311290741,0.13613710924983025,4.7850313186645508,8.0826435089111364,17.132680892944336,600,8.8682044957236705,8.8306558132171631,6.124394416809082,11.249543786048889,13.587544536590578,22.120560646057129,600,10.298539153287807,10.21431303024292,7.5377981662750244,12.995599985122681,15.488164997100831,25.300020217895508,600,6.8548907569519661,7.0545148104429245,3.7872410255076829,10.09918958102935,12.906633618846536,22.11378494813107,600,4.5773638153830358,4.1884487167000763,2.875532479584217,5.9969881441444155,7.6826524209976208,13.374022006988525,600,9.0843172531089706,9.1979019880294786,6.7810208022594454,11.076767396926879,13.271288194656373,18.429289722442626,600,-4.5069534377259366,-4.4787034787237641,-7.2822920638136566,-1.7500728338956832,0.60666352152824432,7.7866259574890133,,,
LM,O,7,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,700,693,700,0.98999999999999999,1266,1400,0.90428571428571425,598,700,0.85428571428571431,5474,7000,0.78200000000000003,666,700,0.9514285714285714,894,1400,0.63857142857142857,1440,7000,0.20571428571428571,700,0.28443263305113631,0.0039780184160917997,0.0014256204594857991,0.017525631468743086,0.20583671778440502,13.989105224609375,700,12.381539775473732,12.296406269073486,9.2231342792510986,15.526550769805908,18.065192794799806,25.849296569824219,700,12.097107142422594,12.065209909284022,9.1181179902632721,15.485479446972022,18.064276590559167,25.849077129605575,700,1.888455324266054,0.86146758776158094,0.12118506897240877,2.7414219573838636,5.1965652942657474,14.865181446075439,700,2.8165419071620481,1.4510756731033325,0.19386963546276093,4.3972362279891968,7.827421951293946,16.789302825927734,700,8.8283573536445115,8.7631344795227051,6.2242876291275024,11.30655312538147,13.603889656066896,22.656335830688477,700,10.230726587814944,10.160287380218506,7.3566769361495972,12.960094213485718,15.343092727661134,24.595403671264648,700,6.9399020293784579,7.2201738730655052,4.0286172367632389,10.082663879264146,12.81621244440321,22.653333264985122,700,4.6097960263047542,4.2952698782086376,2.8557497669011354,6.0129734933376309,7.6386908674240113,13.161893129348755,700,8.6963695201831364,8.7410073757171638,6.5337055683135983,10.90349754691124,12.90037353515625,18.3748797416687,700,-4.0865734938783822,-4.1513158597052096,-6.9432823100069072,-1.3361252438277005,1.6618912929296497,6.8697466015815731,,,
LM,O,8,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,800,785,800,0.98124999999999996,1460,1600,0.91249999999999998,694,800,0.86750000000000005,6065,8000,0.75812500000000005,738,800,0.92249999999999999,1008,1600,0.63,1556,8000,0.19450000000000001,800,0.41967299196805924,0.0066646081395447254,0.0020428281859494746,0.04303867369890213,0.58989984393119932,16.021900177001953,800,11.883761031720788,11.807807922363281,8.7221331596374512,14.762316226959229,17.580963325500491,25.968278884887695,800,11.464088039752728,11.6667131758295,8.2483874552126508,14.706517784215976,17.529472173354588,25.968209269085492,800,1.8725955881933805,0.89046570099890232,0.1341387170687085,2.6890676245093346,5.1708331346511844,16.047963619232178,800,2.7680375029178688,1.4929379224777222,0.21759581938385963,4.150673508644104,7.3292040824890146,16.714496612548828,800,8.780406751457777,8.6819069385528564,6.3397927284240723,11.209711194038391,13.311315822601319,22.194930076599121,800,10.159697505906225,10.084623336791992,7.5103738307952881,12.85750937461853,15.205083751678467,24.833484649658203,800,6.9078111632643955,7.1227266641799361,3.9004930773517117,10.111407906988461,12.57152773961425,22.186948716465849,800,4.6866462429275852,4.3666369097889399,2.8921977113932371,5.976771968603134,7.7098390722274797,13.526537227630616,800,8.2168898800719177,8.2906703948974609,5.9812554240226739,10.324604177474976,12.275088748931884,18.119974613189697,800,-3.5302436371443324,-3.4950648212805389,-6.1212377592455596,-1.1271952230483293,1.6768417781591416,8.1678082448197529,,,
LM,O,9,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,900,874,900,0.97111111111111115,1638,1800,0.91000000000000003,778,900,0.86444444444444446,6635,9000,0.73722222222222222,793,900,0.88111111111111107,1142,1800,0.63444444444444448,1644,9000,0.18266666666666667,900,0.62972863195843987,0.011852286290377378,0.002859255881048739,0.10502269305288792,1.7063999414443971,16.842535018920898,900,11.237927127844758,11.179571628570557,8.0331141948699951,14.349002361297607,17.05599308013916,26.184135437011719,900,10.608198495886318,10.918014647788368,7.3341699447482824,14.124759252532385,16.947729874972719,26.183823395782383,900,1.8153003969372206,0.81816824525594711,0.10814702938660048,2.5420594662427902,5.0019971251487743,15.870604991912842,900,2.636966644695947,1.3229265809059143,0.16355087608098984,4.1277972459793091,7.130963850021363,16.294052124023438,900,8.712313560750335,8.5715903043746948,6.1374069154262543,11.255257725715637,13.30728235244751,21.320671081542969,900,10.009994660682148,9.8415899276733398,7.0956447124481201,12.720874309539795,15.220597648620606,24.900104522705078,900,6.8970131638131154,7.0703949257731438,3.8303734082728624,9.980043810850475,12.907284648466156,21.309963713225443,900,4.7109003391832944,4.2351101215928795,3.192091163992882,5.9753279983997345,7.9539236021041875,13.903559303283691,900,7.8404775160331823,7.8959167480468757,5.4761529445648192,10.094599831104279,12.288179540634157,17.860644340515137,900,-3.1295771768498879,-3.1237421588855794,-5.9085285089910027,-0.4782319411635399,1.9367368641868237,8.9853144109249108,,,
LM,O,10,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1000,950,1000,0.94999999999999996,1776,2000,0.88800000000000001,841,1000,0.84099999999999997,7276,10000,0.72760000000000002,834,1000,0.83399999999999996,1243,2000,0.62150000000000005,1927,10000,0.19270000000000001,1000,0.88640883719035624,0.035157652571797371,0.0071427522925660014,0.40910700708627701,2.825541424751282,19.000553131103516,1000,9.80525169686228,9.7228884696960449,6.4319432973861694,12.725341320037842,15.619031620025639,26.285207748413086,1000,8.9188428596719245,9.2159969478379935,5.3324103280901909,12.50214772275649,15.445101694314509,26.284378634009045,1000,1.8887515021752515,0.88922277605161071,0.1306768519571051,2.7237078488979023,5.2106938481330873,17.180972099304199,1000,2.6658852173050982,1.4062087535858154,0.21510762348771095,4.1303538084030151,7.2846215248107917,18.191135406494141,1000,8.1580845959670842,7.9397554397583008,5.5799602866172791,10.706833481788635,12.933820343017578,21.048637390136719,1000,9.3546441196799286,9.0900611877441406,6.573372483253479,12.058051586151123,14.45903263092041,24.553874969482422,1000,6.2693330937918326,6.351117727579549,3.2423703940585256,9.4705108508933336,12.36643343930773,21.04188571346458,1000,4.552657494464377,4.1124286904931076,2.858682985510677,5.838820838928223,7.883598961830141,13.666242504119873,1000,7.2922572075698344,7.1427989840507511,4.9375117629766461,9.4961519241333008,11.495761833190919,17.581595993041994,1000,-2.7395997131054584,-2.5922782868146896,-5.3190199911594389,-0.29015995934605598,1.9210218508495018,8.6942265781573944,,,
