cell,batch,arm,reference,RS_delta_pp,PS_delta_pp,PS_strict_delta_pp,NS_delta_pp,rewrite_acc_delta_pp,rephrase_acc_delta_pp
LM,1,QCL,O,-2.0000000000000018,-3.9999999999999925,-8.0000000000000071,0.10000000000000009,-5.9999999999999947,-4.4999999999999982
LM,1,NQFIX,O,2.0000000000000018,9.5000000000000089,9.9999999999999982,-0.70000000000000062,5.0000000000000044,8.4999999999999964
LM,1,ORBFH,O,0,-0.99999999999998979,-2.0000000000000018,-0.20000000000000018,1.0000000000000009,0
LM,1,JAC,O,0,-0.50000000000000044,-1.0000000000000009,-0.40000000000000036,1.0000000000000009,-0.50000000000000044
LM,1,NQFIX,QCL,4.0000000000000036,13.5,18.000000000000004,-0.80000000000000071,10.999999999999998,12.999999999999995
LM,1,ORBFH,NQFIX,-2.0000000000000018,-10.499999999999998,-12,0.50000000000000044,-4.0000000000000036,-8.4999999999999964
LM,1,ORBFH,JAC,0,-0.49999999999998934,-1.0000000000000009,0.20000000000000018,0,0.50000000000000044
LM,2,QCL,O,-0.50000000000000044,-4.9999999999999929,-7.5000000000000071,0.35000000000000586,-3.499999999999992,-7.0000000000000062
LM,2,NQFIX,O,1.5000000000000013,7.7500000000000018,8.9999999999999964,-1.0000000000000009,3.0000000000000027,8.9999999999999964
LM,2,ORBFH,O,0.50000000000000044,0,-2.0000000000000018,-0.049999999999994493,1.0000000000000009,-0.75000000000000622
LM,2,JAC,O,0.50000000000000044,0,-1.5000000000000013,-0.50000000000000044,0.50000000000000044,0
LM,2,NQFIX,QCL,2.0000000000000018,12.749999999999995,16.500000000000004,-1.3500000000000068,6.4999999999999947,16.000000000000004
LM,2,ORBFH,NQFIX,-1.0000000000000009,-7.7500000000000018,-10.999999999999998,0.95000000000000639,-2.0000000000000018,-9.7500000000000036
LM,2,ORBFH,JAC,0,0,-0.50000000000000044,0.45000000000000595,0.50000000000000044,-0.75000000000000622
LM,3,QCL,O,-1.3333333333333308,-3.6666666666666625,-4.6666666666666634,-0.2666666666666706,-2.3333333333333317,-3.6666666666666625
LM,3,NQFIX,O,0.33333333333334103,6.0000000000000053,8.6666666666666679,-1.6333333333333422,2.3333333333333317,9.6666666666666679
LM,3,ORBFH,O,-0.66666666666665986,-0.16666666666665941,-1.0000000000000009,-0.86666666666667114,0,1.8333333333333424
LM,3,JAC,O,-1.0000000000000009,-0.49999999999998934,-0.33333333333332993,-1.6666666666666718,0.33333333333334103,0.50000000000000044
LM,3,NQFIX,QCL,1.6666666666666718,9.6666666666666679,13.33333333333333,-1.3666666666666716,4.6666666666666634,13.33333333333333
LM,3,ORBFH,NQFIX,-1.0000000000000009,-6.1666666666666643,-9.6666666666666679,0.76666666666667105,-2.3333333333333317,-7.833333333333325
LM,3,ORBFH,JAC,0.33333333333334103,0.33333333333332993,-0.66666666666667096,0.80000000000000071,-0.33333333333334103,1.3333333333333419
LM,4,QCL,O,-1.0000000000000009,-3.7499999999999978,-4.9999999999999929,-0.24999999999999467,-2.0000000000000018,-4.4999999999999929
LM,4,NQFIX,O,0.50000000000000044,6.6250000000000036,9.5000000000000089,-1.5000000000000013,1.2499999999999956,10.999999999999998
LM,4,ORBFH,O,-0.25000000000000577,0.50000000000000044,-0.24999999999999467,-1.2499999999999956,0,1.5000000000000013
LM,4,JAC,O,0,1.5000000000000013,1.5000000000000013,-2.0999999999999908,0.24999999999999467,1.5000000000000013
LM,4,NQFIX,QCL,1.5000000000000013,10.375,14.500000000000002,-1.2500000000000067,3.2499999999999973,15.499999999999991
LM,4,ORBFH,NQFIX,-0.75000000000000622,-6.1250000000000027,-9.7500000000000036,0.25000000000000577,-1.2499999999999956,-9.4999999999999964
LM,4,ORBFH,JAC,-0.25000000000000577,-1.0000000000000009,-1.749999999999996,0.8499999999999952,-0.24999999999999467,0
LM,5,QCL,O,-1.4000000000000012,-3.6000000000000032,-5.5999999999999943,-0.22000000000000908,-1.6000000000000014,-7.1999999999999957
LM,5,NQFIX,O,-0.20000000000000018,5.3999999999999932,7.6000000000000068,-3.2600000000000073,-0.80000000000000071,9.5999999999999979
LM,5,ORBFH,O,0,0.20000000000000018,0,-1.9000000000000017,-0.20000000000000018,-0.20000000000000018
LM,5,JAC,O,0,0.50000000000000044,0.60000000000000053,-3.1000000000000028,-0.20000000000000018,-0.70000000000000062
LM,5,NQFIX,QCL,1.2000000000000011,8.9999999999999964,13.200000000000001,-3.0399999999999983,0.80000000000000071,16.799999999999994
LM,5,ORBFH,NQFIX,0.20000000000000018,-5.199999999999994,-7.6000000000000068,1.3600000000000056,0.60000000000000053,-9.7999999999999972
LM,5,ORBFH,JAC,0,-0.30000000000000027,-0.60000000000000053,1.2000000000000011,0,0.50000000000000044
LM,6,QCL,O,-0.99999999999998979,-4.0000000000000036,-5.666666666666675,0.50000000000000044,-0.66666666666665986,-7.4166666666666607
LM,6,NQFIX,O,-0.33333333333332993,4.2499999999999982,7.1666666666666661,-5.483333333333329,-3.3333333333333326,6.1666666666666758
LM,6,ORBFH,O,-0.16666666666665941,-0.083333333333335258,0,-2.9666666666666619,-0.16666666666665941,-1.2499999999999956
LM,6,JAC,O,-13.499999999999989,-11.916666666666664,-12.16666666666667,0.76666666666667105,-14.666666666666661,-11.5
LM,6,NQFIX,QCL,0.66666666666665986,8.2500000000000018,12.833333333333341,-5.983333333333329,-2.6666666666666727,13.583333333333336
LM,6,ORBFH,NQFIX,0.16666666666667052,-4.3333333333333339,-7.1666666666666661,2.5166666666666671,3.1666666666666732,-7.4166666666666714
LM,6,ORBFH,JAC,13.33333333333333,11.833333333333329,12.16666666666667,-3.7333333333333329,14.500000000000002,10.250000000000004
LM,7,QCL,O,-0.28571428571428914,-3.4285714285714253,-5.0000000000000044,1.4857142857142791,-0.14285714285714457,-6.9285714285714288
LM,7,NQFIX,O,-2.0000000000000018,1.928571428571435,3.2857142857142807,-5.6714285714285717,-8.9999999999999964,2.9285714285714248
