cell,arm,batch,stage,age,start_ordinal,end_ordinal_exclusive,request_n,RS_num,RS_den,RS_rate,PS_num,PS_den,PS_rate,PS_strict_num,PS_strict_den,PS_strict_rate,NS_num,NS_den,NS_rate,rewrite_acc_num,rewrite_acc_den,rewrite_acc_rate,rephrase_acc_num,rephrase_acc_den,rephrase_acc_rate,neighborhood_true_acc_num,neighborhood_true_acc_den,neighborhood_true_acc_rate,rewrite_target_new_nll_n,rewrite_target_new_nll_mean,rewrite_target_new_nll_median,rewrite_target_new_nll_q25,rewrite_target_new_nll_q75,rewrite_target_new_nll_p90,rewrite_target_new_nll_max,rewrite_target_true_nll_n,rewrite_target_true_nll_mean,rewrite_target_true_nll_median,rewrite_target_true_nll_q25,rewrite_target_true_nll_q75,rewrite_target_true_nll_p90,rewrite_target_true_nll_max,rewrite_margin_true_minus_new_n,rewrite_margin_true_minus_new_mean,rewrite_margin_true_minus_new_median,rewrite_margin_true_minus_new_q25,rewrite_margin_true_minus_new_q75,rewrite_margin_true_minus_new_p90,rewrite_margin_true_minus_new_max,rephrase_target_new_nll_mean_n,rephrase_target_new_nll_mean_mean,rephrase_target_new_nll_mean_median,rephrase_target_new_nll_mean_q25,rephrase_target_new_nll_mean_q75,rephrase_target_new_nll_mean_p90,rephrase_target_new_nll_mean_max,rephrase_target_new_nll_max_n,rephrase_target_new_nll_max_mean,rephrase_target_new_nll_max_median,rephrase_target_new_nll_max_q25,rephrase_target_new_nll_max_q75,rephrase_target_new_nll_max_p90,rephrase_target_new_nll_max_max,rephrase_target_true_nll_mean_n,rephrase_target_true_nll_mean_mean,rephrase_target_true_nll_mean_median,rephrase_target_true_nll_mean_q25,rephrase_target_true_nll_mean_q75,rephrase_target_true_nll_mean_p90,rephrase_target_true_nll_mean_max,rephrase_target_true_nll_max_n,rephrase_target_true_nll_max_mean,rephrase_target_true_nll_max_median,rephrase_target_true_nll_max_q25,rephrase_target_true_nll_max_q75,rephrase_target_true_nll_max_p90,rephrase_target_true_nll_max_max,rephrase_margin_true_minus_new_mean_n,rephrase_margin_true_minus_new_mean_mean,rephrase_margin_true_minus_new_mean_median,rephrase_margin_true_minus_new_mean_q25,rephrase_margin_true_minus_new_mean_q75,rephrase_margin_true_minus_new_mean_p90,rephrase_margin_true_minus_new_mean_max,locality_target_true_nll_mean_n,locality_target_true_nll_mean_mean,locality_target_true_nll_mean_median,locality_target_true_nll_mean_q25,locality_target_true_nll_mean_q75,locality_target_true_nll_mean_p90,locality_target_true_nll_mean_max,locality_target_new_nll_mean_n,locality_target_new_nll_mean_mean,locality_target_new_nll_mean_median,locality_target_new_nll_mean_q25,locality_target_new_nll_mean_q75,locality_target_new_nll_mean_p90,locality_target_new_nll_mean_max,locality_target_true_minus_new_nll_mean_n,locality_target_true_minus_new_nll_mean_mean,locality_target_true_minus_new_nll_mean_median,locality_target_true_minus_new_nll_mean_q25,locality_target_true_minus_new_nll_mean_q75,locality_target_true_minus_new_nll_mean_p90,locality_target_true_minus_new_nll_mean_max
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,early,0,20,20,20,20,1,35,40,0.875,16,20,0.80000000000000004,180,200,0.90000000000000002,20,20,1,19,40,0.47499999999999998,22,200,0.11,20,0.028810302578494883,0.0030129206134006381,0.0013898176839575171,0.0055250400910153985,0.036203633621335274,0.31180170178413391,20,13.379368209838868,13.250537395477295,10.260253429412842,16.458116054534912,18.497894287109375,19.755123138427734,20,13.350557907260372,13.247769636640442,10.146723035548348,16.456974079286738,18.497219433228022,19.752624417422339,20,2.8682666736422107,1.7899109795689583,0.79624472069554031,5.0178392231464386,6.547802746295929,7.860285758972168,20,4.601372518762946,2.9743552207946777,1.5356566905975342,7.8998239040374756,11.191263008117676,12.437938690185547,20,8.6116451174020767,8.451177716255188,7.0164331197738647,11.204190969467163,12.639572238922121,14.095636367797852,20,10.171866917610169,9.8904657363891602,7.6654071807861328,13.684298038482666,14.187763500213624,14.226983070373535,20,5.7433784437598661,5.4558591693639755,3.2522141672670841,8.7072553460020572,11.200729136960584,14.082834971137345,20,5.1338281841512066,4.289702359581133,3.7601854254491629,6.6085664153099053,8.5699783802032474,9.393174409866333,20,11.825009344220161,10.594072079658508,9.6489048361778256,15.19233853816986,16.75096124649048,18.369972705841064,20,-6.6911811600689548,-5.4882919117808342,-11.394700497790472,-3.2877698525786401,-1.5200088334083555,-0.67542064189910889
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,middle,20,80,60,59,60,0.98333333333333328,96,120,0.80000000000000004,45,60,0.75,531,600,0.88500000000000001,56,60,0.93333333333333335,58,120,0.48333333333333334,133,600,0.22166666666666668,60,0.45675630630770075,0.0031517442548647523,0.001448713825084269,0.010026349686086178,0.26194222271442458,13.503738403320312,60,11.497699236435194,11.269938468933105,9.2423214912414551,13.666598558425903,16.647032165527342,22.178991317749023,60,11.040942930127494,11.06212599092396,9.2358940592966974,13.66383816790767,16.635968177707401,22.174739472102374,60,3.3741035668548043,2.8871673941612244,0.17856016755104065,4.4130044206976891,7.7141686439514165,13.909633636474609,60,4.7428129887208339,4.7293837070465088,0.22100136056542397,6.849297046661377,11.635540199279786,17.217962265014648,60,7.888611633578936,7.9250667095184326,5.5636911392211914,9.8963109850883484,11.498112106323243,15.837774753570557,60,9.4295656363169353,8.6737608909606934,7.4584115743637085,11.833029747009277,13.928508377075197,18.091947555541992,60,4.5145080667241322,5.3995023220777512,2.089569091796875,7.490259792888537,9.9751010174397372,14.940898286178708,60,4.5876783272179695,4.4344828730681911,2.853391222737264,5.4497199979610738,8.5905228891968726,11.701945400238037,60,10.224450338880223,10.575944662094116,7.9609075069427488,12.107649517059325,14.300016603469849,17.005382442474364,60,-5.6367720116622504,-5.4571530736982821,-8.1744875013828278,-2.7259013680741191,-1.8807767951488494,3.5520494937896729
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,recent,80,100,20,19,20,0.94999999999999996,33,40,0.82499999999999996,16,20,0.80000000000000004,176,200,0.88,19,20,0.94999999999999996,20,40,0.5,50,200,0.25,20,0.57590387153395572,0.0028203873662278056,0.00087231621728278697,0.0093991186004132032,0.16247662156820306,11.058581352233887,20,12.137311577796936,13.006399631500244,8.6631109714508057,15.163734912872314,17.142196846008307,22.587747573852539,20,11.56140770626298,13.003536763018928,8.6557278403342934,15.163528255656274,17.141013490682241,22.586745287757367,20,2.4834910763020162,1.6730762522784062,0.22034361772239208,3.4813507348299026,4.9945620536804203,13.045219898223877,20,3.3983333237469195,2.7167736291885376,0.36127883568406105,5.4434598684310913,5.9450856685638431,14.479414939880371,20,7.6064491435885433,7.6836785078048706,3.7154582440853119,10.4976966381073,12.684427404403687,15.704934597015381,20,8.6958168268203728,8.4801816940307617,4.0596411228179932,12.934427738189697,13.682208824157717,16.979997634887695,20,5.1229580672865271,6.4318378781317733,2.1086209341883659,8.5266969565127511,10.961057074472777,15.696365028154105,20,4.8808735180902296,4.5998807115247473,3.0740648004459219,6.4294091880321504,8.7313481926918026,9.4524475336074829,20,10.41450860977173,10.197913551330565,8.5524483919143677,12.123813152313232,14.18491647720337,14.60779161453247,20,-5.5336350916814991,-6.0381817921996115,-7.6095288510783572,-4.4057885456830261,-2.8403832173347423,1.524024772644043
LM,O,2,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,early,0,40,40,39,40,0.97499999999999998,67,80,0.83750000000000002,32,40,0.80000000000000004,355,400,0.88749999999999996,38,40,0.94999999999999996,42,80,0.52500000000000002,76,400,0.19,40,0.49500332974221239,0.0016118994099088013,0.00065323150192853063,0.0039263624348677695,0.047696604207158155,13.906005859375,40,13.105603117775171,12.35849142074585,10.542409420013428,16.353877544403076,18.556138229370116,22.505231857299805,40,12.61059978803296,12.336625350668328,10.540905422385549,16.351572083483916,18.555710111715598,22.502679151948541,40,3.1205433710070793,1.3884380348026752,0.18852768884971738,4.997999519109726,7.1685870170593269,14.044248104095459,40,4.435341427417006,2.4549382925033569,0.34853997081518173,7.0895900726318359,11.850993919372559,15.097638130187988,40,8.6124482112005349,8.9535007476806641,7.3948346972465515,11.062082648277283,12.834767675399782,15.501744270324707,40,9.8625548563897603,10.261014461517334,7.9215097427368164,12.982039928436279,14.360680484771729,15.793970108032227,40,5.491904840193456,6.5371891260147095,3.8304440886713564,9.6986555441981182,11.459702212177218,15.231881687883288,40,4.7223737779057418,4.1602217571577054,2.9525864966446536,5.6103603130643025,8.054445147514345,11.686772251129151,40,10.781583070605993,10.493744993209839,8.2546668171882622,12.660499739646912,15.270192613601687,18.212097644805908,40,-6.0592092927002525,-5.7105116114020351,-7.9316867082379758,-3.5765972316265104,-1.250264967456459,3.473735284805298
LM,O,2,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,middle,40,160,120,119,120,0.9916666666666667,205,240,0.85416666666666663,95,120,0.79166666666666663,1081,1200,0.90083333333333337,117,120,0.97499999999999998,135,240,0.5625,249,1200,0.20749999999999999,120,0.1050579733070966,0.0020719129825010896,0.00066520493419375271,0.0069639771245419979,0.038161964341998172,8.2072515487670898,120,13.033935721715292,12.956651210784912,10.173934698104858,15.705305099487305,18.16826057434082,25.959300994873047,120,12.928877748408194,12.954608131709392,10.172174695297144,15.704296663214336,18.165472601374496,25.958925556100439,120,2.468196416813377,1.8742524230619892,0.17843921249732375,3.640745997428894,5.9207663774490378,11.82834005355835,120,3.7530344284275392,2.7722409963607788,0.28808008506894112,5.5467557907104492,9.4511691093444856,18.009971618652344,120,8.794304867088794,8.6361167430877686,6.3004598021507263,10.949130296707153,13.70660433769226,19.271729469299316,120,10.381937837600708,10.209989070892334,7.5675820112228394,12.895461320877075,15.97267360687256,21.968851089477539,120,6.3261084502754175,6.3175784040358849,2.9391693621873856,9.350426363380393,12.608141396753496,19.271310657914,120,4.6516843559241297,4.2904747882857919,3.1785276025533675,5.7989678159356117,8.0089729309082074,11.524557399749757,120,10.370109336500366,10.477616024017333,8.318177413940429,12.001245427131654,14.038761863708499,16.941564750671386,120,-5.7184249805762368,-5.8388806283473969,-7.5530952274799343,-3.3276672124862672,-2.1381831669807405,1.4305910110473632
LM,O,2,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,recent,160,200,40,39,40,0.97499999999999998,68,80,0.84999999999999998,31,40,0.77500000000000002,351,400,0.87749999999999995,39,40,0.97499999999999998,43,80,0.53749999999999998,90,400,0.22500000000000001,40,0.13106152275577188,0.0018582945922389627,0.00082854725769720972,0.0038362672785297036,0.013426300231367393,4.380399227142334,40,12.765891748666764,12.136571407318115,10.068350076675415,15.174697399139404,18.932995223999026,23.886795043945312,40,12.634830225910992,12.135319617111236,10.066955320769921,15.173448922578245,18.92919690925628,23.886058244388551,40,2.9201725217666534,1.9745085798203945,0.048429520335048437,4.4927301090210676,6.1422577142715475,18.883160591125488,40,4.0896683229890183,3.1784136295318604,0.054402042180299759,6.9477889537811279,9.0983484268188484,20.703525543212891,40,8.5014070356235614,8.6380786895751953,5.7271186113357544,10.681619763374329,13.190882921218874,19.918261528015137,40,9.7944552499800928,10.093093395233154,7.0762141942977905,12.641081809997559,14.1446213722229,21.060815811157227,40,5.5812345138569075,6.7263397885108134,2.7854032535105944,8.906386939343065,12.102869392139837,19.915138850396033,40,4.8548651143752792,4.8134976625442505,3.4883653499186038,6.313098365068436,7.1590564322471621,12.869215106964111,40,10.3018381986022,10.713773345947267,8.5928930521011342,12.058225274085999,13.262491035461426,16.52602939605713,40,-5.4469730842269204,-4.9917658448219306,-6.7925561092793938,-3.4240624003112314,-2.2522704795002935,1.8671175479888915
LM,O,3,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,early,0,60,60,59,60,0.98333333333333328,103,120,0.85833333333333328,47,60,0.78333333333333333,526,600,0.87666666666666671,58,60,0.96666666666666667,65,120,0.54166666666666663,126,600,0.20999999999999999,60,0.30805763023951538,0.0013940146309323609,0.00057734268193598837,0.0033318225177936256,0.041828038915991801,14.532876968383789,60,13.421953001618386,14.083363056182861,11.079113245010376,16.184540748596191,17.992254066467286,23.051345825195312,60,13.11389537137887,14.080986517306883,11.078381143743172,16.183950382292096,17.991723264934262,23.049642464728095,60,2.6104010431579203,1.4474164880812168,0.10142718732822686,3.5957090016454458,6.6791053771972662,13.761703968048096,60,3.7606476294250268,2.442339301109314,0.18973832949995995,5.3553450107574463,10.920310306549073,17.026361465454102,60,8.8865610656328506,9.2178484201431274,7.3942831754684448,10.91283655166626,13.658606910705567,20.387313842773438,60,10.288751412431399,10.361721992492676,8.0072540044784546,13.30698299407959,15.482389163970948,22.32354736328125,60,6.2761600224749294,6.8086047805845737,4.1763494238257408,10.28608142468147,13.272692311531864,20.387080884156603,60,4.5250750282397583,4.0318671047687529,2.5876975574996322,5.5068549841642378,7.6625793266296398,11.702480125427247,60,10.227338095506035,10.078787231445311,7.9941986292600635,11.917766463756561,14.740878753662109,17.428347206115724,60,-5.7022630672662737,-5.4135176181793216,-7.8362750566564499,-2.9267276242375373,-0.93039604470133785,3.6101000547409057
LM,O,3,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,middle,60,240,180,180,180,1,313,360,0.86944444444444446,146,180,0.81111111111111112,1621,1800,0.90055555555555555,175,180,0.97222222222222221,212,360,0.58888888888888891,428,1800,0.23777777777777778,180,0.093553698857370665,0.0014303222997114062,0.00059881756897084415,0.0050940427463501692,0.035030597820877953,4.8422846794128418,180,13.11148960325453,12.663619041442871,10.100435256958008,16.082521438598633,18.905015563964842,26.549476623535156,180,13.017935904397159,12.662826273543033,10.097264040086884,16.080458101620025,18.898139248928054,26.549103448895039,180,2.2887057512750792,1.229160230839625,0.096349788465886377,3.6191735379397869,5.8053565621376038,18.158317565917969,180,3.427000417422581,2.0149832367897034,0.16243596374988556,5.6674964427947998,8.5387826919555643,20.178913116455078,180,8.802872474928801,8.6115415096282959,6.2438929080963135,11.114442110061646,13.919673919677734,21.098300933837891,180,10.185534996746314,10.217825412750244,7.8201782703399658,12.669654846191406,15.789929866790771,21.678550720214844,180,6.5141667236537213,6.7793125702010002,3.7646144309546798,9.5836971941353113,13.102279113943222,21.096343253564555,180,4.4298605246761058,4.0487780794501305,2.9748622528393751,5.5821827173233034,7.2736069345474235,12.730414485931396,180,10.051375162386233,10.194555044174194,8.3382678508758552,11.81289312839508,13.536846799850464,16.215335083007812,180,-5.6215146377101259,-5.4784299701452248,-7.3539697080850601,-3.7144182845018805,-1.9480589860677728,1.8927507877349854
LM,O,3,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,recent,240,300,60,59,60,0.98333333333333328,99,120,0.82499999999999996,46,60,0.76666666666666672,507,600,0.84499999999999997,58,60,0.96666666666666667,65,120,0.54166666666666663,128,600,0.21333333333333335,60,0.14630475338102164,0.0021705891704186797,0.00091513764346018434,0.0056008888641372323,0.023227321542799488,7.5665736198425293,60,12.460177652041118,12.268947601318359,9.2682943344116211,15.335486173629761,18.802271080017093,22.876916885375977,60,12.313872898660096,12.26758615282597,9.1872685793787241,15.328898121020757,18.801715013667128,22.876640119706281,60,2.5758836063852262,1.4852457620436326,0.23951612412929535,3.6023657023906708,6.5988177180290224,16.173349380493164,60,3.681304730278983,2.7427240610122681,0.35516050457954407,5.0603476762771606,9.4281851768493663,17.766790390014648,60,7.7838480800390242,7.342654824256897,5.2362044602632523,10.905613541603088,12.146286964416504,19.30872631072998,60,9.3457506279150646,9.1436429023742676,6.283876895904541,11.899002075195312,15.057798767089844,22.102020263671875,60,5.2079644736537984,5.9959709541872144,2.9375128522515297,8.5378890857100487,11.64146770609077,19.278374656103551,60,4.7127625320073774,3.7179699178785084,3.0050328252487817,6.7530456222593784,8.3815646028518689,13.116521215438842,60,9.6689512071261809,9.6624434709548943,7.2717815315350887,11.878794288635255,14.01276258468628,16.982284069061279,60,-4.9561886751188036,-4.6187326133251183,-7.4873913798481224,-2.4717220544815066,-1.064127178192138,4.6655339241027836
LM,O,4,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,early,0,80,80,78,80,0.97499999999999998,139,160,0.86875000000000002,65,80,0.8125,693,800,0.86624999999999996,76,80,0.94999999999999996,89,160,0.55625000000000002,174,800,0.2175,80,0.38994738600085838,0.0016136256163008511,0.0005491357296705246,0.0051321483915671706,0.028418639115989346,15.11736011505127,80,13.164659999730066,13.401542663574219,9.8211588859558105,16.058634757995605,18.927190399169927,23.041973114013672,80,12.774712613729207,13.389071911049541,9.819654762846767,16.057391410780838,18.926874224079079,23.040360678569414,80,2.4641240786094842,1.6297726482152939,0.059514336287975311,3.2891985033638775,6.061631035804754,13.950685501098633,80,3.6360239101384648,2.679334282875061,0.082129190675914288,5.0831766128540039,10.643578433990479,17.018365859985352,80,9.3524838013632685,9.1240990161895752,7.0611977875232697,11.589828372001648,14.596647596359261,19.229156494140625,80,10.697594514489174,10.378335952758789,8.11181640625,13.859727621078491,16.190881347656251,21.822080612182617,80,6.8883597227537852,6.8571347508113831,3.9749313849024475,10.222834056330612,14.312656482170134,19.228666378854541,80,4.353067057284643,4.0139433741569519,2.6695432015898404,5.2172995053319031,7.6356113243103048,11.697773551940918,80,9.8724291961826385,9.8463342666625984,7.7007634758949273,11.544315332174302,14.305128326416016,17.292282772064208,80,-5.5193621388979945,-5.4683950098231442,-7.5560134693980219,-2.8270484685897825,-0.7984339886903753,3.8472068786621092
