cell,arm,batch,stage,cohort,requests,at_write_success,now_success,initial_failure,success_to_loss,initial_failure_to_recovery,loss_conditional_den,order_hash
LM,O,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,98,98,2,0,0,98,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
LM,O,2,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,98,98,2,0,0,98,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
LM,O,2,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,2,100,99,99,1,0,0,99,c7d6f557fe4a0a5ef2278085188098a9668ec627913ee69ec39850980186a871
LM,O,3,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,98,99,2,0,1,98,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
LM,O,3,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,2,100,99,100,1,0,1,99,c7d6f557fe4a0a5ef2278085188098a9668ec627913ee69ec39850980186a871
LM,O,3,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,3,100,99,99,1,0,0,99,4b822c2819eb937cc51597c85523065df1921d01c95ce241ec497b3bdaa4391c
LM,O,4,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,98,98,2,1,1,98,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
LM,O,4,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,2,100,99,100,1,0,1,99,c7d6f557fe4a0a5ef2278085188098a9668ec627913ee69ec39850980186a871
LM,O,4,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,3,100,99,99,1,0,0,99,4b822c2819eb937cc51597c85523065df1921d01c95ce241ec497b3bdaa4391c
LM,O,4,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,4,100,100,100,0,0,0,100,39cd10292a3141adf71ed2fa6b0d48e42978dd7df06854dd4c76f36767b5092b
LM,O,5,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,98,97,2,2,1,98,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
LM,O,5,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,2,100,99,100,1,0,1,99,c7d6f557fe4a0a5ef2278085188098a9668ec627913ee69ec39850980186a871
LM,O,5,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,3,100,99,98,1,1,0,99,4b822c2819eb937cc51597c85523065df1921d01c95ce241ec497b3bdaa4391c
LM,O,5,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,4,100,100,100,0,0,0,100,39cd10292a3141adf71ed2fa6b0d48e42978dd7df06854dd4c76f36767b5092b
LM,O,5,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,5,100,100,100,0,0,0,100,dc3eac20b5141818a4852f0ec65f14666cd12b3d47bb7cfc1c9aec0bfa9c3b9c
LM,O,6,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,98,97,2,2,1,98,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
LM,O,6,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,2,100,99,98,1,2,1,99,c7d6f557fe4a0a5ef2278085188098a9668ec627913ee69ec39850980186a871
LM,O,6,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,3,100,99,98,1,2,1,99,4b822c2819eb937cc51597c85523065df1921d01c95ce241ec497b3bdaa4391c
LM,O,6,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,4,100,100,100,0,0,0,100,39cd10292a3141adf71ed2fa6b0d48e42978dd7df06854dd4c76f36767b5092b
LM,O,6,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,5,100,100,100,0,0,0,100,dc3eac20b5141818a4852f0ec65f14666cd12b3d47bb7cfc1c9aec0bfa9c3b9c
LM,O,6,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,6,100,100,100,0,0,0,100,29005c8ae69ea3402bcf71d514ce5da328d27faedc84817005d71eb4af9431fd
LM,O,7,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,98,97,2,2,1,98,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
LM,O,7,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,2,100,99,98,1,2,1,99,c7d6f557fe4a0a5ef2278085188098a9668ec627913ee69ec39850980186a871
LM,O,7,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,3,100,99,98,1,2,1,99,4b822c2819eb937cc51597c85523065df1921d01c95ce241ec497b3bdaa4391c
LM,O,7,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,4,100,100,100,0,0,0,100,39cd10292a3141adf71ed2fa6b0d48e42978dd7df06854dd4c76f36767b5092b
LM,O,7,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,5,100,100,100,0,0,0,100,dc3eac20b5141818a4852f0ec65f14666cd12b3d47bb7cfc1c9aec0bfa9c3b9c
LM,O,7,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,6,100,100,100,0,0,0,100,29005c8ae69ea3402bcf71d514ce5da328d27faedc84817005d71eb4af9431fd
LM,O,7,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,7,100,100,100,0,0,0,100,a28cc6e64ca39af8a47682e1abd766540949c54b9e90041fd650feb06be8526c
LM,O,8,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,98,96,2,3,1,98,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
LM,O,8,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,2,100,99,95,1,5,1,99,c7d6f557fe4a0a5ef2278085188098a9668ec627913ee69ec39850980186a871
LM,O,8,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,3,100,99,98,1,2,1,99,4b822c2819eb937cc51597c85523065df1921d01c95ce241ec497b3bdaa4391c
LM,O,8,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,4,100,100,98,0,2,0,100,39cd10292a3141adf71ed2fa6b0d48e42978dd7df06854dd4c76f36767b5092b
LM,O,8,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,5,100,100,98,0,2,0,100,dc3eac20b5141818a4852f0ec65f14666cd12b3d47bb7cfc1c9aec0bfa9c3b9c
LM,O,8,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,6,100,100,100,0,0,0,100,29005c8ae69ea3402bcf71d514ce5da328d27faedc84817005d71eb4af9431fd
LM,O,8,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,7,100,100,100,0,0,0,100,a28cc6e64ca39af8a47682e1abd766540949c54b9e90041fd650feb06be8526c
LM,O,8,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,8,100,100,100,0,0,0,100,cc73d095fa564000f0d13227bfac250a7ca57d576ec703b6088ef9f4f1c63df5
LM,O,9,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,98,94,2,4,0,98,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
LM,O,9,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,2,100,99,92,1,7,0,99,c7d6f557fe4a0a5ef2278085188098a9668ec627913ee69ec39850980186a871
LM,O,9,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,3,100,99,96,1,4,1,99,4b822c2819eb937cc51597c85523065df1921d01c95ce241ec497b3bdaa4391c
LM,O,9,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,4,100,100,96,0,4,0,100,39cd10292a3141adf71ed2fa6b0d48e42978dd7df06854dd4c76f36767b5092b
LM,O,9,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,5,100,100,97,0,3,0,100,dc3eac20b5141818a4852f0ec65f14666cd12b3d47bb7cfc1c9aec0bfa9c3b9c
LM,O,9,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,6,100,100,100,0,0,0,100,29005c8ae69ea3402bcf71d514ce5da328d27faedc84817005d71eb4af9431fd
LM,O,9,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,7,100,100,100,0,0,0,100,a28cc6e64ca39af8a47682e1abd766540949c54b9e90041fd650feb06be8526c
LM,O,9,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,8,100,100,100,0,0,0,100,cc73d095fa564000f0d13227bfac250a7ca57d576ec703b6088ef9f4f1c63df5
LM,O,9,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,9,100,99,99,1,0,0,99,7293ef9417e4e34eb1088856900e4cee2d94e4c35aed9c54cf061bf63c1872c1
LM,O,10,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,98,86,2,12,0,98,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
LM,O,10,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,2,100,99,90,1,9,0,99,c7d6f557fe4a0a5ef2278085188098a9668ec627913ee69ec39850980186a871
LM,O,10,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,3,100,99,92,1,8,1,99,4b822c2819eb937cc51597c85523065df1921d01c95ce241ec497b3bdaa4391c
LM,O,10,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,4,100,100,89,0,11,0,100,39cd10292a3141adf71ed2fa6b0d48e42978dd7df06854dd4c76f36767b5092b
LM,O,10,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,5,100,100,95,0,5,0,100,dc3eac20b5141818a4852f0ec65f14666cd12b3d47bb7cfc1c9aec0bfa9c3b9c
LM,O,10,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,6,100,100,99,0,1,0,100,29005c8ae69ea3402bcf71d514ce5da328d27faedc84817005d71eb4af9431fd
LM,O,10,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,7,100,100,100,0,0,0,100,a28cc6e64ca39af8a47682e1abd766540949c54b9e90041fd650feb06be8526c
LM,O,10,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,8,100,100,100,0,0,0,100,cc73d095fa564000f0d13227bfac250a7ca57d576ec703b6088ef9f4f1c63df5
LM,O,10,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,9,100,99,99,1,0,0,99,7293ef9417e4e34eb1088856900e4cee2d94e4c35aed9c54cf061bf63c1872c1
LM,O,10,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,10,100,100,100,0,0,0,100,5d0a044d9bd072653d046a529444df5feb60f7727f463ddd517406cb52378f51
LM,QCL,1,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,96,96,4,0,0,96,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
LM,QCL,2,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,96,98,4,0,2,96,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
LM,QCL,2,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,2,100,98,98,2,0,0,98,c7d6f557fe4a0a5ef2278085188098a9668ec627913ee69ec39850980186a871
LM,QCL,3,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,96,98,4,0,2,96,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
LM,QCL,3,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,2,100,98,100,2,0,2,98,c7d6f557fe4a0a5ef2278085188098a9668ec627913ee69ec39850980186a871
LM,QCL,3,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,3,100,96,96,4,0,0,96,4b822c2819eb937cc51597c85523065df1921d01c95ce241ec497b3bdaa4391c
LM,QCL,4,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,96,97,4,1,2,96,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
LM,QCL,4,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,2,100,98,100,2,0,2,98,c7d6f557fe4a0a5ef2278085188098a9668ec627913ee69ec39850980186a871
LM,QCL,4,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,3,100,96,96,4,1,1,96,4b822c2819eb937cc51597c85523065df1921d01c95ce241ec497b3bdaa4391c
LM,QCL,4,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,4,100,100,100,0,0,0,100,39cd10292a3141adf71ed2fa6b0d48e42978dd7df06854dd4c76f36767b5092b
LM,QCL,5,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,96,96,4,2,2,96,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
LM,QCL,5,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,2,100,98,99,2,1,2,98,c7d6f557fe4a0a5ef2278085188098a9668ec627913ee69ec39850980186a871
LM,QCL,5,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,3,100,96,93,4,3,0,96,4b822c2819eb937cc51597c85523065df1921d01c95ce241ec497b3bdaa4391c
LM,QCL,5,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,4,100,100,100,0,0,0,100,39cd10292a3141adf71ed2fa6b0d48e42978dd7df06854dd4c76f36767b5092b
LM,QCL,5,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,5,100,100,100,0,0,0,100,dc3eac20b5141818a4852f0ec65f14666cd12b3d47bb7cfc1c9aec0bfa9c3b9c
LM,QCL,6,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,96,97,4,2,3,96,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
LM,QCL,6,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,2,100,98,99,2,1,2,98,c7d6f557fe4a0a5ef2278085188098a9668ec627913ee69ec39850980186a871
LM,QCL,6,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,3,100,96,94,4,3,1,96,4b822c2819eb937cc51597c85523065df1921d01c95ce241ec497b3bdaa4391c
LM,QCL,6,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,4,100,100,100,0,0,0,100,39cd10292a3141adf71ed2fa6b0d48e42978dd7df06854dd4c76f36767b5092b
LM,QCL,6,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,5,100,100,99,0,1,0,100,dc3eac20b5141818a4852f0ec65f14666cd12b3d47bb7cfc1c9aec0bfa9c3b9c
LM,QCL,6,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,6,100,98,98,2,0,0,98,29005c8ae69ea3402bcf71d514ce5da328d27faedc84817005d71eb4af9431fd
LM,QCL,7,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,96,97,4,2,3,96,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
LM,QCL,7,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,2,100,98,98,2,2,2,98,c7d6f557fe4a0a5ef2278085188098a9668ec627913ee69ec39850980186a871
LM,QCL,7,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,3,100,96,97,4,2,3,96,4b822c2819eb937cc51597c85523065df1921d01c95ce241ec497b3bdaa4391c
LM,QCL,7,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,4,100,100,100,0,0,0,100,39cd10292a3141adf71ed2fa6b0d48e42978dd7df06854dd4c76f36767b5092b
LM,QCL,7,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,5,100,100,100,0,0,0,100,dc3eac20b5141818a4852f0ec65f14666cd12b3d47bb7cfc1c9aec0bfa9c3b9c
LM,QCL,7,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,6,100,98,99,2,0,1,98,29005c8ae69ea3402bcf71d514ce5da328d27faedc84817005d71eb4af9431fd
LM,QCL,7,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,7,100,100,100,0,0,0,100,a28cc6e64ca39af8a47682e1abd766540949c54b9e90041fd650feb06be8526c
LM,QCL,8,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,96,97,4,2,3,96,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
LM,QCL,8,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,2,100,98,98,2,2,2,98,c7d6f557fe4a0a5ef2278085188098a9668ec627913ee69ec39850980186a871
LM,QCL,8,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,3,100,96,97,4,2,3,96,4b822c2819eb937cc51597c85523065df1921d01c95ce241ec497b3bdaa4391c
LM,QCL,8,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,4,100,100,100,0,0,0,100,39cd10292a3141adf71ed2fa6b0d48e42978dd7df06854dd4c76f36767b5092b
LM,QCL,8,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,5,100,100,100,0,0,0,100,dc3eac20b5141818a4852f0ec65f14666cd12b3d47bb7cfc1c9aec0bfa9c3b9c
LM,QCL,8,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,6,100,98,99,2,0,1,98,29005c8ae69ea3402bcf71d514ce5da328d27faedc84817005d71eb4af9431fd
LM,QCL,8,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,7,100,100,100,0,0,0,100,a28cc6e64ca39af8a47682e1abd766540949c54b9e90041fd650feb06be8526c
LM,QCL,8,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,8,100,100,100,0,0,0,100,cc73d095fa564000f0d13227bfac250a7ca57d576ec703b6088ef9f4f1c63df5
LM,QCL,9,CHECKPOINT_W_ON_ALL_SEEN_REQUESTS,1,100,96,97,4,2,3,96,abe62c071168789b4a1e5ff57d2645ea16a328946362ea7bff166d6d5c76cd5c
