cell,arm,reference,batch,category,prompt_n,arm_success,O_success,loss,recovery,both_success,both_failure,delta_rate,order_hash,nll_new_delta_n,nll_new_delta_mean,nll_new_delta_median,nll_new_delta_q25,nll_new_delta_q75,nll_new_delta_p90,nll_new_delta_max,nll_true_delta_n,nll_true_delta_mean,nll_true_delta_median,nll_true_delta_q25,nll_true_delta_q75,nll_true_delta_p90,nll_true_delta_max,margin_true_minus_new_delta_n,margin_true_minus_new_delta_mean,margin_true_minus_new_delta_median,margin_true_minus_new_delta_q25,margin_true_minus_new_delta_q75,margin_true_minus_new_delta_p90,margin_true_minus_new_delta_max
LM,QCL,O,1,rewrite,100,96,98,2,0,96,2,-0.020000000000000018,298068f542b909f5b29e65c4ba0b3ed60151fa2ba5c5ba6f1aa58675f06b9360,100,0.31662819196280906,0.0087142835836857557,0.0021286061673890799,0.043993469560518861,0.94698887467384341,5.8274755477905273,100,-1.7646265513077379,-1.4583191871643066,-2.3014824390411377,-1.0471127033233643,-0.72981929779052668,0.54601240158081055,100,-2.0812547432705468,-1.6344356704503298,-2.5932991157314973,-1.1244856152043212,-0.8211467214860021,-0.20083237142534927
LM,QCL,O,1,rephrase,200,156,164,8,0,156,36,-0.039999999999999925,19a636f32d2a39c328f0e55ff8081d8e70ef9fed8b1026566378b2aa3259057d,200,0.5205258281400893,0.26014068722724915,0.016755872056819499,0.79078644514083862,1.4141825675964355,3.6278142929077148,200,-0.70328681759536271,-0.55198228359222412,-1.1069388389587402,-0.084165811538696289,0.23114447593688928,1.5703792572021484,200,-1.2238126457354519,-1.0012448206543922,-1.7106305975466967,-0.56216293573379517,-0.2246784329414368,0.55029487609863281
LM,QCL,O,1,locality,1000,888,887,1,2,886,111,0.0010000000000000009,16c8f78d0ea668ffeb657e666a4006c6360e59bb716e5cb3e4ae154d85487577,1000,-0.016331202387809753,-0.018923521041870117,-0.065927743911743164,0.026511192321777344,0.085591506958007824,6.5493612289428711,1000,-0.00091567745746579023,2.2461987100541592e-05,-0.032464444637298584,0.029109299182891846,0.080001163482666032,0.61095571517944336,1000,0.015415524930343963,0.016042709350585938,-0.029388546943664551,0.071821793913841248,0.16964483261108398,2.0276358127593994
LM,NQFIX,O,1,rewrite,100,100,98,0,2,98,0,0.020000000000000018,298068f542b909f5b29e65c4ba0b3ed60151fa2ba5c5ba6f1aa58675f06b9360,100,-0.37798715852466558,-0.0016555994225200266,-0.0070894091622903943,-0.0005251421061984729,-0.00015018976846477012,0.036593673750758171,100,2.2698742630705238,1.432647705078125,0.95704066753387451,2.8710525035858154,4.7079179286956796,16.952632691711187,100,2.6478614215951892,1.5161272164259572,0.96527580681140535,2.9302098578191362,5.24411913593649,30.4562881288075
LM,NQFIX,O,1,rephrase,200,183,164,0,19,164,17,0.095000000000000084,19a636f32d2a39c328f0e55ff8081d8e70ef9fed8b1026566378b2aa3259057d,200,-0.98270671758400563,-0.21481086313724518,-1.1972028166055679,-0.0064576297008898109,0.011713721975683952,0.75205147266387939,200,1.1614509523659944,0.94300031661987305,0.29498457908630371,1.7669808864593506,3.1064142704010007,7.3479716777801514,200,2.1441576699500002,1.597244530916214,0.83509795821737498,2.6956618493422866,4.7655611773021516,12.617561340332031
LM,NQFIX,O,1,locality,1000,880,887,8,1,879,112,-0.0070000000000000062,16c8f78d0ea668ffeb657e666a4006c6360e59bb716e5cb3e4ae154d85487577,1000,-0.083040482444688674,-0.034089088439941406,-0.15304577350616455,0.041719675064086914,0.13993272781372076,1.6090703010559082,1000,0.032685451656696389,0.00012079725274816155,-0.063661456108093262,0.064367204904556274,0.18451845347881327,5.9075367450714111,1000,0.11572593410138507,0.040268421173095703,-0.049933433532714844,0.16789976239670068,0.37328414916992192,12.756012916564941
LM,ORBFH,O,1,rewrite,100,98,98,0,0,98,2,0,298068f542b909f5b29e65c4ba0b3ed60151fa2ba5c5ba6f1aa58675f06b9360,100,-0.025814562964951618,6.5290369093418121e-05,-0.00016269957995973527,0.00040819315472617745,0.0010262252995744386,0.32028025388717651,100,-0.080962087437510488,-0.064063549041748047,-0.21122360229492188,0.079674005508422852,0.32309226989746109,1.5894198417663574,100,-0.05514752447255887,-0.052835340611636639,-0.21138180996058509,0.1219873083755374,0.36783223123929948,3.6624259948730469
LM,ORBFH,O,1,rephrase,200,162,164,2,0,162,36,-0.0099999999999998979,19a636f32d2a39c328f0e55ff8081d8e70ef9fed8b1026566378b2aa3259057d,200,0.052541439747583352,0.0032133115455508232,-0.020024196244776249,0.13351166248321533,0.39866685867309559,1.3791275024414062,200,-0.094750239253044127,-0.06719893217086792,-0.24422508478164673,0.092957854270935059,0.32471227645874018,0.85099029541015625,200,-0.14729167900062748,-0.11752796173095703,-0.3585638701915741,0.10471378674264997,0.35949322395026667,1.2114458084106445
LM,ORBFH,O,1,locality,1000,885,887,2,0,885,113,-0.0020000000000000018,16c8f78d0ea668ffeb657e666a4006c6360e59bb716e5cb3e4ae154d85487577,1000,-0.059068105280399325,-0.032896518707275391,-0.092040061950683594,0.010341405868530273,0.063948154449462905,4.3337278366088867,1000,-0.0077024907483719289,-0.0061902403831481934,-0.044463977217674255,0.019703865051269531,0.074374389648437525,0.73899459838867188,1000,0.051365614532027391,0.021057605743408203,-0.022349357604980469,0.083856582641601562,0.217761573381722,2.6076593399047852
LM,JAC,O,1,rewrite,100,98,98,0,0,98,2,0,298068f542b909f5b29e65c4ba0b3ed60151fa2ba5c5ba6f1aa58675f06b9360,100,-0.022934146381448955,3.9652266423217952e-05,-0.00034681096440181136,0.00041628599865362048,0.002705419994890693,0.40101629495620728,100,-0.064565376862883564,-0.020763397216796875,-0.23878717422485352,0.12398958206176758,0.36745567321777362,1.4557075500488281,100,-0.041631230481434613,-0.021009429707191885,-0.23881125518892077,0.14826541382353753,0.4136703771189788,3.4177615642547607
LM,JAC,O,1,rephrase,200,163,164,1,0,163,36,-0.0050000000000000044,19a636f32d2a39c328f0e55ff8081d8e70ef9fed8b1026566378b2aa3259057d,200,0.015014267674123402,3.0866125598549843e-05,-0.055029213428497314,0.095414146780967712,0.42168779373168946,1.760221004486084,200,-0.042350554391741756,-0.028059482574462891,-0.22058975696563721,0.13705539703369141,0.43865256309509243,1.2023544311523438,200,-0.057364822065865156,-0.067866780096665025,-0.32626867294311523,0.18886731297243387,0.60664858138188715,2.531428337097168
LM,JAC,O,1,locality,1000,883,887,4,0,883,113,-0.0040000000000000036,16c8f78d0ea668ffeb657e666a4006c6360e59bb716e5cb3e4ae154d85487577,1000,-0.11790297621488571,-0.05975031852722168,-0.16658401489257812,0.011286735534667969,0.088973021507263189,5.7092065811157227,1000,-0.011214420232805423,-0.011318802833557129,-0.079893141984939575,0.028542995452880859,0.11643059253692628,1.3213443756103516,1000,0.10668855598208028,0.039472103118896484,-0.033445835113525391,0.14898456633090973,0.41078107357025151,4.0134382247924805
LM,QCL,O,2,rewrite,200,196,197,1,0,196,3,-0.0050000000000000044,7c847772552a0e205ec228c158d169f6b7671906497a366d68664872a9006145,200,0.1968230235739975,0.0033912296639755368,0.0010491955035831779,0.014272948727011681,0.23002852280624173,4.919647216796875,200,-1.8180979163385929,-1.5996160507202148,-2.489891529083252,-0.90535688400268555,-0.52389240264892578,2.4554872512817383,200,-2.0149209399125905,-1.7014188249886502,-2.6127794392232317,-1.0116451351786964,-0.5992657157126815,2.9271191582083702
LM,QCL,O,2,rephrase,400,320,340,23,3,317,57,-0.049999999999999933,acf6a8968ec41dcbbcd16062c95602f7f7ad4b2612cd84d27328a40d03bb3e7b,400,0.47284915145030026,0.15940672159194946,0.0087774560088291764,0.59407993778586388,1.4808870613574983,4.7865030765533447,400,-0.84275796367728617,-0.6691734790802002,-1.2688621282577515,-0.13390231132507324,0.14129753112792981,2.5757133960723877,400,-1.3156071151275865,-1.0627663148916326,-1.8434674888849258,-0.53851920366287231,-0.16337213516235352,3.2902383804321289
LM,QCL,O,2,locality,2000,1794,1787,6,13,1781,200,0.0035000000000000586,30b6ebdd51432bf6257597f4e190f637c7308b58669f2d2d9a057f811b79c723,2000,-0.036767968654632568,-0.028061866760253906,-0.13416576385498047,0.066223800182342529,0.18892078399658205,5.1824150085449219,2000,-0.0038507201860193165,0.00061978213489055634,-0.056132674217224121,0.062927037477493286,0.16207543611526501,1.1475841999053955,2000,0.032917248468613255,0.028431415557861328,-0.073187768459320068,0.13746806979179382,0.30902970135211955,1.7944240570068359
LM,NQFIX,O,2,rewrite,200,200,197,0,3,197,0,0.015000000000000013,7c847772552a0e205ec228c158d169f6b7671906497a366d68664872a9006145,200,-0.18326088349593192,-0.00064468951313756406,-0.0031228178122546524,-0.00015260763393598609,9.4280170742422329e-06,0.024621229560580105,200,1.5811407993175088,1.0203981399536133,0.27168059349060059,1.9790859222412109,4.0259283065795897,15.853368956595659,200,1.7644016828134408,1.0707998217840213,0.28005612507695332,1.9962273388082394,4.4240603085490866,29.758940749947214
LM,NQFIX,O,2,rephrase,400,371,340,1,32,339,28,0.077500000000000013,acf6a8968ec41dcbbcd16062c95602f7f7ad4b2612cd84d27328a40d03bb3e7b,400,-0.8266291027620537,-0.10099409753456712,-1.0001252442598343,-0.0013203718699514866,0.046361732482910166,2.1912236213684082,400,1.040156984879286,0.7661125659942627,0.035127207636833191,1.7442948818206787,3.0666048526763925,9.1071815490722656,400,1.8667860876413398,1.2869188436307013,0.35164809226989746,2.6061355620622635,4.6056889849249281,12.659316956996918
LM,NQFIX,O,2,locality,2000,1767,1787,25,5,1762,208,-0.010000000000000009,30b6ebdd51432bf6257597f4e190f637c7308b58669f2d2d9a057f811b79c723,2000,-0.18826439623441546,-0.093351840972900391,-0.31874275207519531,0.071353673934936523,0.23818378448486363,2.3498172760009766,2000,-0.00055492374117602596,-0.018268465995788574,-0.17182543873786926,0.096968710422515869,0.32267351150512696,7.4429748058319092,2000,0.18770947249323944,0.049940824508666992,-0.12104984745383263,0.30640000104904175,0.75750877857208276,9.8423086404800415
LM,ORBFH,O,2,rewrite,200,198,197,0,1,197,2,0.0050000000000000044,7c847772552a0e205ec228c158d169f6b7671906497a366d68664872a9006145,200,-0.027176215401632363,3.0907423933967948e-05,-0.0002561954315751791,0.00026059299125336111,0.0012595311622135338,0.46311473846435547,200,0.004946556277573109,-0.10650253295898438,-0.36586928367614746,0.30798792839050293,0.865037441253662,8.0014190673828125,200,0.032122771679205471,-0.11262476129923016,-0.37691565469867783,0.3206683499738574,0.86957069056807079,8.0055623725056648
LM,ORBFH,O,2,rephrase,400,340,340,6,6,334,54,0,acf6a8968ec41dcbbcd16062c95602f7f7ad4b2612cd84d27328a40d03bb3e7b,400,0.00070808976301123044,0.00062284874729812145,-0.057772889733314514,0.097878284752368927,0.46240967512130771,3.0873794555664062,400,-0.023781539133633487,-0.068271160125732422,-0.33598244190216064,0.18832692503929138,0.67712392807006838,7.0454559326171875,400,-0.024489628896644716,-0.10828305035829544,-0.45316493511199951,0.22010998427867889,0.87893042999785487,7.1478753150440753
