method,job_id,state,exit_code,start,end,elapsed_seconds,elapsed,allocated_cpu_seconds,requested_memory,allocated_tres,official_apply_count,compute_z_call_count,target_backward_count,target_accepted_z_generation_seconds,writer_edit_core_seconds,native_apply_scope_seconds,accepted_z_evaluator_seconds,post_W_evaluator_seconds,restore_seconds,method_total_seconds,runtime_after_model_preflight_seconds,peak_allocated_bytes,peak_reserved_bytes,W0_restored,full_fp32
OFFICIAL-ALPHAEDIT,23140_0,COMPLETED,0:0,2026-08-23T17:51:27,2026-08-23T17:58:40,433,00:07:13,3464,65000M,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1",1,100,2400,259.62365536391735,72.68916703481227,332.3128223987296,21.399678393267095,18.52733196876943,5.298325065523386,383.3904783455655,391.1244675461203,38501753344,42052091904,True,FULL_FP32_PASS
OFFICIAL-MEMIT,23142_1,COMPLETED,0:0,2026-08-23T17:57:37,2026-08-23T18:04:22,405,00:06:45,3240,65000M,"billing=8,cpu=8,gres/gpu=1,mem=65000M,node=1",1,100,2400,260.0258803460747,44.674630619585514,304.7005109656602,21.404739804565907,18.53785606380552,5.274212758988142,355.5737449210137,363.28670688532293,39573406208,44205867008,True,FULL_FP32_PASS
