L4_7_endpoint_energy,L4_7_signed_predicted_progress,L8_endpoint_energy,L8_endpoint_energy_share,L8_native_work_share,alias,arm,batch,endpoint_energy,history_over_raw_work,history_work,normalized_native_work,raw_native_work,sum_of_batch_energy_is_not_cumulative_W10_W0_energy
0.12534594183023273,0.017503190768343096,148.35597562292344,0.9991558134012462,0.9991070596158955,llama3-8b-inst,JV_NATIVE,1,148.48132156475367,0.0,0,0.12893670174800737,108.3345647920965,True
0.14018281833395463,0.016652134379919355,171.87212906237238,0.9991850419496067,0.9991688228971956,llama3-8b-inst,JV_NATIVE,2,172.01231188070633,0.008431239883193444,1.071879607042274,0.13377931686658623,127.1319072748628,True
0.16347152752155125,0.017341732093776863,199.53634070683046,0.999181413714452,0.9991433519554963,llama3-8b-inst,JV_NATIVE,3,199.699812234352,0.017661838454779435,2.6126124272897173,0.13948723401292515,147.92414923162903,True
0.16034836720166368,0.01615838455601779,211.99582005317936,0.9992441965350546,0.9992414372884509,llama3-8b-inst,JV_NATIVE,4,212.15616842038102,0.018027973893280706,2.8394627039968494,0.1434995616401256,157.50315153580067,True
0.13773068284453416,0.015103611114759512,230.8423312669877,0.9994037118109594,0.9993964061740437,llama3-8b-inst,JV_NATIVE,5,230.98006194983225,0.02140236633394827,3.6879463355857975,0.1455610708194686,172.31488696350388,True
0.20278860572750546,0.016436279645790475,252.9828684936383,0.9991990517628417,0.9992037653180026,llama3-8b-inst,JV_NATIVE,6,253.1856570993658,0.027568510943879656,5.248786547628899,0.14945822443354578,190.39064381510076,True
0.1560567705136009,0.014310854817192917,255.80443204551528,0.999390309140151,0.999419916971782,llama3-8b-inst,JV_NATIVE,7,255.96048881602889,0.057501894816978004,11.40476526811711,0.15274317843926988,198.33720792014213,True
0.144463355656967,0.013550581990520184,268.6568327343615,0.9994625645123059,0.999460214109322,llama3-8b-inst,JV_NATIVE,8,268.80129609001847,0.03140169651097852,6.373977386634476,0.1506824306504392,202.9819434885002,True
0.15851114934872612,0.014113663163246816,296.09271088167407,0.9994649434751289,0.9994740404208245,llama3-8b-inst,JV_NATIVE,9,296.2512220310228,0.04830319665119591,10.938515782364703,0.15341575972178573,226.4553185031054,True
2.716460500643614e-09,4.945036429259844e-06,2.401994677294182e-13,8.841587434330681e-05,0.0005877515427616734,llama3-8b-inst,JV_NATIVE,10,2.7167007001113436e-09,0.05514479302189105,1.093599039968854e-10,1.3385273772912413e-12,1.983141072874684e-09,True
54.300544908915676,,43.871246682019766,0.44688240859272,,llama3-8b-inst,O_NATIVE,1,98.17179159093544,,,,,True
