W_sha256,active,alias,arm,batch,case_id,controller_change_count,frozen_row_weight,source_N0_scale,source_active_rule
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,14779,0,0.019272442221325705,5.188755989074707,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,17394,0,0.020430079977430148,4.8947434425354,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,20878,0,0.018597685398922034,5.377013206481934,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,9983,0,0.02440014832167187,4.0983357429504395,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,6907,0,0.021892998495996335,4.5676703453063965,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,6516,0,0.02251539379811887,4.441405773162842,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,19189,0,0.01997654997314268,5.005869388580322,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,9724,0,0.025173105068910132,3.9724936485290527,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,18132,0,0.020067975459324292,4.983063697814941,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,18300,0,0.021828084598982514,4.581254005432129,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,21629,0,0.023436322750985717,4.266880989074707,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,20095,0,0.024200246739232913,4.1321892738342285,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,13443,0,0.0231255951900484,4.324213027954102,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,7665,0,0.021000195767320276,4.761860370635986,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,16343,0,0.020391831218048915,4.903924465179443,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,7446,0,0.02497778424641341,4.0035576820373535,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,1399,0,0.02059932723564099,4.854527473449707,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,11858,0,0.022872556524766392,4.37205171585083,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,6326,0,0.022663014911334274,4.4124755859375,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,15825,0,0.02117980431360038,4.7214789390563965,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,378,0,0.022034182342600715,4.538403034210205,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,4737,0,0.025591480960866664,3.90755033493042,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,10106,0,0.022033520252716772,4.538539409637451,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,11321,0,0.0196324366506626,5.093611240386963,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,8764,0,0.023700593579424178,4.219303607940674,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,21830,0,0.025501840328462273,3.921285629272461,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,4949,0,0.024550125510297137,4.073298931121826,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,1888,0,0.02075001360476909,4.819273948669434,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,13021,0,0.01998307897965809,5.0042338371276855,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,6451,0,0.02298044020845047,4.351526737213135,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,55,0,0.01976868450683912,5.058505535125732,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,16855,0,0.020717901805053437,4.8267436027526855,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,21482,0,0.018722413336105633,5.34119176864624,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,16417,0,0.022086822831759372,4.527586460113525,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,6540,0,0.02008335760973845,4.979247093200684,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,3935,0,0.02246153753878806,4.452054977416992,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,15909,0,0.020379089673642378,4.9069905281066895,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,11954,0,0.022110157747757094,4.522808074951172,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,21163,0,0.02174077830699196,4.599651336669922,scale > 0; no floor
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,True,llama3-8b-inst,O_NATIVE,1,5996,0,0.023123037730159265,4.324691295623779,scale > 0; no floor
