W_sha256,active_count,actual_endpoint_energy,alias,arm,batch,final_V_ratio,materialization_discrepancy_normalized,max_normalized_model_error,max_over_min_active_scale,maximum_active_scale,minimum_active_scale,minimum_scale_case_ids,node0_KKT_stationarity,node0_response_Gram_diagonal_max,normalization_sweep_count,per_request_response_Gram_decomposition,qN_ref,requested
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,100,98.17179159093544,llama3-8b-inst,O_NATIVE,1,,,,1.5294587977355165,5.400712490081787,3.5311264991760254,[3557],,,0,NOT_RECORDED,,100
50f5273d30913e8ca5eb613b9335fb72bb417ffd820673799e209a043bb92c8b,100,116.65990628181203,llama3-8b-inst,O_NATIVE,2,,,,1.7483081051728722,6.225355625152588,3.560788631439209,[12179],,,0,NOT_RECORDED,,100
062810781662927457e8d745d6ea0b37011e801576c221118ec1585d906d3f62,100,129.42416057496723,llama3-8b-inst,O_NATIVE,3,,,,354769.2023147552,6.615146636962891,1.8646338503458537e-05,[8848],,,0,NOT_RECORDED,,100
aa28336cbb12fe67b0782308e6a2438801fa85b4594f024d2c486af12257b9cd,100,142.96999044926676,llama3-8b-inst,O_NATIVE,4,,,,1.8832530345086658,7.189457416534424,3.8175737857818604,[9513],,,0,NOT_RECORDED,,100
d5242c7018dd9fe2ce83be9d079eda59a476b97aba652ba93c0c0602155d544e,100,159.8951802006268,llama3-8b-inst,O_NATIVE,5,,,,1.9311199244184636,7.574578285217285,3.9223759174346924,[8463],,,0,NOT_RECORDED,,100
62e29d95f2a31a7576b91438d892f995984c044a6fbbb686d62ffa3352be470f,100,173.7081227731653,llama3-8b-inst,O_NATIVE,6,,,,1.8135079424988765,7.737222671508789,4.266439914703369,[16069],,,0,NOT_RECORDED,,100
d86726fa9e76a72478a43ffd00bc29ab216896e5791f5495941f2061b7e492b3,100,180.31864795450616,llama3-8b-inst,O_NATIVE,7,,,,2.143552551940699,8.360225677490234,3.9001729488372803,[12919],,,0,NOT_RECORDED,,100
8eabbb79351d28f8b7eefb9c18b8b4d02af222a9de258c3e56614ed20a5a8e95,100,199.30660360598137,llama3-8b-inst,O_NATIVE,8,,,,2.0437529574295463,9.372834205627441,4.586089611053467,[4651],,,0,NOT_RECORDED,,100
808644e67eb971fa24e82aad66136b07118b096c4b1fbc8dd5c8f93f662be48a,100,207.27060937735124,llama3-8b-inst,O_NATIVE,9,,,,2.2640550267396193,9.858928680419922,4.354544639587402,[20735],,,0,NOT_RECORDED,,100
79631d46338c9fb34dd27d18bbee3176ba89c834cb639580ae53458787c7221d,100,211.88800939217788,llama3-8b-inst,O_NATIVE,10,,,,2.3119871676990678,10.718997955322266,4.636270523071289,[2746],,,0,NOT_RECORDED,,100
a333a8a24df3995c1adcf642c72a627225b2ef283d8b13fe4a64ba6fa069af86,100,2303.826660144402,qwen2.5-7b-inst,O_NATIVE,1,,,,3.1157786473125224,189.70880126953125,60.88648223876953,[21482],,,0,NOT_RECORDED,,100
017a93f6593761cb7881a4808074d8f19fb8eac81010bbf08ddd56b39d76821e,100,2493.0898407356,qwen2.5-7b-inst,O_NATIVE,2,,,,3.9549814543714596,197.03622436523438,49.819759368896484,[4774],,,0,NOT_RECORDED,,100
271955b474f1f1472fa1c871a5dee9b63b9df852c2c192bc66f7892e506af2fb,100,7083.831112363581,qwen2.5-7b-inst,O_NATIVE,3,,,,1262103.1492343612,231.3950958251953,0.0001833408750826493,[8848],,,0,NOT_RECORDED,,100
de5154ac6a03643df5f8321493bb5de8aa04dd95ec70e007126421c1932ab7e2,100,4519.2860674485455,qwen2.5-7b-inst,O_NATIVE,4,,,,7.142592620014322,432.40948486328125,60.53956985473633,[16456],,,0,NOT_RECORDED,,100
ac45574e193bf4855d355ab4d75d8d1408faa29776e9551704b4fc0170117c6f,100,3495.7793581743977,qwen2.5-7b-inst,O_NATIVE,5,,,,6.232499750907426,401.3539733886719,64.3969497680664,[3359],,,0,NOT_RECORDED,,100
04c140f9b73cd9097d7a2d02b03e24fefbf8fc03dce01c2587e750a126a38742,100,3348.7453793346517,qwen2.5-7b-inst,O_NATIVE,6,,,,6.617861144297382,322.7735900878906,48.77309799194336,[2922],,,0,NOT_RECORDED,,100
fe723527b90423fa24f5c89e38b4b93377fa6d5e47095e8b4b578ecc0ad1a921,100,3237.102920104273,qwen2.5-7b-inst,O_NATIVE,7,,,,5.150014754768937,300.31634521484375,58.31368637084961,[10190],,,0,NOT_RECORDED,,100
