L2_velocity_action,W_sha256,actual_net_DeltaW_squared,actual_nonzero,actual_step_DeltaW_squared,alias,arm,batch,coefficient,direction_frobenius_squared,direction_raw_action,frobenius_sq,frobenius_velocity_squared,history_action_computation,history_velocity_action,kind,layer,materialized_nonzero,native_raw,node,normalized_native_velocity_action,parameter_elements,q,raw_coefficient,raw_native_velocity_action,state_version
,62e29d95f2a31a7576b91438d892f995984c044a6fbbb686d62ffa3352be470f,,,,llama3-8b-inst,O_NATIVE,6,,,,17.71579561930308,,,,actual_endpoint_net_FP32,4,58720215,17.962557656544227,,,58720256,,,,
,62e29d95f2a31a7576b91438d892f995984c044a6fbbb686d62ffa3352be470f,,,,llama3-8b-inst,O_NATIVE,6,,,,18.706937193003576,,,,actual_endpoint_net_FP32,5,58720217,18.949398151843393,,,58720256,,,,
,62e29d95f2a31a7576b91438d892f995984c044a6fbbb686d62ffa3352be470f,,,,llama3-8b-inst,O_NATIVE,6,,,,25.292686964061346,,,,actual_endpoint_net_FP32,6,58720230,25.646218788558965,,,58720256,,,,
,62e29d95f2a31a7576b91438d892f995984c044a6fbbb686d62ffa3352be470f,,,,llama3-8b-inst,O_NATIVE,6,,,,41.157808796083756,,,,actual_endpoint_net_FP32,7,58720221,41.86394518345504,,,58720256,,,,
,62e29d95f2a31a7576b91438d892f995984c044a6fbbb686d62ffa3352be470f,,,,llama3-8b-inst,O_NATIVE,6,,,,70.83489420071353,,,,actual_endpoint_net_FP32,8,58720240,72.17740252160056,,,58720256,,,,
,d86726fa9e76a72478a43ffd00bc29ab216896e5791f5495941f2061b7e492b3,,,,llama3-8b-inst,O_NATIVE,7,,,,18.044811648631047,,,,actual_endpoint_net_FP32,4,58720222,18.543765342354483,,,58720256,,,,
,d86726fa9e76a72478a43ffd00bc29ab216896e5791f5495941f2061b7e492b3,,,,llama3-8b-inst,O_NATIVE,7,,,,19.58137442320851,,,,actual_endpoint_net_FP32,5,58720217,20.092088615964816,,,58720256,,,,
,d86726fa9e76a72478a43ffd00bc29ab216896e5791f5495941f2061b7e492b3,,,,llama3-8b-inst,O_NATIVE,7,,,,26.422861296894716,,,,actual_endpoint_net_FP32,6,58720237,27.04397787418035,,,58720256,,,,
,d86726fa9e76a72478a43ffd00bc29ab216896e5791f5495941f2061b7e492b3,,,,llama3-8b-inst,O_NATIVE,7,,,,42.86760373194671,,,,actual_endpoint_net_FP32,7,58720237,43.815128939330464,,,58720256,,,,
,d86726fa9e76a72478a43ffd00bc29ab216896e5791f5495941f2061b7e492b3,,,,llama3-8b-inst,O_NATIVE,7,,,,73.40199685382517,,,,actual_endpoint_net_FP32,8,58720247,75.08632689947794,,,58720256,,,,
,8eabbb79351d28f8b7eefb9c18b8b4d02af222a9de258c3e56614ed20a5a8e95,,,,llama3-8b-inst,O_NATIVE,8,,,,20.85244334706586,,,,actual_endpoint_net_FP32,4,58720210,21.188261125703125,,,58720256,,,,
