model,arm,state_k,transition_to_k,remaining_steps,target_z_full6_nll,w_full6_nll,next_w_full6_nll,z_minus_w_full6_nll,full_residual_norm_mean,full_residual_norm_max,required_norm_mean,required_norm_max,rho_write,predicted_progress,actual_progress,realization_ratio,linearization_error,q,active_layer_count,equality_residual,selected_structural_p,cumulative_structural_p,selected_capacity,selected_energy,simplex_entropy,simplex_top1,write_norm_gain_mean,write_residual_ratio_mean,full_current_residual_sha256,required_displacement_sha256,field_sha256,physical_capture_sha256,next_physical_capture_sha256,full_current_residual_count,remaining_horizon_division_count,physical_h_application_count,second_h_application_count,semantic_debt_input_count,explicit_lag_readdition_count,residual_attenuation_by_barrier_count,heldout_stepwise_status
llama3-8b-inst,RS-P1R33-NEUTRAL,0,1,8,8.365490245819093,8.365490245819093,8.169496750831604,0.0,0.7929371148981063,0.7929371193153842,0.09911713936226328,0.09911713991442303,0.6037576233910789,0.603757623391079,0.19599349498748886,0.32462280788496334,-0.4077641284035901,2.712429702281952,5,1.1102230246251565e-16,2.6552744876953112e-06,2.6552744876953112e-06,0.0009155562530668476,0.0018311125058859655,1.608970936994902,0.21180969907081806,0.09857202012460217,0.9670040260804368,41fd86657e4b30d8b636f1d5eae18e685532a1efdd872c7550e079d306a3d7e2,a2191058d4a20950b251bf3b666474faab15f52f34cf7cb78c632154d8b16658,94c08df4bd02ba0ca88cef00f794d323fcd866945bd90791572f95cb3106075d,c4f902d2cec436b319a0b7f36b30350580443f50f21243734f44feff46f027d8,a57a8c7aee6d51ef5835ef3f0cf1d5316fc4c06835a4c8a9ece6fdea544d7852,1,1,1,0,0,0,0,NOT_RECORDED_BY_CONTRACT
llama3-8b-inst,RS-P1R33-NEUTRAL,1,2,7,5.221594727039337,8.169496750831604,7.661960029602051,-2.947902023792267,1.309413948987571,1.4607962228071947,0.1870591355950859,0.20868517452260976,0.7078621655897674,0.7078621655897674,0.5075367212295525,0.7169993621653343,-0.20032544436021493,4.414571166038513,5,0.0,1.331792741612585e-05,1.331792741612585e-05,0.001737852853252022,0.0034743938231966824,1.6092534208945426,0.20608826011439207,0.18042849985702486,0.9254304195402702,a106310f8b0742f0511af948228db5ed8b561e721e9ba945e4138993ce2c554f,06c843d90aec860ff8eea150d70802651d36070663931933c68c61228ed4b3dd,247b38f203fb21926b9199f16234abe5663c9fbf8f260bddf14498bdc1de6634,a57a8c7aee6d51ef5835ef3f0cf1d5316fc4c06835a4c8a9ece6fdea544d7852,9950b2e4c146f1af0764f0af61c45079adeb89971b1aac9909f92107d1257d51,1,1,1,0,0,0,0,NOT_RECORDED_BY_CONTRACT
llama3-8b-inst,RS-P1R33-NEUTRAL,2,3,6,2.8655392229557037,7.661960029602051,7.089233946800232,-4.796420806646347,1.6403137648386887,1.8560837742479672,0.2733856273735562,0.3093472956341443,0.5923250589769467,0.5923250589769467,0.572726082801819,0.9669117896008899,-0.019598976175127625,5.3899922370910645,5,0.0,3.073909856039522e-05,3.073909856039522e-05,0.0017209067006463683,0.0034380523381280876,1.6092201933700032,0.20565976443148853,0.20544984093571197,0.9383580662606105,0a7a99c2f209c005ae0bea7c758e1f5eceb08006075d3b44a5cb4cb65620916b,1adeb922826b9daa822a159e51a7dd4cb5e959101857ad9bf72aac5143f1c8a7,4a1546e19d8da8d7d11271c869fa775208bf1c28bd8f3240883228d7be4086fc,9950b2e4c146f1af0764f0af61c45079adeb89971b1aac9909f92107d1257d51,e74ded1ac1e1ddabbaf23b2afd86412373f9f1ef52f7725689b15172a81cfb3d,1,1,1,0,0,0,0,NOT_RECORDED_BY_CONTRACT
llama3-8b-inst,RS-P1R33-NEUTRAL,3,4,5,1.2137919189408422,7.089233946800232,6.561028146743775,-5.87544202785939,1.8691240695648252,2.1405125980849515,0.37382481405419654,0.4281025199769945,0.47299342078638135,0.4729934207863813,0.5282058000564573,1.1167296982210984,0.05521237927007605,6.625563740730286,5,5.551115123125783e-17,5.1229142727076774e-05,5.1229142727076774e-05,0.0013391536041672187,0.002673486349931804,1.6092094648536683,0.20704789198603357,58608274944426.3,58608274944426.984,ba0fc91f68be2a4b69b1eb3ab518b6a1ed94879930e6fa489eb83e756f0b75c3,df7fd6825bf9e79a8d29ee5372ba843ecdeb3facb4e9ee5c8694be6a99b9dac2,920e52e5cec1d73c210779dfd5972106dd80f775e7b4c588fb5b573eacca2c30,e74ded1ac1e1ddabbaf23b2afd86412373f9f1ef52f7725689b15172a81cfb3d,128bd2fb7e39d87f53831ae8b3332f842d816480362827a494959c75c13e9cc0,1,1,1,0,0,0,0,NOT_RECORDED_BY_CONTRACT
llama3-8b-inst,RS-P1R33-NEUTRAL,4,5,4,0.5458164460491389,6.561028146743775,6.322263097763061,-6.0152117006946355,1.9737647454793685,2.3976152980036245,0.4934411864128411,0.5994038246364398,0.2178786373685837,0.2178786373685837,0.2387650489807136,1.0958625951735719,0.020886411612129896,9.322302341461182,5,0.0,6.16495991223364e-05,6.16495991223364e-05,0.0002506209895324294,0.0005000647815918627,1.6092661336777536,0.20602246974916222,106892382689930.08,106892382689930.69,517d0b97fe5ea0ca83bcdac0dcda45d84b0e3c1da6e0bf42dd4546b20bfef51c,5200a29e513f7739a9de6e2eb44a3b8619fe040ee2ac6eb8cd9797b261ce3567,fc2e7f37e52b57cb58800d8aa48fe0b9ddfe11e53eabace1b2e02d27ed4c70e4,128bd2fb7e39d87f53831ae8b3332f842d816480362827a494959c75c13e9cc0,343bfbfbafc16241793bc6dc3fb17e18d8d749b49e4d6d4381142271e20d2327,1,1,1,0,0,0,0,NOT_RECORDED_BY_CONTRACT
llama3-8b-inst,RS-P1R33-NEUTRAL,5,6,3,0.3771428593667224,6.322263097763061,5.983943343162537,-5.945120238396338,2.0399322237801147,2.48266443262481,0.6799774078197068,0.8275548102366391,0.2821908391007665,0.2821908391007665,0.33831975460052455,1.1989041021934674,0.05612891549975807,12.232970237731934,5,0.0,7.701505851575869e-05,7.701505851575869e-05,0.0004643630706547323,0.0009264494749132539,1.6092525247479694,0.20424497974967099,217064312598177.3,217064312598177.72,84d5d0e5c12ccd8096bc8088fdf10e2c07780c2fbcd6d0431637dac2dfbaf018,272af25dad2ffc4d6cf7571927d7fcdde9f7c9b5ccb31e4528e995f3637fff62,491393272f6cb358c269add338ea5c22226101106ce12a855c5dbde173f03ddf,343bfbfbafc16241793bc6dc3fb17e18d8d749b49e4d6d4381142271e20d2327,abedd95121927e7c65fd4c655a88a15b2547fb5aa43076976c7635c4faec1ca7,1,1,1,0,0,0,0,NOT_RECORDED_BY_CONTRACT
llama3-8b-inst,RS-P1R33-NEUTRAL,6,7,2,0.18950405362993478,5.983943343162537,5.720419526100159,-5.794439289532602,2.0420247153504354,2.6606408877342598,1.0210123576338126,1.330320443131722,0.23036495041642552,0.23036495041642552,0.26352381706237793,1.1439405889865968,0.03315886664595241,18.714098930358887,5,0.0,9.0521919652233e-05,9.0521919652233e-05,0.0003003514552536341,0.000599116372130518,1.609269343232542,0.20573076806456453,226576276355559.4,226576276355559.75,fd100656978a63cfd956a4f93aa1b2bbbf24e9712027aec975eeb8a66920ebd1,a7c7081d29f371ce1c287f58a3eb76ce4f21e51415a41d0393ebf9ab5874a19f,85fdd2920ed185546e522edf3332ca46a4a4c6ab3da60a851cadf798a0ef6252,abedd95121927e7c65fd4c655a88a15b2547fb5aa43076976c7635c4faec1ca7,13e673a3cdf891f1ae41378b70bb56cbe08558c66bea747819b79db97619157d,1,1,1,0,0,0,0,NOT_RECORDED_BY_CONTRACT
llama3-8b-inst,RS-P1R33-NEUTRAL,7,8,1,0.13358577291946858,5.720419526100159,4.210407537221909,-5.58683375318069,2.020882554029781,2.7003981062514626,2.0208825539545336,2.700398104988287,1.159693764383037,1.159693764383037,1.51001198887825,1.3020782168991674,0.350318224495213,38.18843078613281,5,0.0,0.00017935967855591738,0.00017935967855591738,0.007213595906230782,0.0143873227102737,1.6092511301447985,0.20586494098214062,812173450565560.4,812173450565560.5,fc0b9566ad8acf6728477e72e6b23fae63d1bd7c3585916c2538caf6b3bd20a8,56778c69db43c0e14c920c3b201ed517c96e889ff24729e1b2df54b0a9dc37af,7e71cb60820478dcbc9c67533fa7bbfca50d0e2a7cfadf61e9e0b5aba3372683,13e673a3cdf891f1ae41378b70bb56cbe08558c66bea747819b79db97619157d,e033551fe7e4ee702e281419c1b28ef9db9d2ba2aed1afec0236be169cbbe289,1,1,1,0,0,0,0,NOT_RECORDED_BY_CONTRACT
llama3-8b-inst,RS-P1R33-NEUTRAL,8,,,0.05398029426578432,4.210407537221909,,-4.156427242956124,,,,,,,,,,,,,,0.00017935967855591738,,,,,,,,,,,,,,,,,,,TERMINAL_ONLY_AFTER_ACTION_FREEZE
llama3-8b-inst,RS-P1R33-SOFT,0,1,8,8.365490245819093,8.365490245819093,8.164769268035888,0.0,0.7929371148981063,0.7929371193153842,0.09911713936226328,0.09911713991442303,0.6037576233910789,0.6037576233910789,0.2007209777832042,0.3324529082639118,-0.40303664560787467,2.712429702281952,5,0.0,2.6065282888375327e-06,2.6065282888375327e-06,0.0009155185128778221,0.001831037025504787,1.605496936292723,0.22350432995765732,0.10078108582412704,0.9664399311067885,41fd86657e4b30d8b636f1d5eae18e685532a1efdd872c7550e079d306a3d7e2,a2191058d4a20950b251bf3b666474faab15f52f34cf7cb78c632154d8b16658,9050eb6ea5a620c1ddc28a9f37d6dff765a3da8d85dbc3e17278ce268c3f523e,023384bf5f953a76a4885c67883f0d05a5e6ac3fe086a1ec5d576b95c4a6f6ff,0435cd95be36639f44b4a1c77c0cdbe10a4313560aa1fdd414fef9023e86dfb0,1,1,1,0,0,0,0,NOT_RECORDED_BY_CONTRACT
