batch,selected,raw_E,selected_E,raw_D,selected_D,delta_D,cap_free_alpha,native_norm,selected_actual_norm
1,C1,0.002287666152260499,0.002287652181839803,0.0015781786939896847,0.0015741323738325264,-4.046320157158334e-06,2904.192466510575,7.610187124347208,0.0006551064104241197
2,C05,0.005383443928294583,0.005383432866365183,0.0036145931771329742,0.003609805245048392,-4.78793208458228e-06,1851.6033246058275,7.71624095917973,0.000520918549525139
3,C1,0.0015892918577446835,0.001589285595327965,0.005858019608695031,0.005844112609565855,-1.3906999129176256e-05,1524.850368753875,7.840122727091323,0.0012853797404913196
4,C05,0.0013064281209153705,0.0013064235025740346,0.008212091013888312,0.0081996533142501,-1.2437699638212507e-05,1140.1144740832901,7.802116174237956,0.0008554073726145597
5,RAW,0.0015447625856904778,0.0015447625856904778,0.01030052469968723,0.01030052469968723,0.0,1010.4763931757731,7.841175442863769,0.0
6,C1,0.0019356130384403515,0.0019354469796962802,0.01193354528686541,0.011907817015071487,-2.572827179392334e-05,1164.5876959987984,8.225704485916186,0.0017657641080235321
7,C05,0.0028046506572900398,0.0028046471961533826,0.01397174706653459,0.013956920851796895,-1.4826214737695409e-05,1099.030854485541,8.22710936540747,0.0009357120136639726
8,C1,0.0016197894379729404,0.0016197758766065818,0.01587227978006922,0.015841237879158143,-3.104190091107739e-05,1061.592127556691,8.149114993598621,0.0019190610135407207
9,C1,0.0023295510291791287,0.0023295452821912475,0.01826888483219591,0.018236215508522946,-3.266932367296249e-05,1084.5380713947648,8.64112691862957,0.001991877180336763
10,RAW,0.005098930185158679,0.005098930185158679,0.02013259260866107,0.02013259260866107,0.0,943.7571630157728,8.603390473928195,0.0
