comparison,metric,n,before_success,after_success,lost,gained,strict_lost,strict_gained,harm_mean,harm_median,harm_p95,harm_p99,harm_min,harm_max
atwrite_to_W10,RS,1000,1000,998,2,0,4,0,0.02489302244652208,7.144946721382439e-06,0.0027586120122577913,0.024113750718533992,-0.045627936720848083,9.110596893820912
atwrite_to_W10,PS,2000,1936,1942,8,14,22,33,-0.04772722679319122,-2.3096799850463867e-07,0.34698569625616066,0.8977912759780883,-6.175323009490967,4.601561725139618
atwrite_to_W10,NS,10000,8351,8056,420,125,325,201,0.13383527997849742,0.0,2.149933347105979,5.955417551994344,-8.581903457641602,15.758182905614376
W5_to_W10_first500,RS,500,500,499,1,0,2,0,0.024574532871829435,4.68180951429531e-05,0.004098628775682292,0.04226752396672894,-0.014546077698469162,5.147213459014893
W5_to_W10_first500,PS,1000,964,968,4,8,11,24,-0.04350356361030208,-0.0003687806020025164,0.3865228176116943,0.9055672788619993,-2.546661376953125,4.892400443553925
W5_to_W10_first500,NS,5000,4202,4011,256,65,198,113,0.23335827648434787,0.0007597445510327816,2.484907364845278,6.9670423740149,-6.866995811462402,15.758182905614376
entry_to_atwrite_currentpool,RS,1000,102,1000,0,898,0,991,-10.203409247580444,-9.990701101836748,-4.318472413618292,-1.5701667952269793,-22.513535171747208,-0.15359956439351663
entry_to_atwrite_currentpool,PS,2000,276,1936,1,1661,0,1313,-7.920819799185787,-7.916022628545761,-1.8753038406372071,-0.15870906352996844,-21.520488112582825,5.91464376449585
entry_to_atwrite_currentpool,NS,10000,8615,8351,294,30,200,94,0.07342705452006194,-0.004733145236968994,0.94151763319969,3.217102010250097,-6.445661187171936,14.360436201095581
