batch,selected,alpha_without_cap,alpha_used,native_norm,selected_correction_norm,correction_over_native_fraction,correction_over_native_percent,fraction_of_declared_25pct_trust,gE_gD_cosine,projection_change_over_gD_fraction,D_linear_descent_retained_fraction,correction_native_cosine,correction_orthogonal_fraction,target_ball_requests,gE_dot_C,C_replay_exact,raw_D,selected_D,local_D_reduction_percent,uncapped_GEOMETRY_ONLY_action_over_native_fraction,uncapped_GEOMETRY_ONLY_ball_requests,uncapped_model_forward
1,C1,2904.1924665209003,1.0,7.610187124377629,0.0006551064104240679,8.60828255228538e-05,0.00860828255228538,0.0003443313020914152,-0.003898628029650094,0.0038986278936801217,0.9999848007714159,-0.060297639445728295,0.9981804419341779,0,1.1114909017920853e-11,True,0.0015781786939896847,0.0015741323738325264,0.25639176175475487,0.24627685582887524,87,False
2,C05,1851.6033246116579,1.0,7.7162409592072825,0.000520918549525086,6.750936787471731e-05,0.006750936787471731,0.00027003747149886923,-0.009751982244199816,0.009751982438593884,0.9999048988991579,-0.048885144076128574,0.9988044066140961,7,2.850407509254839e-11,True,0.0036145931771329742,0.003609805245048392,0.13246116090939938,0.245416999214336,98,False
3,C1,1524.850368758541,1.0,7.840122727118932,0.001285379740491112,0.00016394893106009577,0.016394893106009577,0.0006557957242403831,-0.006566852630081061,0.006566852664492761,0.9999568765660444,-0.04320674849089738,0.9990661524208305,5,1.0184675857907044e-10,True,0.005858019608695031,0.005844112609565855,0.2374010341060341,0.24588618346674643,100,False
4,C05,1140.114474086908,1.0,7.802116174265929,0.0008554073726143824,0.00010963786663877308,0.010963786663877309,0.0004385514665550923,-0.006822202823291788,0.006822202875018219,0.9999534575128661,-0.03365477880934494,0.9994335174828499,9,1.4573488710059512e-09,True,0.008212091013888312,0.0081996533142501,0.15145593999357573,0.24472704149938826,99,False
5,RAW,1010.4763931789306,1.0,7.841175442891402,0.0,0.0,0.0,0.0,-0.007172187725875503,0.0071721877110716885,0.999948559737487,,,12,2.7778436707693743e-09,True,0.01030052469968723,0.01030052469968723,-0.0,0.2437291008014753,99,False
6,C1,1164.5876960024277,1.0,8.225704485945483,0.001765764108022814,0.00021466417995441185,0.021466417995441186,0.0008586567198176474,0.002664594707508828,0.0,1.0,-0.02815587126240804,0.9996035448766364,19,-1.66372064644835e-07,True,0.01193354528686541,0.011907817015071487,0.2155962136603363,0.24411097610547738,100,False
7,C05,1099.0308544890468,1.0,8.227109365436874,0.0009357120136637802,0.00011373521027869456,0.011373521027869456,0.00045494084111477823,-0.004301117654066179,0.004301117571224859,0.9999815002252093,-0.029819799888442584,0.9995552908744653,15,3.295427232526417e-09,True,0.01397174706653459,0.013956920851796895,0.10611568236307009,0.24441141775283137,100,False
8,C1,1061.5921275599994,1.0,8.14911499362737,0.0019190610135399518,0.00023549318116637975,0.023549318116637977,0.000941972724665519,-0.00788301829281419,0.007883018187072125,0.9999378580344903,-0.027157130240491316,0.9996311771305662,16,3.4120505142510106e-09,True,0.01587227978006922,0.015841237879158143,0.1955730452159533,0.24403590568176947,100,False
9,C1,1084.5380713983027,1.0,8.641126918661508,0.0019918771803359736,0.000230511274638761,0.023051127463876102,0.000922045098555044,-0.004796475865876641,0.004796475707499578,0.9999769937128952,-0.03169584872812378,0.999497560368659,10,4.198211076298683e-10,True,0.01826888483219591,0.018236215508522946,0.1788249472972109,0.24523990778434485,99,False
10,RAW,943.7571630188166,1.0,8.603390473959848,0.0,0.0,0.0,0.0,-0.0024194199580173134,0.0024194199705406105,0.9999941465182794,,,18,-8.59915095423587e-10,True,0.02013259260866107,0.02013259260866107,-0.0,0.2430811579033081,100,False
