batch,candidate,beta,E,D,delta_E,delta_D,strict_lost,feasible,selected,predicted_delta_E,predicted_delta_D,D_actual_over_predicted,request_NLL_worse,request_NLL_better,request_NLL_mean_abs_delta,mean_cancellation_ratio,request_NLL_max_harm,generic_KL_worse,generic_KL_better,generic_KL_max_harm,D_relative_change
1,RAW,0,0.002287666152260499,0.0015781786939896847,0.0,0.0,0,True,False,0.0,-0.0,,0,0,0.0,0,0.0,0,0,0.0,0.0
1,C1,1,0.002287652181839803,0.0015741323738325264,-1.3970420696153563e-08,-4.046320157158334e-06,0,True,True,1.1114909017907618e-11,-4.05861654645089e-06,0.9969703003100135,47,16,4.2425992432981727e-07,0.03292891903052582,2.9262155294418335e-06,0,64,-5.48316165804863e-08,-0.0025639176175475484
1,C05,0.5,0.002287680976296542,0.0015761504906208756,1.482403604296384e-08,-2.028203368809045e-06,0,False,False,5.557454508953809e-12,-2.029308273225445e-06,0.9994555265796833,41,14,2.2926222300156952e-07,0.0646597413602779,2.1066516637802124e-06,0,64,-3.2781827030703425e-08,-0.0012851544483100858
1,C025,0.25,0.002287655268009985,0.001577169790834887,-1.0884250514330701e-08,-1.0089031547977356e-06,0,True,False,2.7787272544769045e-12,-1.0146541366127225e-06,0.9943320767072554,29,14,1.235917443409562e-07,0.08806616147680542,8.195638656616211e-07,0,64,-1.1990778148174286e-08,-0.000639283218459373
2,RAW,0,0.005383443928294583,0.0036145931771329742,0.0,0.0,0,True,False,0.0,-0.0,,0,0,0.0,0,0.0,0,0,0.0,0.0
2,C1,1,0.005383479854499456,0.0036050201345005917,3.5926204873006073e-08,-9.573042632382567e-06,0,False,False,2.8504075092336632e-11,-9.608080544198837e-06,0.9963532870426003,56,20,3.1273362401407213e-06,0.011487797318330406,9.505078196525574e-05,0,64,-2.2799213184043765e-08,-0.002648442622241577
2,C05,0.5,0.005383432866365183,0.003609805245048392,-1.1061929399390491e-08,-4.78793208458228e-06,0,True,True,1.4252037546168316e-11,-4.8040402720994184e-06,0.9966469499411381,48,16,1.5828221512492747e-06,0.006988738052888404,4.69014048576355e-05,0,64,-1.5192199498414993e-08,-0.0013246116090939938
2,C025,0.25,0.005383424560423009,0.003612195420146236,-1.936787157388875e-08,-2.3977569867383863e-06,0,True,False,7.126018773084158e-12,-2.4020201360497092e-06,0.998225181692967,35,11,7.897069735918194e-07,0.024525390077028166,2.2996217012405396e-05,0,64,-2.7939677238464355e-09,-0.0006633545932381361
3,RAW,0,0.0015892918577446835,0.005858019608695031,0.0,0.0,0,True,False,0.0,-0.0,,0,0,0.0,0,0.0,0,0,0.0,0.0
3,C1,1,0.001589285595327965,0.005844112609565855,-6.2624167184409385e-09,-1.3906999129176256e-05,0,True,True,1.0184675857906382e-10,-1.3953110996159512e-05,0.9966952268210331,43,23,5.703647912014276e-07,0.010979669178473764,3.3311080187559128e-06,0,64,-1.4857505448162556e-08,-0.002374010341060341
3,C05,0.5,0.0015892875088320579,0.0058510640665190294,-4.348912625634291e-09,-6.955542176001472e-06,0,True,False,5.092337928953191e-11,-6.976555498079756e-06,0.9969880090419881,35,19,2.8816510166507215e-07,0.01509173942474455,1.546461135149002e-06,0,64,-1.3649696484208107e-08,-0.0011873538568695457
3,C025,0.25,0.001589294065051945,0.005854544060753142,2.2073072614495204e-09,-3.47554794188909e-06,0,False,False,2.5461689644765956e-11,-3.488277749039878e-06,0.9963506899201785,24,13,1.4377284969668837e-07,0.01535274056336913,8.25151801109314e-07,0,64,-6.4828782342374325e-09,-0.0005932974237113086
4,RAW,0,0.0013064281209153705,0.008212091013888312,0.0,0.0,0,True,False,0.0,-0.0,,0,0,0.0,0,0.0,0,0,0.0,0.0
4,C1,1,0.0013064307575768907,0.00818726146849258,2.6366615201930954e-09,-2.4829545395732566e-05,0,False,False,1.4573488710059545e-09,-2.492868844233008e-05,0.9960229337043996,39,30,3.328737511765212e-07,0.00792090548105395,1.903739757835865e-06,1,63,2.7939677238464355e-09,-0.0030235350964499504
4,C05,0.5,0.0013064235025740346,0.0081996533142501,-4.618341335879336e-09,-1.2437699638212507e-05,0,True,True,7.286744355029772e-10,-1.246434422116504e-05,0.99786233575712,36,23,1.7118858522735536e-07,0.02697809161601355,9.51811671257019e-07,1,63,6.984919309616089e-09,-0.0015145593999357574
4,C025,0.25,0.0013064335695889895,0.00820584359962595,5.448673619061484e-09,-6.247414262361417e-06,0,False,False,3.643372177514886e-10,-6.23217211058252e-06,1.002445720610478,30,15,1.016368332784623e-07,0.05360924227276278,4.759058356285095e-07,1,63,2.0954757928848267e-08,-0.0007607580397971445
5,RAW,0,0.0015447625856904778,0.01030052469968723,0.0,0.0,0,True,True,0.0,-0.0,,0,0,0.0,0,0.0,0,0,0.0,0.0
5,C1,1,0.0015447892995143775,0.010268246767395794,2.6713823899704794e-08,-3.227793229143572e-05,0,False,False,2.777843670769371e-09,-3.2422993292960424e-05,0.99552598366801,42,36,3.9270089473575355e-07,0.06802587989436691,3.1767413020133972e-06,0,64,-4.364846972748637e-08,-0.0031336202021258024
5,C05,0.5,0.00154477977877832,0.010284373299555227,1.7193087842315435e-08,-1.615140013200289e-05,0,False,False,1.3889218353846855e-09,-1.6211496646480212e-05,0.996292969379211,33,26,1.9544124370440842e-07,0.08797062235399408,1.646578311920166e-06,0,64,-2.1318555809557438e-08,-0.001568017222704521
5,C025,0.25,0.0015447750601742883,0.01029245161714698,1.2474483810503978e-08,-8.073082540249743e-06,0,False,False,6.944609176923428e-10,-8.105748323240106e-06,0.9959700472198592,28,19,9.803101420402527e-08,0.127250380012816,5.876645445823669e-07,0,64,-7.275957614183426e-12,-0.0007837544955835966
6,RAW,0,0.0019356130384403515,0.01193354528686541,0.0,0.0,0,True,False,-0.0,-0.0,,0,0,0.0,0,0.0,0,0,0.0,0.0
6,C1,1,0.0019354469796962802,0.011907817015071487,-1.6605874407125097e-07,-2.572827179392334e-05,0,True,True,-1.6637206464483506e-07,-2.5790628988372453e-05,0.9975821762828186,44,28,6.734589987900108e-07,0.24657587821917165,3.795139491558075e-06,0,64,-5.9138983488082886e-08,-0.0021559621366033627
6,C05,0.5,0.0019355357246968196,0.01192064263705106,-7.731374353182538e-08,-1.2902649814350298e-05,0,True,False,-8.318603232241753e-08,-1.2895314494186226e-05,1.0005688360813052,33,25,3.54145304299891e-07,0.21831079670720677,2.016313374042511e-06,0,64,-2.2904714569449425e-08,-0.0010812084342237782
6,C025,0.25,0.0019355785227526212,0.011927090381959715,-3.451568773025007e-08,-6.4549049056950025e-06,0,True,False,-4.1593016161208765e-08,-6.447657247093113e-06,1.0011240762844764,32,17,1.818707096390426e-07,0.18978145408215039,1.0672956705093384e-06,0,64,-2.735760062932968e-09,-0.0005409042116595106
7,RAW,0,0.0028046506572900398,0.01397174706653459,0.0,0.0,0,True,False,0.0,-0.0,,0,0,0.0,0,0.0,0,0,0.0,0.0
7,C1,1,0.0028046507031649526,0.01394206926647712,4.5874912809468205e-11,-2.967780005747045e-05,0,False,False,3.2954272325263774e-09,-2.976672995042813e-05,0.9970124399587801,37,35,8.168389831553213e-07,5.616151255693085e-05,1.0905787348747253e-05,0,64,-8.280039764940739e-09,-0.002124129496199893
7,C05,0.5,0.0028046471961533826,0.013956920851796895,-3.461136657226943e-09,-1.4826214737695409e-05,0,True,True,1.6477136162631887e-09,-1.4883364975214066e-05,0.9961601265833478,33,27,4.0123279177350923e-07,0.008626255700408232,5.511566996574402e-06,0,64,-2.2992026060819626e-09,-0.001061156823630701
7,C025,0.25,0.0028046789423206066,0.01396433576792333,2.8285030566864433e-08,-7.411298611259554e-06,0,False,False,8.238568081315944e-10,-7.441682487607033e-06,0.9959170689695404,28,23,1.9429728126851841e-07,0.14557604914591976,2.814456820487976e-06,1,63,1.8044374883174896e-09,-0.0005304489535894366
8,RAW,0,0.0016197894379729404,0.01587227978006922,0.0,0.0,0,True,False,0.0,-0.0,,0,0,0.0,0,0.0,0,0,0.0,0.0
8,C1,1,0.0016197758766065818,0.015841237879158143,-1.3561366358659163e-08,-3.104190091107739e-05,0,True,True,3.4120505142509875e-09,-3.1148630260261014e-05,0.9965735459860723,37,37,4.530367732513696e-07,0.029934361092437356,4.73950058221817e-06,0,64,-4.598405212163925e-09,-0.001955730452159533
8,C05,0.5,0.0016197805920091922,0.01585672555529527,-8.845963748180599e-09,-1.555422477395041e-05,0,True,False,1.7060252571254937e-09,-1.5574315130130507e-05,0.9987100327679109,32,34,2.3690125090070068e-07,0.03734029986987475,2.369750291109085e-06,0,64,-6.9267116487026215e-09,-0.0009799616053568945
8,C025,0.25,0.001619784710346721,0.015864495962432557,-4.727626219322434e-09,-7.783817636664025e-06,0,True,False,8.530126285627469e-10,-7.787157565065254e-06,0.9995710978783566,24,29,1.2825126759707929e-07,0.03686221826808749,1.301988959312439e-06,0,64,-2.6775524020195007e-09,-0.0004904032529994931
9,RAW,0,0.0023295510291791287,0.01826888483219591,0.0,0.0,0,True,False,0.0,-0.0,,0,0,0.0,0,0.0,0,0,0.0,0.0
9,C1,1,0.0023295452821912475,0.018236215508522946,-5.746987881243004e-09,-3.266932367296249e-05,0,True,True,4.198211076298501e-10,-3.26764970012461e-05,0.9997804743793886,53,30,5.719168984796852e-07,0.010048641501099378,6.057322025299072e-06,1,63,1.0913936421275139e-09,-0.0017882494729721092
9,C05,0.5,0.002329546348701115,0.018252578346164228,-4.680478013843747e-09,-1.6306486031680834e-05,0,True,False,2.0991055381492506e-10,-1.633824850062305e-05,0.9980559440664032,42,28,2.901599509641528e-07,0.016130682398764216,3.088032826781273e-06,1,63,3.7834979593753815e-09,-0.0008925824527035898
9,C025,0.25,0.0023295326279912845,0.01826072964240666,-1.8401187844296896e-08,-8.155189789249562e-06,0,True,False,1.0495527690746253e-10,-8.169124250311524e-06,0.9982942527699428,33,27,1.8018006812781094e-07,0.10212665604746021,1.7816200852394104e-06,1,63,7.334165275096893e-09,-0.0004463977885983155
10,RAW,0,0.005098930185158679,0.02013259260866107,0.0,0.0,0,True,True,-0.0,-0.0,,0,0,0.0,0,0.0,0,0,0.0,0.0
10,C1,1,0.00509896144936647,0.02009018331500556,3.1264207791224796e-08,-4.240929365550983e-05,0,False,False,-8.599150954243282e-10,-4.2518763454895753e-05,0.9974253766927618,48,35,3.8250003126449886e-06,0.008173648427653484,0.0001618415117263794,0,64,-6.609479896724224e-08,-0.002106499370442001
10,C05,0.5,0.005099106649831811,0.020111334689772775,1.7646467313173902e-07,-2.1257918888295535e-05,0,False,False,-4.299575477121641e-10,-2.1259381727447877e-05,0.9999311908892227,44,31,1.7403720994479955e-06,0.10139479550821885,7.934868335723877e-05,0,64,-2.6368070393800735e-08,-0.0010558957458439977
10,C025,0.25,0.005099038846055919,0.020121980592875843,1.0866089724011208e-07,-1.0612015785227413e-05,0,False,False,-2.1497877385608204e-10,-1.0629690863723938e-05,0.9983371973161661,35,25,9.06827044673264e-07,0.11982538222518864,4.1872262954711914e-05,0,64,-1.2732925824820995e-08,-0.0005271062694956689
