baseline,metric,n,before_success,after_success,lost,gained,strict_lost,strict_gained,harm_mean,harm_median,harm_p95,harm_p99,harm_min,harm_max
AlphaEdit_BLUE_L4_ONLY,RS,1000,998,998,1,1,1,2,-0.004421829712306135,-2.1139858290553093e-05,0.0016899524285690826,0.023661703130346705,-6.683516623452306,3.15348482131958
AlphaEdit_BLUE_L4_ONLY,PS,2000,1943,1942,13,12,55,49,1.25346059230651e-05,3.183120861649513e-05,0.874357450008392,2.346110174655914,-12.330370984273031,10.064181327819824
AlphaEdit_BLUE_L4_ONLY,NS,10000,8072,8056,109,93,92,99,0.0003278491371776909,0.0037125349044799805,0.6659455120563504,1.4592074060440072,-14.400716662406921,5.851818084716797
AlphaEdit_BLUE,RS,1000,997,998,0,1,1,0,-0.018871828454915886,-5.025231803301722e-05,0.0023930502182338375,0.023356220531277193,-16.255826950073242,3.8302197456359863
AlphaEdit_BLUE,PS,2000,1939,1942,20,23,79,73,0.016129929812403136,-3.5793171264231205e-05,1.272299587726593,3.3609169721603394,-10.390238761901855,9.135225835256279
AlphaEdit_BLUE,NS,10000,8057,8056,159,158,136,142,-0.01974366299448302,-0.0014054919593036175,0.8907251358032223,2.0313078594207794,-13.790446281433105,8.859733581542969
MEMIT_BLUE,RS,1000,995,998,0,3,0,9,-0.09254364227490032,-0.0014142770232865587,0.0035000858595594757,0.03588878815324272,-14.817289417725988,1.5745982075459324
MEMIT_BLUE,PS,2000,1899,1942,29,72,128,167,-0.14452167867710158,-0.00248204346280545,2.3196242332458485,4.795122875124213,-13.397276163101196,10.737147808074951
MEMIT_BLUE,NS,10000,8507,8056,626,175,475,271,0.1457045612480317,0.026808870548848063,2.9434777677059145,5.63230930685997,-11.638870239257812,13.793986916542053
BASE_ALPHAEDIT,RS,1000,989,998,1,10,0,21,-0.12053543245709625,-0.001988350646570325,0.0020032274886034396,0.008429334431420993,-14.662717266008258,4.804214954376221
BASE_ALPHAEDIT,PS,2000,1854,1942,23,111,210,184,-0.05208164968008168,0.0014579155831597745,3.0747247498482455,5.618689443320036,-13.759772300720215,12.18262106180191
BASE_ALPHAEDIT,NS,10000,7510,8056,451,997,769,620,0.36023289949395404,0.3227729797363281,4.41835458278656,6.825923087596894,-15.625978946685791,16.984223008155823
BASE_MEMIT,RS,1000,949,998,1,50,0,167,-0.7305333881507413,-0.0279626899282448,0.0005851561232702805,0.004426068290485989,-12.834347171708941,4.385293483734131
BASE_MEMIT,PS,2000,1783,1942,29,188,238,393,-0.5646136158750232,-0.017589319963008165,4.0055016517639155,6.742153227329254,-16.302287101745605,12.235774040222168
BASE_MEMIT,NS,10000,7018,8056,439,1477,1039,802,0.6034368202483689,0.43086910247802734,5.772693249583244,8.790060105323796,-15.340877771377563,15.248053550720215
