batch,metric,n,before_success,after_success,lost,gained,strict_lost,strict_gained,harm_mean,harm_median,harm_p95,harm_p99,harm_min,harm_max
2,RS,100,100,100,0,0,0,0,-2.4001055862754582e-08,0.0,1.1909287422895432e-07,2.391263842582709e-07,-2.8796494007110596e-06,3.5529956221580505e-07
2,PS,200,191,191,0,0,0,0,-1.560038945171982e-06,1.0263174772262573e-06,8.23736190795898e-05,0.00015182495117187483,-0.0017175674438476562,0.00021505355834960938
2,NS,1000,862,862,0,0,0,0,5.032040411606431e-06,3.5762786865234375e-06,6.771087646484375e-05,0.00011598587036132802,-0.0003337860107421875,0.000247955322265625
3,RS,200,200,200,0,0,0,0,-8.658850856591016e-07,0.0,1.1909287422895432e-07,9.960308670997573e-07,-0.0001552104949951172,1.8477439880371094e-06
3,PS,400,382,382,0,0,0,0,2.273480349685997e-06,8.204951882362366e-07,9.564161300659176e-05,0.00022465944290161127,-0.0030426979064941406,0.0005805492401123047
3,NS,2000,1712,1712,0,0,0,0,7.856679381802677e-06,3.814697265625e-06,0.0001164197921752929,0.0002179288864135742,-0.0004525184631347656,0.0004305839538574219
4,RS,300,300,300,0,0,0,0,-3.914672803754608e-07,0.0,1.1915108188986778e-07,1.341737806797027e-06,-0.00011104345321655273,3.6284327507019043e-06
4,PS,600,572,572,0,0,0,0,5.076709203422069e-07,1.1734664440155029e-07,3.006458282470701e-05,7.05718994140625e-05,-0.00037860870361328125,0.00013875961303710938
4,NS,3000,2569,2569,0,0,0,0,4.627112454424302e-07,9.5367431640625e-07,5.627870559692376e-05,0.0001201629638671875,-0.0005736351013183594,0.0005083084106445312
5,RS,400,400,400,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,PS,800,769,769,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,NS,4000,3347,3347,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,RS,500,500,500,0,0,0,0,-2.1241298964014277e-06,0.0,2.380693331360817e-07,9.453063830733299e-07,-0.0006210803985595703,2.6620924472808838e-05
6,PS,1000,961,961,0,0,0,0,1.927310207975097e-06,8.028000593185425e-07,0.00020318031311035152,0.0004664230346679687,-0.009398937225341797,0.0011682510375976562
6,NS,5000,4171,4171,0,0,0,0,2.5839869631454347e-06,2.86102294921875e-06,0.00013786554336547873,0.0002666020393371593,-0.0009765625,0.0008268356323242188
7,RS,600,599,599,0,0,0,0,3.531786205712706e-08,0.0,1.1909287422895432e-07,4.143733531236632e-07,-0.00010383129119873047,0.00010156631469726562
7,PS,1200,1155,1155,0,0,0,0,2.6133143304226298e-06,2.3562461137771606e-07,4.340410232543944e-05,8.870363235473632e-05,-0.0010581016540527344,0.0002033710479736328
7,NS,6000,4933,4933,0,0,0,0,1.832222663021336e-06,9.5367431640625e-07,6.4849853515625e-05,0.00012111902236938482,-0.0003527402877807617,0.0004200935363769531
8,RS,700,699,699,0,0,0,0,-8.088625794958457e-07,0.0,2.377200871706009e-07,1.0573398321866978e-06,-0.00027883052825927734,2.956390380859375e-05
8,PS,1400,1351,1351,0,0,0,0,2.285359670557747e-06,2.3818574845790863e-07,7.951855659484863e-05,0.00018240749835968017,-0.0012655258178710938,0.0002818107604980469
8,NS,7000,5757,5757,0,0,0,0,2.076957083772868e-06,1.3113021850585938e-06,0.00012353062629699664,0.0002517771720886232,-0.0023527145385742188,0.0015401840209960938
9,RS,800,798,798,0,0,0,0,-4.020895084977383e-07,0.0,2.3795291781425476e-07,1.0443478822708118e-06,-0.0002467632293701172,3.141164779663086e-05
9,PS,1600,1553,1553,0,0,0,0,1.503291496192105e-06,2.9616057872772217e-07,6.485581398010253e-05,0.00014388680458068848,-0.0023093223571777344,0.0004992485046386719
9,NS,8000,6515,6515,0,0,0,0,-3.804387313721236e-06,-4.7264620661735535e-07,0.00011303424835205043,0.00021840095520019552,-0.0020842552185058594,0.0014295578002929688
10,RS,900,898,898,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,PS,1800,1747,1747,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,NS,9000,7250,7250,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
