batch,metric,n,before_success,after_success,lost,gained,strict_lost,strict_gained,harm_mean,harm_median,harm_p95,harm_p99,harm_min,harm_max
1,RS,100,100,100,0,0,0,0,-1.3970420695841312e-08,0.0,8.384929969906803e-07,1.678736880421645e-06,-1.7163343727588654e-05,2.9262155294418335e-06
1,PS,200,190,190,0,0,0,0,4.0117490279953926e-05,5.4640695452690125e-06,0.0002909302711486813,0.0004692161083221419,-0.0005712509155273438,0.000850677490234375
1,NS,1000,867,867,0,0,0,0,3.037390997633338e-06,3.933906555175781e-06,0.00011839866638183581,0.00021558761596679682,-0.000629425048828125,0.0005288124084472656
2,RS,100,100,100,0,0,0,0,-1.1061929399147629e-08,0.0,6.122281774878491e-07,1.988837495446219e-05,-6.431341171264648e-05,4.69014048576355e-05
2,PS,200,188,188,0,0,0,0,2.226513286586851e-05,2.2388994693756104e-06,0.0002175331115722656,0.0004447710514068604,-0.0003819465637207031,0.0006532669067382812
2,NS,1000,863,863,0,0,0,0,5.266623455099762e-06,3.2633543014526367e-06,6.489753723144527e-05,0.0001425766944885254,-0.000400543212890625,0.0003108978271484375
3,RS,100,100,100,0,0,0,0,-6.262416718527675e-09,0.0,1.8024118617176995e-06,2.6200083084404503e-06,-2.3772940039634705e-05,3.3311080187559128e-06
3,PS,200,189,189,0,0,0,0,2.766042744042352e-05,1.4082761481404305e-06,0.00032925605773925564,0.0006964850425720205,-0.0010683536529541016,0.0013284683227539062
3,NS,1000,865,865,0,0,0,0,8.866231888532638e-06,2.86102294921875e-06,0.00012145042419433585,0.00024040222167968743,-0.0003719329833984375,0.0005359649658203125
4,RS,100,100,100,0,0,0,0,-4.618341336026788e-09,0.0,3.571680281311274e-07,8.328724652528769e-07,-3.5553239285945892e-06,9.51811671257019e-07
4,PS,200,197,197,0,0,0,0,1.9216536165913568e-05,1.0675285011529922e-06,0.00017489790916442794,0.0003443747758865338,-0.0002460479736328125,0.0008208751678466797
4,NS,1000,808,808,0,0,0,0,-2.2993520833551883e-06,1.4854595065116882e-07,6.92605972290038e-05,0.00013545036315917966,-0.0005688667297363281,0.0004405975341796875
5,RS,100,100,100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,PS,200,195,195,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,NS,1000,855,855,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,RS,100,100,100,0,0,0,0,-1.6605874407105147e-07,0.0,9.739771485328661e-07,3.45457228831947e-06,-2.1403655409812927e-05,3.795139491558075e-06
6,PS,200,195,195,0,0,0,0,2.9742979677394034e-07,1.5918631106615067e-06,0.00038433969020843493,0.0006019067764282225,-0.0008821487426757812,0.0006861686706542969
6,NS,1000,802,802,0,0,0,0,3.0452338978648183e-07,9.5367431640625e-07,0.00013565421104431142,0.0003052473068237304,-0.0006400346755981445,0.0005202293395996094
7,RS,100,100,100,0,0,0,0,-3.4611366572789847e-09,0.0,9.495299309492111e-07,2.167439088225382e-06,-1.1749565601348877e-05,5.511566996574402e-06
7,PS,200,195,195,0,0,0,0,1.1452226171968505e-05,5.912734195590019e-07,0.00016806721687316866,0.0003483438491821278,-0.0005655288696289062,0.0010933876037597656
7,NS,1000,852,852,0,0,0,0,5.017279181629419e-06,1.6335397958755493e-06,7.643699645996081e-05,0.00015528917312622063,-0.0004286766052246094,0.0005712509155273438
8,RS,100,100,100,0,0,0,0,-1.356136635877192e-08,0.0,8.397590136155482e-07,3.4459214657545155e-06,-3.205612301826477e-06,4.73950058221817e-06
8,PS,200,196,196,0,0,0,0,2.967580803669989e-05,5.313195288181305e-07,0.00038764476776123017,0.000978695154190063,-0.000972747802734375,0.0011076927185058594
8,NS,1000,833,833,0,0,0,0,-9.492519777268171e-06,-4.3958425521850586e-07,0.00013546943664550777,0.0002829694747924803,-0.0016565322875976562,0.0007190704345703125
9,RS,100,100,100,0,0,0,0,-5.746987881138921e-09,1.1909287422895432e-07,9.586103260517118e-07,1.4733220450580357e-06,-6.010755896568298e-06,6.057322025299072e-06
9,PS,200,196,196,0,0,0,0,8.102090214379132e-06,1.1862721294164658e-06,0.0003176689147949218,0.0012899684906005854,-0.0018715858459472656,0.0015265941619873047
9,NS,1000,800,800,0,0,0,0,-7.634784560650587e-06,-1.7397105693817139e-06,0.00011978149414062491,0.0002548360824584955,-0.0012004375457763672,0.0015287399291992188
10,RS,100,100,100,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,PS,200,195,195,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,NS,1000,806,806,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
