reference,prompt,statistic,native_NLL,contract_native_mean_NLL,run_minus_contract_native_mean,Z0_observed_NLL,cell,cell_NLL,gap_cell_minus_native,closure,comparability
OFFICIAL-ALPHAEDIT,rewrite,mean,0.0013624582591364742,0.001156,0.0002064582591364743,0.07540872373981983,Z0-COARSE,0.07540872373981983,0.07404626548068335,0.0,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-ALPHAEDIT,rewrite,mean,0.0013624582591364742,0.001156,0.0002064582591364743,0.07540872373981983,Z1-REFINE,0.011388642331148731,0.010026184072012256,0.864595682078959,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-ALPHAEDIT,rewrite,median,0.0006589506228920072,NOT_APPLICABLE,NOT_APPLICABLE,0.018222185783088207,Z0-COARSE,0.018222185783088207,0.0175632351601962,0.0,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-ALPHAEDIT,rewrite,median,0.0006589506228920072,NOT_APPLICABLE,NOT_APPLICABLE,0.018222185783088207,Z1-REFINE,0.008624684996902943,0.007965734374010935,0.5464540387147017,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-ALPHAEDIT,rewrite,p90,0.0024251237977296115,NOT_APPLICABLE,NOT_APPLICABLE,0.04924485459923745,Z0-COARSE,0.04924485459923745,0.046819730801507836,0.0,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-ALPHAEDIT,rewrite,p90,0.0024251237977296115,NOT_APPLICABLE,NOT_APPLICABLE,0.04924485459923745,Z1-REFINE,0.02485778834670783,0.02243266454897822,0.5208715606657062,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-ALPHAEDIT,rewrite,max,0.028182290494441986,NOT_APPLICABLE,NOT_APPLICABLE,4.83649206161499,Z0-COARSE,4.83649206161499,4.808309771120548,0.0,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-ALPHAEDIT,rewrite,max,0.028182290494441986,NOT_APPLICABLE,NOT_APPLICABLE,4.83649206161499,Z1-REFINE,0.07385782152414322,0.04567553102970123,0.9905007095624255,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-ALPHAEDIT,rephrase,mean,1.1035635590716992,1.09902,0.004543559071699121,1.4248422997939634,Z0-COARSE,1.4248422997939634,0.32127874072226414,0.0,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-ALPHAEDIT,rephrase,mean,1.1035635590716992,1.09902,0.004543559071699121,1.4248422997939634,Z1-REFINE,1.3846419972757575,0.2810784382040583,0.12512593403420302,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-ALPHAEDIT,rephrase,median,0.0643963236361742,NOT_APPLICABLE,NOT_APPLICABLE,0.23764705657958984,Z0-COARSE,0.23764705657958984,0.17325073294341564,0.0,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-ALPHAEDIT,rephrase,median,0.0643963236361742,NOT_APPLICABLE,NOT_APPLICABLE,0.23764705657958984,Z1-REFINE,0.16618631035089493,0.10178998671472073,0.412470094727012,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-ALPHAEDIT,rephrase,p90,3.287929606437681,NOT_APPLICABLE,NOT_APPLICABLE,4.197616434097288,Z0-COARSE,4.197616434097288,0.9096868276596068,0.0,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-ALPHAEDIT,rephrase,p90,3.287929606437681,NOT_APPLICABLE,NOT_APPLICABLE,4.197616434097288,Z1-REFINE,4.586139440536498,1.298209834098817,-0.4270953416339789,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-ALPHAEDIT,rephrase,max,13.755802154541016,NOT_APPLICABLE,NOT_APPLICABLE,12.096726417541504,Z0-COARSE,12.096726417541504,-1.6590757369995117,0.0,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-ALPHAEDIT,rephrase,max,13.755802154541016,NOT_APPLICABLE,NOT_APPLICABLE,12.096726417541504,Z1-REFINE,11.199920654296875,-2.5558815002441406,-0.5405454032294685,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-MEMIT,rewrite,mean,0.0008853422875108663,0.00087,1.5342287510866246e-05,0.07540872373981983,Z0-COARSE,0.07540872373981983,0.07452338145230897,0.0,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-MEMIT,rewrite,mean,0.0008853422875108663,0.00087,1.5342287510866246e-05,0.07540872373981983,Z1-REFINE,0.011388642331148731,0.010503300043637864,0.8590603400040372,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-MEMIT,rewrite,median,0.0005956901586614549,NOT_APPLICABLE,NOT_APPLICABLE,0.018222185783088207,Z0-COARSE,0.018222185783088207,0.017626495624426752,0.0,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-MEMIT,rewrite,median,0.0005956901586614549,NOT_APPLICABLE,NOT_APPLICABLE,0.018222185783088207,Z1-REFINE,0.008624684996902943,0.008028994838241488,0.5444928470571923,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-MEMIT,rewrite,p90,0.001914830610621721,NOT_APPLICABLE,NOT_APPLICABLE,0.04924485459923745,Z0-COARSE,0.04924485459923745,0.04733002398861573,0.0,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-MEMIT,rewrite,p90,0.001914830610621721,NOT_APPLICABLE,NOT_APPLICABLE,0.04924485459923745,Z1-REFINE,0.02485778834670783,0.02294295773608611,0.5152557340430555,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-MEMIT,rewrite,max,0.005451574455946684,NOT_APPLICABLE,NOT_APPLICABLE,4.83649206161499,Z0-COARSE,4.83649206161499,4.8310404871590436,0.0,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-MEMIT,rewrite,max,0.005451574455946684,NOT_APPLICABLE,NOT_APPLICABLE,4.83649206161499,Z1-REFINE,0.07385782152414322,0.06840624706819654,0.9858402662428475,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-MEMIT,rephrase,mean,1.092572417203628,1.09211,0.0004624172036280516,1.4248422997939634,Z0-COARSE,1.4248422997939634,0.3322698825903354,0.0,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-MEMIT,rephrase,mean,1.092572417203628,1.09211,0.0004624172036280516,1.4248422997939634,Z1-REFINE,1.3846419972757575,0.2920695800721296,0.1209868983755289,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-MEMIT,rephrase,median,0.0656396634876728,NOT_APPLICABLE,NOT_APPLICABLE,0.23764705657958984,Z0-COARSE,0.23764705657958984,0.17200739309191704,0.0,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-MEMIT,rephrase,median,0.0656396634876728,NOT_APPLICABLE,NOT_APPLICABLE,0.23764705657958984,Z1-REFINE,0.16618631035089493,0.10054664686322212,0.4154515974235353,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-MEMIT,rephrase,p90,3.515176725387572,NOT_APPLICABLE,NOT_APPLICABLE,4.197616434097288,Z0-COARSE,4.197616434097288,0.6824397087097158,0.0,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-MEMIT,rephrase,p90,3.515176725387572,NOT_APPLICABLE,NOT_APPLICABLE,4.197616434097288,Z1-REFINE,4.586139440536498,1.070962715148926,-0.5693147709323481,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-MEMIT,rephrase,max,13.546902656555176,NOT_APPLICABLE,NOT_APPLICABLE,12.096726417541504,Z0-COARSE,12.096726417541504,-1.4501762390136719,0.0,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
OFFICIAL-MEMIT,rephrase,max,13.546902656555176,NOT_APPLICABLE,NOT_APPLICABLE,12.096726417541504,Z1-REFINE,11.199920654296875,-2.346982002258301,-0.6184115689652905,EXACT_B1_USER_OVERRIDE_NATIVE_RUN
