cell,outer_K,microstep_in_outer,global_field_evaluation,target_time_before,target_time_after,target_dt,entry_target_new_nll,selected_endpoint_target_new_nll,endpoint_minus_entry_nll,primary_count,rescue_count,current_count,clamp_hit_numerator,clamp_denominator,clamp_fraction,pre_clamp_energy,post_clamp_energy,clamp_removed_energy,accepted_energy,unused_energy,target_displacement_norm,z_minus_y_norm,semantic_gradient_norm_mean,semantic_gradient_norm_median,semantic_gradient_norm_p90,preservation_gradient_norm_mean,movement_norm_mean,movement_norm_p90,early_break_count,writer_authority_count,history_append_count
Z0-COARSE,1,1,1,0.0,0.125,0.125,10.393097128868103,7.852427098751068,-2.5406700301170346,100,0,0,0,100,0.0,3688.914497024958,3688.914501189955,-2.6645352591003757e-15,3688.914501189955,-4.1649978270719146e-06,7.592054338655275,0.0,4.717938630523679,4.120069679364242,7.351270182504368,9.668374930995644e-08,0.7213225402826521,1.0600419277481998,0,0,0
Z0-COARSE,2,1,2,0.125,0.25,0.125,7.670198895931244,4.678494029045105,-2.9917048668861392,100,0,0,0,100,0.0,4475.876438316449,4475.876441081979,1.3788969965844444e-13,4475.876441081979,-2.7655297847317684e-06,8.362748913599544,0.3488746818122184,4.451321730695101,4.100730656088752,7.548238379511204,0.07562512857693149,0.7781612309696132,1.2009136797777802,0,0,0
Z0-COARSE,3,1,3,0.25,0.375,0.125,4.746516069769859,1.855227711200714,-2.891288358569145,100,0,0,1,100,0.01,11178.48559532416,11063.846418884212,114.63918419476228,11063.846418884212,114.63917643994915,13.148102535920767,0.41122139123580687,5.029908980583972,4.29254998336472,8.440850847074747,0.10958474134498608,1.1671887980322102,1.9802591073211309,0,0,0
Z0-COARSE,4,1,4,0.375,0.5,0.125,1.941415463835001,0.7624855826608836,-1.1789298811741173,98,1,1,4,100,0.04,8239.181479617488,7219.980070695954,1019.20140915935,6831.117284223858,1408.0641953936308,10.331321675662371,0.6924990469392316,3.508848124344837,2.7996727617780985,6.274124839734933,0.22804332266546917,0.8552857906072265,1.605289966127676,0,0,0
Z0-COARSE,5,1,5,0.5,0.625,0.125,0.811871533729136,0.3642370011471212,-0.4476345325820148,97,2,1,6,100,0.06,6837.62936061949,4452.113812175157,2385.515548852165,3721.8979129368026,3115.7314476826873,7.625919937269164,0.49111193214540405,2.379872602453703,1.3704983721085993,5.657348647104703,0.28346037958673526,0.5290957247943056,1.1173618935701923,0,0,0
Z0-COARSE,6,1,6,0.625,0.75,0.125,0.382894559726119,0.18852242310531436,-0.19437213662080466,98,1,1,6,100,0.06,7126.963825631297,3484.9256485615533,3642.0381808508973,2530.37224618926,4596.591579442039,6.287850693735168,0.38544569826735275,1.2770272580074693,0.6527189511460538,2.4816349665626447,0.21366607207123814,0.3874915649398196,0.7270714005588388,0,0,0
Z0-COARSE,7,1,7,0.75,0.875,0.125,0.1983921307325363,0.14178876620717346,-0.056603364525362854,97,2,1,6,100,0.06,4747.836911355886,2074.0977895686674,2673.739118813335,1062.8588265222124,3684.9780848336736,4.075189463621009,0.318941623222441,0.7775702561649075,0.37885787781804825,1.2757040860339628,0.17412513707528493,0.21055415175561493,0.2559656029803223,0,0,0
Z0-COARSE,8,1,8,0.875,1.0,0.125,0.15136403560638428,0.1121177457133308,-0.03924628989305348,98,1,1,4,100,0.04,10298.293441890051,2451.0302096660726,7847.263226603574,1016.6339396310362,9281.659502259014,3.985587197231279,0.21004499200351107,0.6527639664232399,0.27338305424541337,0.451029436123189,0.1443903303973776,0.20633598592178365,0.1991695324917394,0,0,0
Z1-REFINE,1,1,1,0.0,0.0625,0.0625,10.393097128868103,8.885282073020935,-1.5078150558471677,100,0,0,0,100,0.0,3688.914497024958,3688.9144872847037,-5.129230373768223e-14,3688.9144872847037,9.740254131918036e-06,3.7960271621726847,0.0,4.717938630523679,4.120069679364242,7.351270182504368,9.668374930995644e-08,0.36066126934782344,0.5300209624155171,0,0,0
Z1-REFINE,1,2,2,0.0625,0.125,0.0625,8.885282073020935,7.152663035392761,-1.732619037628174,100,0,0,0,100,0.0,4134.196816971952,4134.196824168584,-8.060219158778636e-14,4134.196824168584,-7.196631595984826e-06,4.018607513107668,3.7960271621726847,4.592505805475347,4.007107670241909,7.698814154827617,0.058131860377701704,0.37887066200979613,0.5693022444201009,0,0,0
