cell,outer_K,endpoint,prompt,nll_prompt_denominator,target_new_mean,target_new_median,target_new_p90,target_new_min,target_new_max,target_true_mean,target_true_median,target_true_p90,target_true_min,target_true_max,recorded_margin_definition,margin_mean,margin_median,margin_p90,margin_min,margin_max,success_numerator,success_denominator,success_rate,strict_success_numerator,strict_success_denominator,strict_success_rate,accuracy_numerator,accuracy_denominator,accuracy_rate,strict_accuracy_numerator,strict_accuracy_denominator,strict_accuracy_rate
Z0-COARSE,1,accepted_z,rewrite,100,8.171930253505707,7.834707736968994,14.006475162506103,1.3358944654464722,15.684273719787598,4.935172711499035,4.304587364196777,9.454107570648196,0.05690038576722145,14.047650337219238,target_new_minus_target_true,3.2367575420066714,3.586673617362976,8.633402967453003,-8.389469146728516,12.984728574752808,21,100,0.21,21,100,0.21,3,100,0.03,3,100,0.03
Z0-COARSE,1,accepted_z,rephrase,200,8.136111920177937,7.9708216190338135,13.31981735229492,0.4094279408454895,17.740169525146484,5.126284945104271,4.520711421966553,9.812738895416258,0.024851445108652115,16.98750114440918,target_new_minus_target_true,3.0098269750736653,3.081243872642517,8.378443253040313,-9.912249565124512,14.369615390896797,45,200,0.225,18,100,0.18,6,200,0.03,1,100,0.01
Z0-COARSE,1,pre_writer_W,rewrite,100,11.102700135707856,10.909380435943604,16.596692085266113,2.1197845935821533,20.853912353515625,4.942956887828186,4.157355785369873,10.377379322052006,0.007695670239627361,15.270689010620117,target_new_minus_target_true,6.159743247879669,6.899131938815117,11.834988164901736,-7.191751480102539,15.975612163543701,13,100,0.13,13,100,0.13,0,100,0.0,0,100,0.0
Z0-COARSE,1,pre_writer_W,rephrase,200,9.821012883782387,9.670491218566895,14.684753894805908,0.9807385206222534,20.9183349609375,5.002350515811704,4.228675365447998,9.832116699218748,0.01180661004036665,18.113306045532227,target_new_minus_target_true,4.818662367970683,5.106225490570068,10.252936124801636,-8.869389057159424,16.52924680709839,28,200,0.14,8,100,0.08,1,200,0.005,0,100,0.0
Z0-COARSE,1,post_writer_W,rewrite,100,7.807550810575485,7.488667011260986,12.929602622985843,1.4071696996688843,15.311251640319824,4.921055465117097,4.330883026123047,9.25837917327881,0.07344518601894379,13.848173141479492,target_new_minus_target_true,2.886495345458388,3.3261905312538147,7.8292349100112935,-8.476344108581543,12.299646258354187,22,100,0.22,22,100,0.22,3,100,0.03,3,100,0.03
Z0-COARSE,1,post_writer_W,rephrase,200,8.203331907093524,8.009252309799194,12.928995323181152,0.5355597138404846,17.472187042236328,5.232003713632002,4.513468980789185,10.18716926574707,0.01740831322968006,18.060651779174805,target_new_minus_target_true,2.9713281934615225,3.321319580078125,8.434983932971955,-9.559085130691528,13.887220591306686,47,200,0.235,16,100,0.16,5,200,0.025,0,100,0.0
Z0-COARSE,4,accepted_z,rewrite,100,0.670624213728588,0.27607862651348114,1.221520853042603,0.0023736178409308195,7.55827522277832,8.649075243473053,8.371925354003906,12.097707557678225,2.9414689540863037,19.905412673950195,target_new_minus_target_true,-7.978451029744465,-8.028207868337631,-3.4381858825683578,-19.836368657648563,1.117995262145996,99,100,0.99,99,100,0.99,88,100,0.88,88,100,0.88
Z0-COARSE,4,accepted_z,rephrase,200,2.1711484952154567,1.0791398882865906,5.791177749633789,0.006354839541018009,12.471619606018066,8.278200596272946,8.335078716278076,11.984286499023437,0.7167711853981018,18.51382827758789,target_new_minus_target_true,-6.107052101057488,-6.5934871435165405,-1.656781408190728,-17.03892296552658,11.754848420619965,191,200,0.955,93,100,0.93,103,200,0.515,35,100,0.35
Z0-COARSE,4,pre_writer_W,rewrite,100,1.70120083283633,1.1765391826629639,3.855941128730774,0.012120995670557022,8.98576831817627,7.270421602725983,6.706617593765259,11.206084251403809,2.173858880996704,16.103473663330078,target_new_minus_target_true,-5.569220769889653,-5.119049787521362,-1.8220842242240902,-15.307926952838898,4.142766714096069,97,100,0.97,97,100,0.97,50,100,0.5,50,100,0.5
Z0-COARSE,4,pre_writer_W,rephrase,200,3.6538774926029145,2.893920660018921,7.295667123794555,0.059939537197351456,15.215046882629395,6.695571293421089,6.540796756744385,11.22025966644287,0.08443235605955124,16.881589889526367,target_new_minus_target_true,-3.041693800818175,-3.1575751304626465,1.2131563186645502,-12.27094841003418,13.052555561065674,160,200,0.8,69,100,0.69,57,200,0.285,15,100,0.15
Z0-COARSE,4,post_writer_W,rewrite,100,0.6617642008676193,0.25792236626148224,1.1476056814193734,0.002819255692884326,7.35329008102417,8.647453100681306,8.433279514312744,12.083380508422852,2.8760299682617188,19.722272872924805,target_new_minus_target_true,-7.9856888998136855,-8.040999978780746,-3.3128389060497274,-19.652412347495556,1.6544132232666016,99,100,0.99,99,100,0.99,89,100,0.89,89,100,0.89
Z0-COARSE,4,post_writer_W,rephrase,200,2.820653917773161,1.7771304249763489,6.490836524963378,0.0064575341530144215,14.501943588256836,7.310517653692513,7.313603162765503,11.683566665649415,0.048469338566064835,16.846866607666016,target_new_minus_target_true,-4.489863735919353,-4.969535827636719,0.40709142684936456,-16.598117768764496,13.019202709197998,177,200,0.885,80,100,0.8,83,200,0.415,24,100,0.24
Z0-COARSE,8,accepted_z,rewrite,100,0.07540872373981983,0.018222185783088207,0.04924485459923745,8.34430247778073e-05,4.83649206161499,11.69076630115509,11.097914218902588,16.204022598266608,4.252441883087158,21.001537322998047,target_new_minus_target_true,-11.61535757741527,-11.089815952349454,-6.965187170077115,-21.000509671051987,-3.0052404403686523,100,100,1.0,100,100,1.0,99,100,0.99,99,100,0.99
Z0-COARSE,8,accepted_z,rephrase,200,1.4248422997939634,0.23764705657958984,4.197616434097288,0.0013393727131187916,12.096726417541504,9.867747112214566,9.931493282318115,14.042744064331055,0.6054968237876892,19.408241271972656,target_new_minus_target_true,-8.442904812420602,-8.310094172484241,-3.364375400543213,-19.405280209844932,11.491229593753815,195,200,0.975,96,100,0.96,138,200,0.69,52,100,0.52
Z0-COARSE,8,pre_writer_W,rewrite,100,0.13095953376883698,0.028061851859092712,0.08069567382335664,9.238292841473594e-05,4.8386993408203125,11.133202469348907,10.699735164642334,15.955651664733892,3.890345811843872,20.355907440185547,target_new_minus_target_true,-11.002242935580071,-10.67910129437223,-6.495763808861374,-20.304443459957838,-0.29651355743408203,100,100,1.0,100,100,1.0,98,100,0.98,98,100,0.98
Z0-COARSE,8,pre_writer_W,rephrase,200,2.2056745506142033,0.8695435523986816,5.839013242721556,0.0018128404626622796,14.352596282958984,8.096045169364661,7.950423002243042,12.634098148345945,0.053453367203474045,19.18488883972168,target_new_minus_target_true,-5.890370618750458,-5.9842474311590195,-0.5399293661117555,-19.17059364542365,13.72592407464981,185,200,0.925,87,100,0.87,112,200,0.56,38,100,0.38
Z0-COARSE,8,post_writer_W,rewrite,100,0.07971616418624762,0.01796234678477049,0.049609323590993896,8.284702198579907e-05,4.830842018127441,11.66718198299408,11.110612869262695,16.274005126953128,4.220135688781738,21.049985885620117,target_new_minus_target_true,-11.587465818807832,-11.102500236127526,-7.0008315177634355,-21.048969785217196,-3.0142135620117188,100,100,1.0,100,100,1.0,99,100,0.99,99,100,0.99
Z0-COARSE,8,post_writer_W,rephrase,200,2.138524373246473,0.784661054611206,5.717817354202268,0.0015125750796869397,14.977410316467285,8.29707577329129,8.183979034423828,13.000979328155516,0.05269787460565567,20.078678131103516,target_new_minus_target_true,-6.158551400044817,-6.2614932637661695,-0.7652336120605481,-20.069612592458725,13.574369549751282,185,200,0.925,87,100,0.87,116,200,0.58,39,100,0.39
Z1-REFINE,1,accepted_z,rewrite,100,7.447816557884217,7.362201929092407,12.324613094329841,1.2303197383880615,14.7185640335083,4.6839336759597066,4.181965351104736,8.93959436416626,0.08032088726758957,13.705677032470703,target_new_minus_target_true,2.76388288192451,2.6360384225845337,7.853588575869799,-8.516139030456543,12.710100710391998,22,100,0.22,22,100,0.22,5,100,0.05,5,100,0.05
Z1-REFINE,1,accepted_z,rephrase,200,7.685157050043345,7.643133163452148,12.631503009796141,0.3416038453578949,17.183191299438477,4.978069533519447,4.3506739139556885,9.52559289932251,0.026342712342739105,16.773122787475586,target_new_minus_target_true,2.7070875165238975,2.643131196498871,7.903843894600867,-9.848101139068604,14.380134344100952,46,200,0.23,19,100,0.19,7,200,0.035,1,100,0.01
Z1-REFINE,1,pre_writer_W,rewrite,100,11.102700135707856,10.909380435943604,16.596692085266113,2.1197845935821533,20.853912353515625,4.942956887828186,4.157355785369873,10.377379322052006,0.007695670239627361,15.270689010620117,target_new_minus_target_true,6.159743247879669,6.899131938815117,11.834988164901736,-7.191751480102539,15.975612163543701,13,100,0.13,13,100,0.13,0,100,0.0,0,100,0.0
