batch_index,sequential_minus_independent_z_rewrite_target_new_nll_mean,sequential_minus_independent_z_rephrase_target_new_nll_mean,sequential_minus_independent_W_rewrite_target_new_nll_mean,sequential_minus_independent_W_rephrase_target_new_nll_mean
1,0.0,0.0,0.0,0.0
2,-0.052469576407061146,0.017802543070793098,-0.05434489598523214,0.2816970216602568
3,-0.05863909974213129,0.024226471407382766,-0.06319701125579741,0.4217529864658718
4,-0.03266203943972869,0.07721691759976235,-0.03389757726949028,0.3811787792788164
5,-0.006162648633653589,-0.08535567322885962,-0.006496884569078248,0.31859845321516334
6,-0.045821106875487204,-0.0965791314610489,-0.0480058175269869,0.63010383795292
7,-0.011748445775492656,0.019129518842673887,-0.011404249360352878,0.4897724072181153
8,-0.01305877704716295,-0.17525875550933967,-0.012681513647648898,0.19277313331818702
9,-0.003560482944349132,-0.10697697276456886,-0.005302121901177086,0.26016136790879507
10,-0.051381789398237745,0.07020526492934542,-0.054499797030584884,0.8018347171332971
