method,scope,total_or_sum_seconds,case_or_batch_seconds_mean,target_seconds_mean,writer_seconds_mean,field_evaluation_count,writer_call_count,layer_apply_count,model_forward_count,ratio_to_FZ_matching_scope
P1R54-FZ,ONE_SEQUENTIAL_JOB_POST_MODEL_PREFLIGHT,11918.2667542696,1151.217562929634,NOT_SEPARATELY_RECORDED,45.62727643182734,80,80,400,RECORDED_IN_JOB_LEDGER_SEPARATE,1.0
OFFICIAL-ALPHAEDIT-CACHE,JOB_TOTAL_INCLUDES_SETUP_MODEL_LOAD_EVALUATOR,14890.526,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_IN_PINNED_V5_PACKAGE,NOT_RECORDED_IN_PINNED_V5_PACKAGE,NOT_RECORDED_IN_PINNED_V5_PACKAGE,NOT_RECORDED_IN_PINNED_V5_PACKAGE,NOT_COMPARABLE_TIMER_SCOPE
OFFICIAL-MEMIT,JOB_TOTAL_INCLUDES_SETUP_MODEL_LOAD_EVALUATOR,13845.522,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED_IN_PINNED_V5_PACKAGE,NOT_RECORDED_IN_PINNED_V5_PACKAGE,NOT_RECORDED_IN_PINNED_V5_PACKAGE,NOT_RECORDED_IN_PINNED_V5_PACKAGE,NOT_COMPARABLE_TIMER_SCOPE
