method,final_W_Eff,final_W_Gen,final_W_Gen_strict,final_W_Loc,z_rewrite_new_mean,z_rewrite_new_median,z_rewrite_new_p90,z_rephrase_new_mean,z_rephrase_new_median,z_rephrase_new_p90,post_W_rewrite_new_mean,post_W_rewrite_new_median,post_W_rewrite_new_p90,post_W_rephrase_new_mean,post_W_rephrase_new_median,post_W_rephrase_new_p90
Official AlphaEdit-cache,0.994,0.967,0.943,0.781,0.0013915438221733893,0.0007433511782437563,0.0033570146188139915,0.7976907307744578,0.06925876706372947,2.721581995487213,0.0014925836953384533,0.0008041276014409959,0.003581777447834611,1.1592758414183608,0.2907789424061775,3.3864146806299686
Native MEMIT,0.954,0.9035,0.861,0.7239,0.002096798793733342,0.000902960222447291,0.004588788375258446,0.7717991034221341,0.0817473437928129,2.6468722596764565,0.07658723756304425,0.003204451175406575,0.022911004722118378,1.6781503709262944,0.6032406305894256,4.716974973678589
P1R54 FZ-SEQUENTIAL,1.0,0.8495,0.756,0.8453,0.008817008990365138,0.0006174922455102205,0.004827629309147596,1.2650328017407673,0.06551201641559601,4.6607537269592285,0.008849255667660145,0.0006179092160891742,0.0048966724425554276,2.343741464740332,0.6284839510917664,7.347599029541016
