alias,case_index,depth,eff_margin,eff_nll_new,gen_margin_mean,gen_nll_new_max,gen_nll_new_mean,request_index,request_sha256,target_nll_ge_0_05,terminal_full_six_target_new_nll
llama3-8b-inst,3,IL1,11.409912109375,0.027587890625,8.8837890625,2.4375,1.4287109375,5,472026d0a81e0abea282876d5064eede5f410d0102c44d94d070ebf92420c771,False,0.029288500547409058
llama3-8b-inst,3,IL1,12.482902526855469,0.07959747314453125,5.449161529541016,3.96759033203125,2.9414634704589844,6,34da1f2e8dc9670ec41d7784fa8d025678bc1009ebfcc9577823787902857e92,True,0.09267455339431763
llama3-8b-inst,3,IL1,6.81982421875,0.05517578125,3.9140625,11.375,6.8046875,7,9a6dd76f564eabe6d772c906c071d9d837193dc7543a04dc4a666f2c4bfaf5fc,True,0.05461621284484863
llama3-8b-inst,3,IL1,6.3189697265625,0.0247802734375,3.19677734375,0.40234375,0.31884765625,8,c36d70eb53ba78389390e289afb5dd9f925d5772a413bd1a75bd67a4b4a12428,False,0.045138537883758545
llama3-8b-inst,3,IL1,6.860107421875,0.046142578125,6.279052734375,0.1865234375,0.111572265625,9,63e9e046e3468bc2aaa15480bfe629a10c7ed43491d17ef3a0eceed9d49c6365,False,0.019222404807806015
llama3-8b-inst,4,IL1,6.994354248046875,0.005645751953125,5.7137451171875,0.058349609375,0.0518798828125,0,94bd4b37a5d07ad36fd1f8d54bbc8b2908a74560edcbbcfa2e8cd869eebaf856,False,0.012721660546958447
llama3-8b-inst,4,IL1,10.55426025390625,0.00823974609375,7.4713134765625,0.10205078125,0.0755615234375,1,53a3ee42de862f325a85838efdb208f2f0d6da19694bc8ccc8241fd530598eea,False,0.00540093844756484
llama3-8b-inst,4,IL1,11.86785888671875,0.00714111328125,9.95611572265625,0.01806640625,0.01263427734375,2,569f1a97c3971140f8e826932006d0d697bae8da7872d2105db2e6eab60839d6,False,0.009056109935045242
llama3-8b-inst,4,IL1,10.748390197753906,0.00160980224609375,6.990509033203125,0.07177734375,0.040740966796875,3,93140396d3eb2d8f451a94d46170ab2af2e1f02d91529583cd73ad449bfb207e,False,0.009296762757003307
llama3-8b-inst,4,IL1,7.73834228515625,0.01165771484375,5.93359375,4.8125,3.06640625,4,e558da6313163140b0e184e8308f584bc1635823d3d2f9b3340fe9126e729a14,False,0.01776355318725109
llama3-8b-inst,4,IL1,6.3865966796875,0.0196533203125,4.960205078125,0.482421875,0.281982421875,5,7412f9b677bdd6da6ceaf7b352a8013e66884fca96673ccdef4c91ded318ed24,False,0.00573724415153265
llama3-8b-inst,4,IL1,12.9127197265625,0.0247802734375,-13.615234375,17.25,14.6875,6,23c1238dd9069718d334ae7f722280560776c5e930ea2fdbe0f4b20ca542081e,False,0.02044377475976944
llama3-8b-inst,4,IL1,13.059738159179688,0.0027618408203125,2.0625,4.625,4.390625,7,35bf1daae2dea57e75a545d92be2a5b950f31eba85989d792f9f262e54660b84,False,0.014346608892083168
llama3-8b-inst,4,IL1,11.359375,0.015625,9.07220458984375,0.2001953125,0.11529541015625,8,82e5ab0c97a6d3bf7b7c62e0fd42a5e8a875b906ce593c077f599ad5435d28ea,False,0.009090887382626534
llama3-8b-inst,4,IL1,9.8077392578125,0.0047607421875,8.607269287109375,0.028076171875,0.017730712890625,9,eca5f60936dfc2d99bd2d8d8059966c1e2abd050a28822126da716e6255c6720,False,0.006909102201461792
llama3-8b-inst,5,IL1,12.826416015625,0.048583984375,10.5439453125,0.169921875,0.1123046875,0,c26d9f7b75c14056267c2567ba556e5b76ebfdac6a2231a6d3f1fc8bfa91ec2d,True,0.053822096437215805
llama3-8b-inst,5,IL1,5.8636474609375,0.0113525390625,2.625,6.71875,3.484375,1,a61a8732e7087bac9df081e4cfb0319a07f61ccb3987494c7f24ded194e18d42,False,0.023034190759062767
llama3-8b-inst,5,IL1,10.677734375,0.009765625,4.5380859375,0.43359375,0.3369140625,2,c95165b3bb5e2754faaa370e60fd0e96d24767b8eda1af67c1f801d7f4671c79,False,0.010222949087619781
