alias,case_count,case_net_target_displacement_mean,clamp_hit_count,clamp_slot_count,current_selection_count,depth,eff_margin_mean,eff_nll_new_mean,gen_margin_mean,gen_nll_new_mean,inner_target_path_length_mean,kl_backward_count,kl_forward_count,outer_target_path_length_mean,reference_energy_nonfinite_count,request_count,request_nll_ge_0_05_count,request_nll_max,request_nll_mean,request_nll_median,request_nll_p90,selection_slot_count,semantic_backward_count,semantic_forward_count,target_wall_seconds_mean,terminal_full_six_nll_mean,total_wall_seconds_mean,z_eff_denominator,z_eff_numerator,z_gen_denominator,z_gen_numerator
llama3-8b-inst,10,8.339212305471765,40,800,3,IL1,11.28391176700592,0.029525909423828125,7.356906509399414,1.6791249465942384,17.90888419843683,400,450,17.90888419843683,0,100,24,0.25246375799179077,0.03767550980555825,0.028168351389467716,0.06913631781935692,800,400,450,31.741864705272018,0.03767550980555825,42.49206045055762,100,100,200,197
llama3-8b-inst,10,8.490684582189264,70,2400,95,IL3-FULL,12.951777811050414,0.005409812927246094,8.17056266784668,1.5520115280151368,19.135353134381017,1200,1250,13.496327771318766,0,100,0,0.02943245880305767,0.006162852111738175,0.00462185381911695,0.010542870871722704,2400,1200,1250,55.707646766025576,0.006162852111738175,66.10284525821916,100,100,200,195
qwen2.5-7b-inst,10,86.90665985624541,0,800,28,IL1,10.360497093200683,0.5389021682739258,5.420660085678101,3.2700283908843994,191.3934257986368,400,450,191.3934257986368,0,100,34,11.47606086730957,0.45850229897070677,0.031609414145350456,0.22253090590238966,800,400,450,31.75893479185179,0.45850229897070677,42.51587363416329,100,97,200,170
qwen2.5-7b-inst,10,89.38158298629926,0,2400,289,IL3-FULL,12.499584560394288,0.3375452613830566,5.939266879558563,3.047193081378937,210.9147648030489,1200,1250,139.55501177825508,0,100,6,11.47606086730957,0.31514329655445183,0.004521997878327966,0.009605281334370377,2400,1200,1250,55.219158484833315,0.31514329655445183,66.36710120178759,100,97,200,172
