arm,first_fit_seconds,second_fit_seconds,materialization_seconds,finalization_seconds,evaluation_seconds,policy_instrumented_online_seconds,model_load_seconds,program_seconds,allocated_gpu_seconds,allocated_GPUh,loss_evaluations,adam_updates,early_stop_requests,request_z,fit_solve,peak_allocated_bytes,peak_reserved_bytes,max_host_rss_KiB,pure_writer_seconds,snapshot_IO_seconds,current_M8_reconstruction,online_ratio_N4,allocated_ratio_N4,reference_1_5x,reference_2x
N4,2908.9884499795735,0.0,6.919557264074683,133.00292829982936,1667.1237003495917,3048.9109355434775,23.03541532997042,5181.494775203057,5237,1.4547222222222222,25000,24000,0,1000,10,35710382592,37497077760,38041400,NOT_SEPARATED,NOT_SEPARATELY_RECORDED,0,1.0,1.0,WITHIN_REFERENCE,WITHIN_REFERENCE
RES8,2923.464830627665,553.94496924337,7.805161965079606,260.0811765966937,1660.3159269029275,3745.296138432808,17.082611612044275,5902.504465969279,5953,1.6536111111111111,29366,27366,863,2000,20,35710382592,37497077760,37262076,NOT_SEPARATED,NOT_SEPARATELY_RECORDED,0,1.2284045738335738,1.136719495894596,WITHIN_REFERENCE,WITHIN_REFERENCE
S875,2936.1872422099113,0.0,8.481759952381253,141.9049920514226,1685.41962819919,3086.573994213715,13.643249657005072,5265.334493543021,5327,1.4797222222222222,25000,24000,0,1000,10,35710382592,37497077760,37373360,NOT_SEPARATED,NOT_SEPARATELY_RECORDED,0,1.012352954699716,1.0171854114951309,WITHIN_REFERENCE,WITHIN_REFERENCE
S75,2929.6483683418483,0.0,8.022768257185817,134.46372159011662,1679.1284754713997,3072.1348581891507,14.016145121306181,5213.192048221827,5275,1.4652777777777777,25000,24000,0,1000,10,35710382592,37497077760,35121204,NOT_SEPARATED,NOT_SEPARATELY_RECORDED,0,1.0076171207151163,1.0072560626312774,WITHIN_REFERENCE,WITHIN_REFERENCE
FULL8,2898.9284563763067,321.8787136981264,5.956227344460785,243.1330395443365,1658.8502721823752,3469.8964369632304,14.165998589247465,5607.704623479396,5656,1.5711111111111111,27122,25122,955,2000,20,35710382592,37497077760,35169140,NOT_SEPARATED,NOT_SEPARATELY_RECORDED,0,1.1380773365702501,1.0800076379606645,WITHIN_REFERENCE,WITHIN_REFERENCE
REFIT4,2955.828556912951,614.9083889937028,8.872669827193022,147.91620298661292,1694.2562718959525,3727.52581872046,13.813768154010177,5964.451480297372,6027,1.6741666666666666,29525,27525,854,2000,20,35710382592,37497077760,36370320,NOT_SEPARATED,NOT_SEPARATELY_RECORDED,0,1.2225761583475108,1.1508497231239259,WITHIN_REFERENCE,WITHIN_REFERENCE
