arm,population,metric,prompt_denominator,request_denominator,before_numerator,after_numerator,lost,gained,retained,failed_both,delta_numerator,delta_pp,conditional_loss_rate,conditional_gain_rate,before_ties,after_ties,order_sha256,transition_sha256,new_strict_delta_numerator,true_strict_delta_numerator,new_nll_delta_n,new_nll_delta_mean,new_nll_delta_median,new_nll_delta_q25,new_nll_delta_q75,new_nll_delta_iqr,new_nll_delta_p90,new_nll_delta_p95,new_nll_delta_p99,new_nll_delta_min,new_nll_delta_max,true_nll_delta_n,true_nll_delta_mean,true_nll_delta_median,true_nll_delta_q25,true_nll_delta_q75,true_nll_delta_iqr,true_nll_delta_p90,true_nll_delta_p95,true_nll_delta_p99,true_nll_delta_min,true_nll_delta_max,desired_margin_delta_n,desired_margin_delta_mean,desired_margin_delta_median,desired_margin_delta_q25,desired_margin_delta_q75,desired_margin_delta_iqr,desired_margin_delta_p90,desired_margin_delta_p95,desired_margin_delta_p99,desired_margin_delta_min,desired_margin_delta_max,old_source,new_source
RES8,historical,PS,256,128,249,249,0,0,249,7,0,0.0,0.0,0.0,0,0,ad04e4c9165dc2968762f1be57e56ecd3200a794a6f9119060043ed6ae660483,b7350879af6b818150c2f6c8df3ef067d6a1a6fbc2b2142eb693312f6f34db57,0,0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
RES8,historical,NS,1280,128,885,885,0,0,885,395,0,0.0,0.0,0.0,0,0,44ffffbda00cae6fb736e66766f9335f3770a75bc0424d960da4e3f3546df901,4de54e7c25ae9fffae368c7db86c2a80b44140dc6fb565266e70251e239f2ccb,0,0,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
S875,current,RS,100,100,100,100,0,0,100,0,0,0.0,0.0,,0,0,037ac4c321813f6b1a964a42b9567a98c85645bd6a744769d43309f24dcc173a,c67806d7b41c28e3914a4c29af0ff8d6f00e320fa86878932705a91cfed036a4,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
S875,current,PS,200,100,196,196,0,0,196,4,0,0.0,0.0,0.0,0,0,de9d62eaaf6dec137fc9195724c4b9b5176d83f7b754ab72ab42dead5cd0ed05,e9fb81521b7503e61385b8fc76cff9abcacbce9c62960d05eee605b8fed581dc,0,0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
S875,current,NS,1000,100,714,714,0,0,714,286,0,0.0,0.0,0.0,0,0,a75f459260d92004515cf2573e74e6852bb290b05ea8fd488ae685c0a086cc96,3b516f1b67988a1d170b50c64d7757e42c95cff24269bb3abce0f12ad53195af,0,0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
S875,historical,RS,128,128,128,128,0,0,128,0,0,0.0,0.0,,0,0,49c3aa0410faa279cb4105f46dcb5a374a2ad1820e8bd1fae9da17f1739f4d01,6936c17f7c26ce59960583a645f3a580781f31026b409c0bee8aeb0b32400c82,0,0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
S875,historical,PS,256,128,250,250,0,0,250,6,0,0.0,0.0,0.0,0,0,ad04e4c9165dc2968762f1be57e56ecd3200a794a6f9119060043ed6ae660483,0a00c43572f1aa54a7bd564ee4ff30108a0fb9365f56f9f7f22fd300b2d431bb,0,0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
S875,historical,NS,1280,128,883,883,0,0,883,397,0,0.0,0.0,0.0,0,0,44ffffbda00cae6fb736e66766f9335f3770a75bc0424d960da4e3f3546df901,9fa64e3bef2901307a36859a36f5e75da57f3c746bed1213c5eddbdda9f42be8,0,0,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
S75,current,RS,100,100,100,100,0,0,100,0,0,0.0,0.0,,0,0,037ac4c321813f6b1a964a42b9567a98c85645bd6a744769d43309f24dcc173a,c67806d7b41c28e3914a4c29af0ff8d6f00e320fa86878932705a91cfed036a4,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
S75,current,PS,200,100,195,195,0,0,195,5,0,0.0,0.0,0.0,0,0,de9d62eaaf6dec137fc9195724c4b9b5176d83f7b754ab72ab42dead5cd0ed05,f6a5b3dc7197b24d21c2eec46331f34916c64d441815a4b7f267c52449eeba34,0,0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
S75,current,NS,1000,100,718,718,0,0,718,282,0,0.0,0.0,0.0,0,0,a75f459260d92004515cf2573e74e6852bb290b05ea8fd488ae685c0a086cc96,c851ada11f6186725af328d7002fa77d446b0aa8ee9ffc271f0a94e82be35b96,0,0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
S75,historical,RS,128,128,128,128,0,0,128,0,0,0.0,0.0,,0,0,49c3aa0410faa279cb4105f46dcb5a374a2ad1820e8bd1fae9da17f1739f4d01,6936c17f7c26ce59960583a645f3a580781f31026b409c0bee8aeb0b32400c82,0,0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
S75,historical,PS,256,128,250,250,0,0,250,6,0,0.0,0.0,0.0,0,0,ad04e4c9165dc2968762f1be57e56ecd3200a794a6f9119060043ed6ae660483,0a00c43572f1aa54a7bd564ee4ff30108a0fb9365f56f9f7f22fd300b2d431bb,0,0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
S75,historical,NS,1280,128,883,883,0,0,883,397,0,0.0,0.0,0.0,0,0,44ffffbda00cae6fb736e66766f9335f3770a75bc0424d960da4e3f3546df901,9b69e7ca8a6f71b01c3222b822791e8fd42f4462bacaf2787241d0078d4f16d6,0,0,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
FULL8,current,RS,100,100,100,100,0,0,100,0,0,0.0,0.0,,0,0,037ac4c321813f6b1a964a42b9567a98c85645bd6a744769d43309f24dcc173a,c67806d7b41c28e3914a4c29af0ff8d6f00e320fa86878932705a91cfed036a4,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
FULL8,current,PS,200,100,199,199,0,0,199,1,0,0.0,0.0,0.0,0,0,de9d62eaaf6dec137fc9195724c4b9b5176d83f7b754ab72ab42dead5cd0ed05,eb1ed5569fad830311003242dcdab7cd5dfdaf641bdf2342900c8b20c3ee0a3f,0,0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
FULL8,current,NS,1000,100,709,709,0,0,709,291,0,0.0,0.0,0.0,0,0,a75f459260d92004515cf2573e74e6852bb290b05ea8fd488ae685c0a086cc96,7d1da0243909a9c617da6111029acb622853cce417263a5d36b19e4c7b25547e,0,0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
FULL8,historical,RS,128,128,128,128,0,0,128,0,0,0.0,0.0,,0,0,49c3aa0410faa279cb4105f46dcb5a374a2ad1820e8bd1fae9da17f1739f4d01,6936c17f7c26ce59960583a645f3a580781f31026b409c0bee8aeb0b32400c82,0,0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
FULL8,historical,PS,256,128,250,250,0,0,250,6,0,0.0,0.0,0.0,0,0,ad04e4c9165dc2968762f1be57e56ecd3200a794a6f9119060043ed6ae660483,0a00c43572f1aa54a7bd564ee4ff30108a0fb9365f56f9f7f22fd300b2d431bb,0,0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
FULL8,historical,NS,1280,128,888,888,0,0,888,392,0,0.0,0.0,0.0,0,0,44ffffbda00cae6fb736e66766f9335f3770a75bc0424d960da4e3f3546df901,719de64d6d58cc6535527c7e5e948f7d09a2ff072fc22fb1f1f2d6f5e7e37751,0,0,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
REFIT4,current,RS,100,100,100,100,0,0,100,0,0,0.0,0.0,,0,0,037ac4c321813f6b1a964a42b9567a98c85645bd6a744769d43309f24dcc173a,c67806d7b41c28e3914a4c29af0ff8d6f00e320fa86878932705a91cfed036a4,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
REFIT4,current,PS,200,100,197,197,0,0,197,3,0,0.0,0.0,0.0,0,0,de9d62eaaf6dec137fc9195724c4b9b5176d83f7b754ab72ab42dead5cd0ed05,a3aa56c2234fc5419c092b85f68d20e41996ce8a7764d4dde65c84d9fea6b28e,0,0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
REFIT4,current,NS,1000,100,716,716,0,0,716,284,0,0.0,0.0,0.0,0,0,a75f459260d92004515cf2573e74e6852bb290b05ea8fd488ae685c0a086cc96,f3418cf211a7b38da466a8200df5ae7b91867db1e7e00aa6eec5ff3af142e696,0,0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
REFIT4,historical,RS,128,128,128,128,0,0,128,0,0,0.0,0.0,,0,0,49c3aa0410faa279cb4105f46dcb5a374a2ad1820e8bd1fae9da17f1739f4d01,6936c17f7c26ce59960583a645f3a580781f31026b409c0bee8aeb0b32400c82,0,0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
REFIT4,historical,PS,256,128,250,250,0,0,250,6,0,0.0,0.0,0.0,0,0,ad04e4c9165dc2968762f1be57e56ecd3200a794a6f9119060043ed6ae660483,0a00c43572f1aa54a7bd564ee4ff30108a0fb9365f56f9f7f22fd300b2d431bb,0,0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
REFIT4,historical,NS,1280,128,883,883,0,0,883,397,0,0.0,0.0,0.0,0,0,44ffffbda00cae6fb736e66766f9335f3770a75bc0424d960da4e3f3546df901,32f53dd4b7f945a5983115b930f98d3148a8d77647492c34ccd0e05507f3c565,0,0,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46451,46475
