arm,batch,wiki_nll,wiki_sequences,wiki_tokens,mmlu_correct,mmlu_denominator,mmlu_invalid,mmlu_accuracy,wiki_n,wiki_mean,wiki_median,wiki_q25,wiki_q75,wiki_iqr,wiki_p90,wiki_p95,wiki_p99,wiki_min,wiki_max
N4,51,2.303873211145401,128,24999,19,32,0,0.59375,128,2.303873211145401,2.3413145542144775,1.9826805293560028,2.590317487716675,0.607636958360672,2.9027363300323485,3.0724780797958373,3.1955070543289184,0.7460881471633911,3.51387357711792
N4,52,2.3071295977570117,128,24999,20,32,0,0.625,128,2.3071295977570117,2.3543349504470825,1.9853070676326752,2.5977436304092407,0.6124365627765656,2.914742612838745,3.057649552822113,3.216680111885071,0.745989203453064,3.4669251441955566
N4,53,2.3100108080543578,128,24999,19,32,0,0.59375,128,2.3100108080543578,2.3556829690933228,1.994632214307785,2.6033199429512024,0.6086877286434174,2.926100564002991,3.068162763118744,3.216402304172516,0.7459248900413513,3.4174957275390625
N4,54,2.3172869994305074,128,24999,21,32,0,0.65625,128,2.3172869994305074,2.3632938861846924,1.9868632555007935,2.6063918471336365,0.619528591632843,2.9299107074737547,3.0740703344345093,3.222830882072449,0.7712376713752747,3.532864809036255
N4,55,2.3215633393265307,128,24999,20,32,0,0.625,128,2.3215633393265307,2.361927628517151,1.9958844780921936,2.6175616979599,0.6216772198677063,2.9423595666885376,3.0771973371505736,3.2193750953674316,0.7798245549201965,3.5385284423828125
N4,56,2.3256866736337543,128,24999,19,32,0,0.59375,128,2.3256866736337543,2.368733048439026,2.001350998878479,2.630271255970001,0.6289202570915222,2.942493176460266,3.083458936214447,3.1998523807525636,0.7804430723190308,3.53181791305542
N4,57,2.326885655056685,128,24999,19,32,0,0.59375,128,2.326885655056685,2.3704941272735596,2.002925157546997,2.6177878379821777,0.6148626804351807,2.921434020996094,3.080410635471344,3.2255787444114685,0.7841819524765015,3.5068070888519287
N4,58,2.3284293320029974,128,24999,18,32,0,0.5625,128,2.3284293320029974,2.37219774723053,2.006013363599777,2.6188986897468567,0.6128853261470795,2.9177738189697267,3.0754428267478944,3.2111278700828554,0.7898535132408142,3.446558713912964
N4,59,2.3361343019641936,128,24999,19,32,0,0.59375,128,2.3361343019641936,2.370166778564453,2.0253604650497437,2.6293256878852844,0.6039652228355408,2.952103590965271,3.0958802580833433,3.2489974141120914,0.7934837937355042,3.6144216060638428
N4,60,2.3415367626585066,128,24999,18,32,0,0.5625,128,2.3415367626585066,2.3801991939544678,2.038101851940155,2.624782085418701,0.5866802334785461,2.9466929197311402,3.08601940870285,3.304117398262024,0.8000372052192688,3.6219358444213867
RES8,51,2.303268417250365,128,24999,18,32,0,0.5625,128,2.303268417250365,2.341012120246887,1.9923667013645172,2.586451470851898,0.594084769487381,2.9048608541488647,3.0739993333816527,3.1910886049270633,0.7431008219718933,3.524879217147827
RES8,52,2.305996128823608,128,24999,19,32,0,0.59375,128,2.305996128823608,2.347257971763611,2.0003451108932495,2.592280924320221,0.5919358134269714,2.911517930030823,3.0501641511917112,3.203324937820435,0.7401222586631775,3.4822795391082764
RES8,53,2.308546398766339,128,24999,18,32,0,0.5625,128,2.308546398766339,2.355374813079834,2.0040126144886017,2.601751387119293,0.5977387726306915,2.9229252338409424,3.071523332595825,3.2037325882911682,0.7326363325119019,3.399137258529663
RES8,54,2.3135496475733817,128,24999,19,32,0,0.59375,128,2.3135496475733817,2.3585788011550903,1.9887884855270386,2.6032795310020447,0.6144910454750061,2.9277368545532227,3.0800740003585814,3.2125441241264343,0.7554423213005066,3.473825693130493
RES8,55,2.3171439697034657,128,24999,19,32,0,0.59375,128,2.3171439697034657,2.365370035171509,1.9826066195964813,2.6076536178588867,0.6250469982624054,2.9342636108398437,3.070530009269714,3.236396551132202,0.7611758708953857,3.4960193634033203
RES8,56,2.3220302811823785,128,24999,21,32,0,0.65625,128,2.3220302811823785,2.3616729974746704,1.9890781044960022,2.617913603782654,0.6288354992866516,2.9448721170425416,3.079014074802399,3.2323170518875126,0.762683629989624,3.4693994522094727
RES8,57,2.32338644657284,128,24999,19,32,0,0.59375,128,2.32338644657284,2.3670260906219482,1.9906328916549683,2.613336980342865,0.6227040886878967,2.9371898412704467,3.0582151770591737,3.2378651380538943,0.7681416273117065,3.451124429702759
RES8,58,2.3263992718420923,128,24999,18,32,0,0.5625,128,2.3263992718420923,2.3705323934555054,2.0100753009319305,2.6108299493789673,0.6007546484470367,2.942079997062683,3.0800262331962585,3.2372000765800477,0.7688103318214417,3.447413206100464
RES8,59,2.33044167002663,128,24999,17,32,0,0.53125,128,2.33044167002663,2.3741438388824463,2.0215804874897003,2.6214189529418945,0.5998384654521942,2.9391466856002806,3.103576612472534,3.2607054305076604,0.7678776979446411,3.6123595237731934
RES8,60,2.3358981595374644,128,24999,18,32,0,0.5625,128,2.3358981595374644,2.3789976835250854,2.033200204372406,2.6346517205238342,0.6014515161514282,2.9354618310928347,3.072402477264404,3.302574541568756,0.7814551591873169,3.612691879272461
