before,after,batch,population,denominator,worse,better,unchanged,n,mean,median,q25,q75,iqr,p90,p95,p99,min,max,lost,gained,retained,failed_both,prediction_changed
N4,RES8,51,wiki,128,61,67,0,128,-0.0006047938950359821,-0.0003286600112915039,-0.004486739635467529,0.0026736855506896973,0.0071604251861572266,0.00674701929092407,0.009426844120025634,0.018006124496459983,-0.03060281276702881,0.032137274742126465,,,,,
N4,RES8,51,mmlu,32,,,,,,,,,,,,,,,1,0,18,13,1
N4,RES8,52,wiki,128,53,75,0,128,-0.001133468933403492,-0.0018589496612548828,-0.007727086544036865,0.004237085580825806,0.011964172124862671,0.009519219398498535,0.0155999481678009,0.03515894412994388,-0.0245211124420166,0.056192755699157715,,,,,
N4,RES8,52,mmlu,32,,,,,,,,,,,,,,,2,1,18,11,4
N4,RES8,53,wiki,128,53,75,0,128,-0.0014644092880189419,-0.001856088638305664,-0.008184611797332764,0.008132725954055786,0.01631733775138855,0.014412379264831542,0.019473898410797115,0.04512136459350595,-0.05925726890563965,0.061228275299072266,,,,,
N4,RES8,53,mmlu,32,,,,,,,,,,,,,,,1,0,18,13,1
N4,RES8,54,wiki,128,49,79,0,128,-0.003737351857125759,-0.0030775070190429688,-0.013892948627471924,0.004460334777832031,0.018353283405303955,0.016330814361572264,0.020227313041687008,0.05711896777153025,-0.06864738464355469,0.07570481300354004,,,,,
N4,RES8,54,mmlu,32,,,,,,,,,,,,,,,3,1,18,10,5
N4,RES8,55,wiki,128,50,78,0,128,-0.004419369623064995,-0.0032156705856323242,-0.012347131967544556,0.005729883909225464,0.01807701587677002,0.014840197563171382,0.024811959266662596,0.049257408380508426,-0.12848687171936035,0.0940253734588623,,,,,
N4,RES8,55,mmlu,32,,,,,,,,,,,,,,,2,1,18,11,5
N4,RES8,56,wiki,128,49,79,0,128,-0.003656392451375723,-0.0037826895713806152,-0.0145646333694458,0.007261395454406738,0.02182602882385254,0.016356182098388666,0.03695216774940488,0.0616429960727692,-0.10469484329223633,0.1257789134979248,,,,,
N4,RES8,56,mmlu,32,,,,,,,,,,,,,,,0,2,19,11,4
N4,RES8,57,wiki,128,51,77,0,128,-0.0034992084838449955,-0.005156099796295166,-0.016615182161331177,0.006577253341674805,0.02319243550300598,0.021495568752288818,0.04174437522888179,0.10033066749572758,-0.12846159934997559,0.1347942352294922,,,,,
N4,RES8,57,mmlu,32,,,,,,,,,,,,,,,1,1,18,12,3
