arm,batch,alpha,second_layer,prior_commit_entry_exact,same_order,fresh_fit_counters,fit_history_append,final_history_appends,evaluation_nonmutation_recorded,request_z,solve,entry_sha,endpoint_sha
N4,51,1.0,,True,True,True,0,1,True,100,1,9ac681a5a75c63ab1b8f015882142dedb52f143d97977b04b9d8db56755cd3f5,40137e448cd37db01111b8d1e98032becbba8b64ed03a6a5ed370084866a26b5
N4,52,1.0,,True,True,True,0,1,True,100,1,40137e448cd37db01111b8d1e98032becbba8b64ed03a6a5ed370084866a26b5,6a84b3cb57ebf39a65f552bb9572d19a904b2a505b7b566a345fbc44b15ab0f6
N4,53,1.0,,True,True,True,0,1,True,100,1,6a84b3cb57ebf39a65f552bb9572d19a904b2a505b7b566a345fbc44b15ab0f6,c5cc204e60c4fe92f9d338bf061426c8f0cb21deec7b1901ff03dae5904688ca
N4,54,1.0,,True,True,True,0,1,True,100,1,c5cc204e60c4fe92f9d338bf061426c8f0cb21deec7b1901ff03dae5904688ca,52ccc2fb4f9512b74fcaac71162faff934e3e678c4e1d352ed7f373996c3983d
N4,55,1.0,,True,True,True,0,1,True,100,1,52ccc2fb4f9512b74fcaac71162faff934e3e678c4e1d352ed7f373996c3983d,842aa2da05350cb7f09417227480c536eeaef3e7231936cef81bca497984f785
N4,56,1.0,,True,True,True,0,1,True,100,1,842aa2da05350cb7f09417227480c536eeaef3e7231936cef81bca497984f785,d6142c38b373a30078b53189fc920ce3124074f40d9c0e2548ed94fe75b5d8bc
N4,57,1.0,,True,True,True,0,1,True,100,1,d6142c38b373a30078b53189fc920ce3124074f40d9c0e2548ed94fe75b5d8bc,4e76aa83b620c5205f365186e19b5f227ec6627749e05bbcce0e128aba7f805e
N4,58,1.0,,True,True,True,0,1,True,100,1,4e76aa83b620c5205f365186e19b5f227ec6627749e05bbcce0e128aba7f805e,32266d60df3b981815a82835e0721050158cfcb79c0cb99b25afbbb55796125b
N4,59,1.0,,True,True,True,0,1,True,100,1,32266d60df3b981815a82835e0721050158cfcb79c0cb99b25afbbb55796125b,e8e1bc9a44584c6559a741155b30a9dd591774e5860cda916550edcee5ce6972
N4,60,1.0,,True,True,True,0,1,True,100,1,e8e1bc9a44584c6559a741155b30a9dd591774e5860cda916550edcee5ce6972,91463d926e1f7db86de1198d53573e2c08382952e267193e180c06827836f527
RES8,51,0.75,8,True,True,True,0,2,True,200,2,9ac681a5a75c63ab1b8f015882142dedb52f143d97977b04b9d8db56755cd3f5,239e4aec8805731bf43ee5656ba5fd79f5392a10e2899029f31b7a8c64c91d09
RES8,52,0.75,8,True,True,True,0,2,True,200,2,239e4aec8805731bf43ee5656ba5fd79f5392a10e2899029f31b7a8c64c91d09,f9732454144f325990bf042a8a2a447eb383c5ea672c7bc9ea20258ce94c1fb1
RES8,53,0.75,8,True,True,True,0,2,True,200,2,f9732454144f325990bf042a8a2a447eb383c5ea672c7bc9ea20258ce94c1fb1,1aee1e960e4ad0a13f21854129bc9b5486cb5114d17b56d88d9fada14df4aa99
RES8,54,0.75,8,True,True,True,0,2,True,200,2,1aee1e960e4ad0a13f21854129bc9b5486cb5114d17b56d88d9fada14df4aa99,9c43cfe0fd7a9c4711ecd89d24338222b04b75c5f905ec2e39afd0e5a437ac3f
RES8,55,0.75,8,True,True,True,0,2,True,200,2,9c43cfe0fd7a9c4711ecd89d24338222b04b75c5f905ec2e39afd0e5a437ac3f,f244336c7ada9b20864ee72fe7cf37c5fae13d0b9563c83444c8c2d969b3a272
RES8,56,0.75,8,True,True,True,0,2,True,200,2,f244336c7ada9b20864ee72fe7cf37c5fae13d0b9563c83444c8c2d969b3a272,29cbab8be1413c10f0fcd4c31eda6e66f3542ee658b230b8c1ab43f12c587b23
RES8,57,0.75,8,True,True,True,0,2,True,200,2,29cbab8be1413c10f0fcd4c31eda6e66f3542ee658b230b8c1ab43f12c587b23,ec6a3c0d11af32d266d3ee34d0fc7ebe72031dc7c0e23edbf809f0e2400ad74f
RES8,58,0.75,8,True,True,True,0,2,True,200,2,ec6a3c0d11af32d266d3ee34d0fc7ebe72031dc7c0e23edbf809f0e2400ad74f,43d426d383a8a234b6e10b811e118e11d82a1a2b2e2deab543c17cbd56469e7c
RES8,59,0.75,8,True,True,True,0,2,True,200,2,43d426d383a8a234b6e10b811e118e11d82a1a2b2e2deab543c17cbd56469e7c,99cfcf254455e92b8a67ca8cd631dc5729981fc4e9a2c5d83b5c71eb0db40658
RES8,60,0.75,8,True,True,True,0,2,True,200,2,99cfcf254455e92b8a67ca8cd631dc5729981fc4e9a2c5d83b5c71eb0db40658,7cd01c9f8ce7b3bd6b5715f6202738f6ef3bf24424bb1deea87cfa23b4c1baf9
S875,51,0.875,,True,True,True,0,1,True,100,1,9ac681a5a75c63ab1b8f015882142dedb52f143d97977b04b9d8db56755cd3f5,962d4e80a8d6039db678078d6f7b4b238ebe0ad860c73b5bcd30e2636d4e5388
S875,52,0.875,,True,True,True,0,1,True,100,1,962d4e80a8d6039db678078d6f7b4b238ebe0ad860c73b5bcd30e2636d4e5388,61a8fd1e04d8a3a0931a0017810070e7473c0af1ae735747487393937c76a073
S875,53,0.875,,True,True,True,0,1,True,100,1,61a8fd1e04d8a3a0931a0017810070e7473c0af1ae735747487393937c76a073,6d58eadf009cb109e1bd97558d8129cb4a47cdbb47c57864d860b218189acbb8
S875,54,0.875,,True,True,True,0,1,True,100,1,6d58eadf009cb109e1bd97558d8129cb4a47cdbb47c57864d860b218189acbb8,7c934c8217f70a18807164b0909e2e46690ebf14b6b53759a48efccc7f090be4
S875,55,0.875,,True,True,True,0,1,True,100,1,7c934c8217f70a18807164b0909e2e46690ebf14b6b53759a48efccc7f090be4,32d713681fa339e5ec66bbc90819f6f89eb97f5be589abe360543b9e2578eb55
S875,56,0.875,,True,True,True,0,1,True,100,1,32d713681fa339e5ec66bbc90819f6f89eb97f5be589abe360543b9e2578eb55,84fe5b442a345bc5a28ca8091432924d774abeafdcba85feeaf760f456091388
S875,57,0.875,,True,True,True,0,1,True,100,1,84fe5b442a345bc5a28ca8091432924d774abeafdcba85feeaf760f456091388,c5773507a20e6b22f488694935132e6399776eedf1a9bed7cd83ad5f7bc969ae
S875,58,0.875,,True,True,True,0,1,True,100,1,c5773507a20e6b22f488694935132e6399776eedf1a9bed7cd83ad5f7bc969ae,f8f084b7466a18e131c8fb63ced35455d190db72a25d26acf663dc388d394b80
S875,59,0.875,,True,True,True,0,1,True,100,1,f8f084b7466a18e131c8fb63ced35455d190db72a25d26acf663dc388d394b80,2f19b4f71b33160759d44934b81d6c61f8fe7159e28f4e3e3cffa6a65eaa7a53
S875,60,0.875,,True,True,True,0,1,True,100,1,2f19b4f71b33160759d44934b81d6c61f8fe7159e28f4e3e3cffa6a65eaa7a53,d7f6e04699200a58debdf00e98081bf179671a54f2025cc42efe115b5652e7f6
S75,51,0.75,,True,True,True,0,1,True,100,1,9ac681a5a75c63ab1b8f015882142dedb52f143d97977b04b9d8db56755cd3f5,6c1f5df7647f06b46b6f3cf7c0193a7425c0a57d70d29aba367842fe8a8d375f
S75,52,0.75,,True,True,True,0,1,True,100,1,6c1f5df7647f06b46b6f3cf7c0193a7425c0a57d70d29aba367842fe8a8d375f,42db9154e1582db9e8336af46ce0702a2466c86e4743ea094f124e2ad48929bd
S75,53,0.75,,True,True,True,0,1,True,100,1,42db9154e1582db9e8336af46ce0702a2466c86e4743ea094f124e2ad48929bd,0700614fb9d0f3d5df3aeb871f00c79d914486536e85b59078c93a33661f705c
S75,54,0.75,,True,True,True,0,1,True,100,1,0700614fb9d0f3d5df3aeb871f00c79d914486536e85b59078c93a33661f705c,da13c47003e3f796bad672108698fd8ada49bb0c08460c573deed5e900c90252
S75,55,0.75,,True,True,True,0,1,True,100,1,da13c47003e3f796bad672108698fd8ada49bb0c08460c573deed5e900c90252,2fd8784a09f35143e4e469a5c85a38e10b35d0da77558addf589dccad86b1421
S75,56,0.75,,True,True,True,0,1,True,100,1,2fd8784a09f35143e4e469a5c85a38e10b35d0da77558addf589dccad86b1421,184caf7635d43f95e76f26643630682ed13db32678b6cd6b8cb8d6a94a5a7837
S75,57,0.75,,True,True,True,0,1,True,100,1,184caf7635d43f95e76f26643630682ed13db32678b6cd6b8cb8d6a94a5a7837,8f7402bb7073b6f452488e0a085edfb3e5256dc9e889dc24ad48700bfca3f7b7
S75,58,0.75,,True,True,True,0,1,True,100,1,8f7402bb7073b6f452488e0a085edfb3e5256dc9e889dc24ad48700bfca3f7b7,d75db85da4f7e82b1081b0818662e38d515586776947cad302503db6d31c734a
S75,59,0.75,,True,True,True,0,1,True,100,1,d75db85da4f7e82b1081b0818662e38d515586776947cad302503db6d31c734a,06a584756a61da6f278fce4364a85316a31bb8e1051ba1f51da3a4c76d0cfb96
S75,60,0.75,,True,True,True,0,1,True,100,1,06a584756a61da6f278fce4364a85316a31bb8e1051ba1f51da3a4c76d0cfb96,af9502150a1b96089ba6ea1a5a5c73f0e953a765952801a6c52f8d8d47a9aca9
FULL8,51,1.0,8,True,True,True,0,2,True,200,2,9ac681a5a75c63ab1b8f015882142dedb52f143d97977b04b9d8db56755cd3f5,9f3b6385e677f02998b6483bea4105fa91dae298ec6e6163e951dcc16163faf9
FULL8,52,1.0,8,True,True,True,0,2,True,200,2,9f3b6385e677f02998b6483bea4105fa91dae298ec6e6163e951dcc16163faf9,a9f284ad0a7575bc7051906ff3b896714b1ce0305e7fe8a3a4aaf5d2d4af5b27
FULL8,53,1.0,8,True,True,True,0,2,True,200,2,a9f284ad0a7575bc7051906ff3b896714b1ce0305e7fe8a3a4aaf5d2d4af5b27,f8eef27d3320904256489ff3568bf8b84671fac931c86c3e90a346550da1b85d
FULL8,54,1.0,8,True,True,True,0,2,True,200,2,f8eef27d3320904256489ff3568bf8b84671fac931c86c3e90a346550da1b85d,cece9a975c7db91f666505146cb93bc134506f8645cd2b093be3aea9bd31437c
FULL8,55,1.0,8,True,True,True,0,2,True,200,2,cece9a975c7db91f666505146cb93bc134506f8645cd2b093be3aea9bd31437c,2f530624a525a5346a4d31d80b1826dee91d66f4afae794d6c6bbba7237398f1
FULL8,56,1.0,8,True,True,True,0,2,True,200,2,2f530624a525a5346a4d31d80b1826dee91d66f4afae794d6c6bbba7237398f1,693fbd6bed20fc23f8450bc8cc98ef27e3a6e8d320d4fefc53f1011d3ef146f2
FULL8,57,1.0,8,True,True,True,0,2,True,200,2,693fbd6bed20fc23f8450bc8cc98ef27e3a6e8d320d4fefc53f1011d3ef146f2,95fc5e88d9ac966ce373020b045ddf50ad856bc03afcbb0f74df1950bf8e9c84
FULL8,58,1.0,8,True,True,True,0,2,True,200,2,95fc5e88d9ac966ce373020b045ddf50ad856bc03afcbb0f74df1950bf8e9c84,f9b1c846d8b3ff423ee955c8f2b472ec256866e3e3ffcb02316eddbf2e2a30f6
FULL8,59,1.0,8,True,True,True,0,2,True,200,2,f9b1c846d8b3ff423ee955c8f2b472ec256866e3e3ffcb02316eddbf2e2a30f6,dbac517b2db5c31e92e749c0fc274e9290cb680348cf23a74225d56bfa645cbd
FULL8,60,1.0,8,True,True,True,0,2,True,200,2,dbac517b2db5c31e92e749c0fc274e9290cb680348cf23a74225d56bfa645cbd,5df1227496393831c6ff05b9e5f028fd2174dadc05ac460565c97bb32b1e79cc
REFIT4,51,0.75,4,True,True,True,0,1,True,200,2,9ac681a5a75c63ab1b8f015882142dedb52f143d97977b04b9d8db56755cd3f5,04f2d672139d8c67f90a90b8ca8d1adc01d5e734c659b520d7b0857fa33faa82
REFIT4,52,0.75,4,True,True,True,0,1,True,200,2,04f2d672139d8c67f90a90b8ca8d1adc01d5e734c659b520d7b0857fa33faa82,83d2db0052a818f0426981aab3df9eb451e1005e1da0b728cf16dc9f2bcd6c9c
REFIT4,53,0.75,4,True,True,True,0,1,True,200,2,83d2db0052a818f0426981aab3df9eb451e1005e1da0b728cf16dc9f2bcd6c9c,8dcea7486c5cc893bf76ec1722437817b32061d4329e1148b6627de391181d3d
REFIT4,54,0.75,4,True,True,True,0,1,True,200,2,8dcea7486c5cc893bf76ec1722437817b32061d4329e1148b6627de391181d3d,3a4bd22535405fe42c9904c711fd2b30636c59d13ccd2aade6987112c6960ab0
REFIT4,55,0.75,4,True,True,True,0,1,True,200,2,3a4bd22535405fe42c9904c711fd2b30636c59d13ccd2aade6987112c6960ab0,a7d7155b7ce275cec9bd1d6e61a650092037a35a44d1051199cc32af0a288570
REFIT4,56,0.75,4,True,True,True,0,1,True,200,2,a7d7155b7ce275cec9bd1d6e61a650092037a35a44d1051199cc32af0a288570,c40c57d7aba5722d602f1449c42dbdafc8ec5dd9efd38a98a7271cea281f903e
REFIT4,57,0.75,4,True,True,True,0,1,True,200,2,c40c57d7aba5722d602f1449c42dbdafc8ec5dd9efd38a98a7271cea281f903e,51a12ced50b5513755ea52e2967007adc3e40e5b86e727d454d0d3ed1aceae8a
REFIT4,58,0.75,4,True,True,True,0,1,True,200,2,51a12ced50b5513755ea52e2967007adc3e40e5b86e727d454d0d3ed1aceae8a,44a72562a2b5751f78b764b5bc956d40ed9bf41ac84bf2714fd34400527121ec
REFIT4,59,0.75,4,True,True,True,0,1,True,200,2,44a72562a2b5751f78b764b5bc956d40ed9bf41ac84bf2714fd34400527121ec,90d93d8da66a80f059a0c9dd930ed5fca0aad97dd3d0673e155cd1772437eee9
REFIT4,60,0.75,4,True,True,True,0,1,True,200,2,90d93d8da66a80f059a0c9dd930ed5fca0aad97dd3d0673e155cd1772437eee9,4ff18061d1360a5eeefb0aeb57699f5de4d37b0136e29b162235132de24ee8e1
