arm,batch,cohort_batch,metric,prompt_denominator,request_denominator,numerator,rate,ties,request_all_success_numerator,order_sha256,bit_order_sha256,new_strict_numerator,new_strict_rate,new_request_all_strict_numerator,new_request_all_strict_rate,new_token_correct,new_token_denominator,new_token_accuracy,true_strict_numerator,true_strict_rate,true_request_all_strict_numerator,true_request_all_strict_rate,true_token_correct,true_token_denominator,true_token_accuracy
N4,60,13,RS,100,100,100,1.0,0,100,6bfbd4e7aced1ad6dff4c02b91dd1df31ad6b929bf789a849e6b0ad98896cbb4,c2bad89f7f8c2df9a805e3ec1832a3aa7f429c72dab386e1adb9c6ddae11d67c,97,0.97,97,0.97,97,100,0.97,0,0.0,0,0.0,3,103,0.02912621359223301
N4,60,14,RS,100,100,99,0.99,0,99,2bd1a531aa64f28394effef8b32f253d08964eba577d8986a64500c3386888a5,fb5bb2d8846724e85544bc607f47fda6226c8bfb01451e0c8a7fc9864b74aba6,95,0.95,95,0.95,95,100,0.95,1,0.01,1,0.01,2,101,0.019801980198019802
N4,60,15,RS,100,100,100,1.0,0,100,42027f52e27540e74f5fc0131983a9930682545daf2b7d1141eb4af68940108e,cf5ff24764661849d4411fdcba5a152092dbf1bfbef7477c3ccaaba54c73ef80,99,0.99,99,0.99,101,102,0.9901960784313726,0,0.0,0,0.0,0,101,0.0
N4,60,16,RS,100,100,100,1.0,0,100,df936bb1555a9f9421d23352f8900f922a06626832514bb8c3d2a6289af0440f,c42f547dd9402c445bb47574d0ebe4a8436f23f3396c3c9ce8a1af32d25a651e,95,0.95,95,0.95,95,100,0.95,0,0.0,0,0.0,1,101,0.009900990099009901
N4,60,17,RS,100,100,99,0.99,0,99,b8a4929ee5e62bbaff1ba246ee257f8987782beda007c921d42ffff2ebf29b71,f41211e4c7832fcb4d3b54a02cb107dfdd006f5cf33b8c203d5647850fb069ff,98,0.98,98,0.98,100,102,0.9803921568627451,0,0.0,0,0.0,0,100,0.0
N4,60,18,RS,100,100,100,1.0,0,100,8c4e8298e3162cad9f9ec555f44ec1b34caeaaa314635ba0b11aef5156f0ba20,e93dc1b0d366169354432b9c93356a19486c2a721c8fe4572a74633b9a95abb7,95,0.95,95,0.95,95,100,0.95,0,0.0,0,0.0,1,101,0.009900990099009901
N4,60,19,RS,100,100,99,0.99,0,99,c09f89b3677a0e4507b956338463a44c7469d6e37e7e4ef78febbbb5ac568cf7,f8ea41b1e87c27d50bf1e344d210c0f958a9e31fa427ee9d484b444908e3fc13,98,0.98,98,0.98,98,100,0.98,0,0.0,0,0.0,0,100,0.0
N4,60,20,RS,100,100,100,1.0,0,100,e8bdf3b0e6189eea3df7e815e09a5c8e4347a0a90b1e8d562ebf6aab12f9e5c3,90fdfee03bcded07d8959a314838a998f3348fc1076a0d55831f2fcc239a9ebd,98,0.98,98,0.98,98,100,0.98,0,0.0,0,0.0,2,102,0.0196078431372549
N4,60,21,RS,100,100,100,1.0,0,100,494c5c00bcc78ff59ebc2ac15abd1629b5e5fa6029980aa78696a312b6602714,b22a6ea18e05dffbf7fc9164216e9ed153785e5044e8cf27227a540adf4c4aad,95,0.95,95,0.95,97,102,0.9509803921568627,0,0.0,0,0.0,2,102,0.0196078431372549
N4,60,22,RS,100,100,100,1.0,0,100,340c41ff3e654e63a642aed125f032cd2f0456fd1e1f334530cd824e8315f471,ae7cddb692b17888dac71156c1ebb6454a48b865089c90a83e92b28132127cc6,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,1,101,0.009900990099009901
N4,60,23,RS,100,100,100,1.0,0,100,5e632dd58c2c76900b8ba605ad9a2d775d0cf9b72e7b72c68c1bf7e12cf71045,93d05e6ddea7334ddc4a0c6700373f7c349355bbcea828cddf087764041d178a,99,0.99,99,0.99,99,100,0.99,0,0.0,0,0.0,0,101,0.0
N4,60,24,RS,100,100,100,1.0,0,100,0941c595e98b3779fdeab6642f34844cff5913b0d1de65aac1e57ec18e637522,563fee8f8e531f815eb205a6e0b85abe4e57b8495a42e8867ed75adf65c1fd83,96,0.96,96,0.96,99,103,0.9611650485436893,0,0.0,0,0.0,2,102,0.0196078431372549
N4,60,25,RS,100,100,99,0.99,0,99,8a3bb3c9cf71912cc33d90e55c7967f35b51d80e54c598e632c95dcdf97fbaeb,8e9606e90ed64b71bb438648f0e44bab6b16fe08accfcf8ebbecd5a982cd1f21,98,0.98,98,0.98,99,101,0.9801980198019802,0,0.0,0,0.0,1,102,0.00980392156862745
N4,60,26,RS,100,100,100,1.0,0,100,45bb94f4169d41280601e3cc571dd371405371ababc827c6ca0b9b6905235556,b66bd9b79f1c96f5e6c9c7c0b71d9279d02e60a3ab614bcc261db0d66bcfea0b,98,0.98,98,0.98,101,103,0.9805825242718447,0,0.0,0,0.0,0,100,0.0
N4,60,27,RS,100,100,100,1.0,0,100,63d9f75eb9934394cb52c13f7578b0d4ef25daadb27a0e593772d212ed21ec45,2dea14dcecae19b8c3a71c57c262c43f8997772dd06737540a5bea4c29c0892f,97,0.97,97,0.97,98,101,0.9702970297029703,0,0.0,0,0.0,0,100,0.0
N4,60,28,RS,100,100,99,0.99,0,99,20dc56ae4fe5a942ff87629cdca03f81a19cd6d5e74cc6d3179df1a93a900d37,8ee57c77507033cd2a74d8f6b5d32f37736e6972d1bb16ab38a398fa29f97b16,96,0.96,96,0.96,99,103,0.9611650485436893,1,0.01,1,0.01,1,100,0.01
N4,60,29,RS,100,100,100,1.0,0,100,badb224e335199d88149376ad1b9b7898b5603478de6fc29027a2f26effed903,3f488cfa4785197fd1c4e07b9fec103ccae2aad2e375412ed8f35d35a110f7fb,100,1.0,100,1.0,101,101,1.0,0,0.0,0,0.0,1,102,0.00980392156862745
N4,60,30,RS,100,100,100,1.0,0,100,5b744814c7896ce978118ff29f4bb0814ba449a73ca594b6e93daf72233579f0,313395eb627c563fe9d5ae4ed65e2dffbb74954b095bb8552cd9523c0d7e1412,97,0.97,97,0.97,98,101,0.9702970297029703,0,0.0,0,0.0,1,102,0.00980392156862745
N4,60,31,RS,100,100,100,1.0,0,100,d358fd52414ae5e6d68e1f71e701f14df2e557a5e321397e76df77eca4fb0c4b,5dbf44bb286e3e98e24d01cb44fe25f1776fa6c5726120c541b5f913b9b63139,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,0,100,0.0
N4,60,32,RS,100,100,100,1.0,0,100,2a7668bfb9196317c5f445b4453aa01394736fa19dff5003e2a6685b97d4153c,c4d865bc62d406a4c3a63e0d31d0a7bd6f098c5576146c4142d4580e80279ad0,96,0.96,96,0.96,97,101,0.9603960396039604,0,0.0,0,0.0,0,100,0.0
N4,60,33,RS,100,100,100,1.0,0,100,6422013d8a87a1fb57006adfd32e4e97c940bef322533c1ae00f698b0a7a4f17,2737d2fa54197ad8c5ab33e4e2dd871ec2908ff88a0d88c88ee5761e50d65130,96,0.96,96,0.96,98,102,0.9607843137254902,0,0.0,0,0.0,1,101,0.009900990099009901
N4,60,34,RS,100,100,100,1.0,0,100,6ff2acb20aa40203d23e754c61018effc0207d987bd6c795ba24cebbec84c75e,905ac763f5557b621cb9bc8c9f3aa87bb675e79681e13c87ccf13c0c629616c4,99,0.99,99,0.99,101,102,0.9901960784313726,0,0.0,0,0.0,1,101,0.009900990099009901
N4,60,35,RS,100,100,100,1.0,0,100,350184c9708394b62ef66698e4625034af71453186e24f3420de56e65a15ddea,51be4fef533ae41f0f9d4fdb900e20776b6daef0ca0a45d2b1846ee756f37fd4,99,0.99,99,0.99,101,102,0.9901960784313726,0,0.0,0,0.0,1,101,0.009900990099009901
N4,60,36,RS,100,100,100,1.0,0,100,4e7d474b37801b2178d69c91654a5eea960841eb66f93a98f997f3fcde31196f,44d1626d4bda2ad38e8bff3a0e50ec827197f5c1dd5e5af9dc25e28b2bc04ebe,98,0.98,98,0.98,100,102,0.9803921568627451,0,0.0,0,0.0,1,101,0.009900990099009901
N4,60,37,RS,100,100,99,0.99,0,99,6796bc98e363932dbc4b4e1aee7d98263f6e7d9b217dfa54d611fbae8ae8cba6,a26b0fdbe4d38f6dea0d4f62fd1ff04e8005bc202abd06b9d7040b695c921399,97,0.97,97,0.97,99,102,0.9705882352941176,0,0.0,0,0.0,1,101,0.009900990099009901
N4,60,38,RS,100,100,100,1.0,0,100,16110a7152577615a9936c5d65bef1bb4496a9aea54c34f0913766384ffcb257,bae16045214b18b4d8007dc8ed93143737e41c5be47936747b65e921835d60e6,97,0.97,97,0.97,97,100,0.97,0,0.0,0,0.0,0,100,0.0
N4,60,39,RS,100,100,100,1.0,0,100,014ad9cf8c752efd04aea63f0841f54ad18f5ecdf47dee5bd303c7a53c82175c,fa09696dce711a699e92c4ca6e33cb2dba727aa8c922bc24f428fd471326ea8f,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,2,102,0.0196078431372549
N4,60,40,RS,100,100,100,1.0,0,100,2af823d3006a1ac25c7aa12f15f8ef89ab8bf30ab846afa0dd1b56531a881b03,02b3a81241d5192c2935b8186effdfa478179dabd4a6be879f87534cb890ddf6,99,0.99,99,0.99,99,100,0.99,0,0.0,0,0.0,1,101,0.009900990099009901
N4,60,41,RS,100,100,100,1.0,0,100,17341689c0ba44c9b00d6a90fcc4d315801e1ff8f651a7dd009ba0657e2fc7fc,c92d46dfcaa98b4c44f35e77947a917f0e1c38c064c4ed3d74f541bb03eee7f1,98,0.98,98,0.98,100,102,0.9803921568627451,0,0.0,0,0.0,0,100,0.0
N4,60,42,RS,100,100,100,1.0,0,100,c9e61b635dcff282615070574200bda36369805ea38dae9845c6df33fae969da,13a4e473e280a5f54ae4a2e0060156e087905249309acb0f601e0310557ee4bf,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,0,101,0.0
N4,60,43,RS,100,100,100,1.0,0,100,d24c9a9ca685cb548692089416e924973b8af1f709b5ac5e16b32035b13cc188,4ce01a253dcb753421f2f64e2b228cb30fb085f46f19050d765958752b3d2276,99,0.99,99,0.99,101,102,0.9901960784313726,0,0.0,0,0.0,0,100,0.0
N4,60,44,RS,100,100,100,1.0,0,100,4067b02c199c5f95498f7a72fbc24e2e21d68e95934a47ca8fee4d61f0844ce3,4b5d19e51f0f3e78b2745d8bebced80f650b4274c4fab4bdc7eeffb02c86d35c,99,0.99,99,0.99,101,102,0.9901960784313726,0,0.0,0,0.0,2,102,0.0196078431372549
N4,60,45,RS,100,100,99,0.99,0,99,6b9c83d0c14f7812ae666a85890f4ca8fe8034fc948802faa24cd9b6ab669877,1b73f06a4142dff1ba865ca7821c33e27639af9dcd0653990e88fa14e817842b,98,0.98,98,0.98,99,101,0.9801980198019802,1,0.01,1,0.01,2,101,0.019801980198019802
N4,60,46,RS,100,100,100,1.0,0,100,c606fc8424910c45be689d831d63b9ed6048c4d8bc3399cc4c13727c50ed00e4,8aae5f4043ed6fbf67d0c274b3326db6d473bf0302ba4b5d559aaae63c2a5261,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,1,101,0.009900990099009901
N4,60,47,RS,100,100,100,1.0,0,100,f3552da44cf0c128b67169525209768424e3eadf6b6e99b7f9639990ba7cfd77,9373647d3e8c362c1afd7b374f268451a841d3d8665f5962f8ff2d6adac4f05a,98,0.98,98,0.98,99,101,0.9801980198019802,0,0.0,0,0.0,1,102,0.00980392156862745
N4,60,48,RS,100,100,100,1.0,0,100,39377d8b0561b346a1fee90dc09b13eacb8fe7fb04b37f69fcef14fdc4a81e7c,ea3da4a83c6c327ac2cfabe046a8435698ba8ff80ddf8a2b4cf262535475398b,99,0.99,99,0.99,101,102,0.9901960784313726,0,0.0,0,0.0,1,101,0.009900990099009901
N4,60,49,RS,100,100,100,1.0,0,100,2b4b71d32a887a5b5a5f3030dec19fb45379bc01d3a0ca6a2f0789c2176f16a4,90a3cceeb8cb2346578d681e45e9bd0e4a665072c80363ca60e9daa4dfad5286,100,1.0,100,1.0,100,100,1.0,0,0.0,0,0.0,0,100,0.0
N4,60,50,RS,100,100,100,1.0,0,100,f26a356538e40c53990b280351ca4d2fd8312ebf4970e81ad401bc206bab89ab,a804ee10389958b2ae4fd425afdbaf7f0a66cda092b2878197f2ea1e29283f1a,100,1.0,100,1.0,104,104,1.0,0,0.0,0,0.0,1,101,0.009900990099009901
N4,60,51,RS,100,100,100,1.0,0,100,037ac4c321813f6b1a964a42b9567a98c85645bd6a744769d43309f24dcc173a,f25c4b7fc99e44cae74e94023459c9d894a593121838ee26bb6afc7677bded7a,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,3,103,0.02912621359223301
N4,60,52,RS,100,100,100,1.0,0,100,9ce14fa299ca8dcee036469556c46b98b8058b19a957abba146d23cab698a66d,903db6e08ea7635d3148674c9c9d994d8abec61200636dd219b1fd97a1a0b7f2,100,1.0,100,1.0,102,102,1.0,0,0.0,0,0.0,2,102,0.0196078431372549
N4,60,53,RS,100,100,100,1.0,0,100,7f26d60f9749d58c9df819bebcead3a696752da99a6280a5167af62ca9c29732,33c722daf0ae7f527ad3b83ebdd89187a6b1927c6399a9f75070ebb1be3a693c,99,0.99,99,0.99,101,102,0.9901960784313726,0,0.0,0,0.0,0,100,0.0
N4,60,54,RS,100,100,100,1.0,0,100,63dab5bd43b876c52366c45fba83139caadc18cb67f8a5561bb5d2186cda56ef,961c42f3a1ba74011412b357bd80a7dc35b0f1fd7c4b16d90bc505b615a5e6c2,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,1,101,0.009900990099009901
N4,60,55,RS,100,100,100,1.0,0,100,cb5d11414d0e7099be33952159a14f5c17d54a39802c5f7c4acbd60a3bb2cbd6,e836680b194cf99fd70ecfacb3cbe6269a4e34298506833e713bee992449dadc,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,0,100,0.0
N4,60,56,RS,100,100,100,1.0,0,100,edc8150be6b620d66705a8f6242dd6cad3c49614014f74057b1e6bf7c38dfabe,ab84a6943b4514cccfac181656a4aac89d48de18efeeced161c191b0a094f4e1,99,0.99,99,0.99,104,105,0.9904761904761905,0,0.0,0,0.0,3,104,0.028846153846153848
N4,60,57,RS,100,100,100,1.0,0,100,7aee12d22eb2fef2e76faa40edcd5a76fa446e3fe63f32d22936839f6e586725,0c701b5e7b1789e559230d5346087f14474c0172988db4962dec0aa96305239c,100,1.0,100,1.0,100,100,1.0,0,0.0,0,0.0,1,101,0.009900990099009901
N4,60,58,RS,100,100,100,1.0,0,100,6b7d5341651e255659ecb52125cb91ef266370136f40464d32d45a5455c8bbb5,0a0632217c8637d82f19087db7ce5351aa0e004a04fd1f7b3e440beb923b48f0,99,0.99,99,0.99,100,101,0.9900990099009901,0,0.0,0,0.0,4,104,0.038461538461538464
N4,60,59,RS,100,100,100,1.0,0,100,b1762585e08c2fed4c5164e290388defa08e04afbc7898c700b8fc1ab4c69a48,426b047740fec0f24eb08d88f6563dab02828b448370e5d0b3b4923fc0d8d14e,99,0.99,99,0.99,102,103,0.9902912621359223,0,0.0,0,0.0,1,101,0.009900990099009901
N4,60,60,RS,100,100,100,1.0,0,100,4bbefbfca48174e9b05c32077efdc9b2d4cf4fc8d0d3427fddde13f4a9de57e4,42ff857bdcba0f1327e6a16facd8bbb79664d4d3d5cfe725c9c6be1a207e4938,100,1.0,100,1.0,100,100,1.0,0,0.0,0,0.0,0,101,0.0
N4,60,1,PS,200,100,194,0.97,0,95,9cc8c31cf6cfe5b4c0348b54aef884f45255fa134c0df591a333b60c179e1e82,2aade0362978f35d0e182ea7412c4929195b2a88f350c4e51e5b95df1c245a4e,131,0.655,51,0.51,133,202,0.6584158415841584,1,0.005,0,0.0,7,206,0.03398058252427184
N4,60,2,PS,200,100,189,0.945,0,92,bc1ace9656fb523480c80300a83df6521e9274f30f833fd13222fc49aaeb32da,2d80f364c8385d5935d14283ee3b77d5f2e21f715d626054e342a05c1a80f890,127,0.635,50,0.5,131,204,0.6421568627450981,3,0.015,0,0.0,5,202,0.024752475247524754
N4,60,3,PS,200,100,193,0.965,0,94,877f5e7a73c9724a96e7ec0d26a41da91a9e96ed4c3cbde676a615f44395c82f,7da0ce31677a46fae731142f9b5a72441c55ade5aaa46cbf64ac29450097715d,129,0.645,46,0.46,133,204,0.6519607843137255,2,0.01,0,0.0,8,206,0.038834951456310676
N4,60,4,PS,200,100,188,0.94,0,90,2b4bf02a8687d51ad04c7de5b7ff9f90d5f78be46fd9f2dd452b8e4a418d0656,afc2f1e4e09479fb03d67ba0758d7d91677429fb670a613f3fd677a0e33437e7,136,0.68,49,0.49,138,202,0.6831683168316832,2,0.01,0,0.0,2,200,0.01
N4,60,5,PS,200,100,195,0.975,0,95,ad48772b9c799639c92dc79726ed43f5b42a4c014b8fda7b713d27e604b46ea5,27d8e6001f3c0e20d0810cbc130d01d28ec30c9d9042dbf45dc41b46e7ec6e55,121,0.605,44,0.44,123,202,0.6089108910891089,1,0.005,0,0.0,1,200,0.005
N4,60,6,PS,200,100,193,0.965,0,93,789943eb3f33813bc5227f06f63b07c4422cbb67a1d7cd294265ddd4dfa791d7,5c6632bbffba7e9fe65cf659e43fa2de396ee338b66cfd1b7a5b0de3d2688c4b,108,0.54,35,0.35,115,208,0.5528846153846154,1,0.005,0,0.0,5,204,0.024509803921568627
N4,60,7,PS,200,100,192,0.96,0,94,59be3257873bbeea29880747f0ab2015a8b25540c5b7b8c94b5bf2b1c758b860,a01c87400b9354853d1ea7950bd2444d08cec6196c20606054da859c8aff3c25,146,0.73,58,0.58,148,202,0.7326732673267327,2,0.01,0,0.0,4,202,0.019801980198019802
N4,60,8,PS,200,100,192,0.96,0,94,435466c744612dd01f14335ea02d7e2460e7e4332fdfcec020b08da505333f65,6f1ff297fda4879a4556fecd6d76e07fca0ad1da6029402eb3ab6001fc6a8632,122,0.61,44,0.44,126,204,0.6176470588235294,1,0.005,0,0.0,1,200,0.005
N4,60,9,PS,200,100,192,0.96,0,94,589d21797da49093b4f8acab964eb83ddc008db029e74b3d9003bfcd00005743,6db8bde800c1f8d3eb6ebfb3e7194fd4cb1dbe054bc247acb1294133ddc760ac,138,0.69,51,0.51,138,200,0.69,4,0.02,1,0.01,6,202,0.0297029702970297
N4,60,10,PS,200,100,186,0.93,0,89,a4b54a71086efb06a2dfe300af353160653c5835da4f0b8bafbdd26065ec2a19,056ef255ca3378964d1a7acefeca190e667078e99c25e1d4e2cca0d76f76975b,129,0.645,47,0.47,131,202,0.6485148514851485,4,0.02,1,0.01,4,200,0.02
N4,60,11,PS,200,100,193,0.965,0,94,fc2c803f7b83fb62b02ec3253850b4018e91c855873505e3bf5483932f700efb,eb8ae1844995d9e4efb72b5e2184e92db82726d7e49b98f58d96c4f545b72d40,127,0.635,48,0.48,129,202,0.6386138613861386,0,0.0,0,0.0,5,206,0.024271844660194174
N4,60,12,PS,200,100,195,0.975,0,97,5433be3e27834169a7a5fcc227cfe2a0dcb97aabacf3dab83872166a1072b486,4c3954bee4f0dcf14ad09b8b8052ebbe0e5c7cad85a2aa339282528be3306df4,142,0.71,57,0.57,150,208,0.7211538461538461,0,0.0,0,0.0,8,208,0.038461538461538464
N4,60,13,PS,200,100,188,0.94,0,90,73b92251a7f74fd1505dd868d96e3c776554972772770ddf3665e3a606c4905a,0ad2875ea4105104e169c9de3bd1809169d89e9758f7e3f2fdddc0b99ffdf811,146,0.73,61,0.61,146,200,0.73,1,0.005,0,0.0,7,206,0.03398058252427184
N4,60,14,PS,200,100,187,0.935,0,90,3a3af062bc9e26fedf2b025f2c06382b7bd9fcfc1774ffa6748ffde07eab938b,dc42fda4ca7a50d141059a8c29704a4a6ea1179f960610a7e3d1c84b4da3e201,130,0.65,51,0.51,130,200,0.65,0,0.0,0,0.0,1,202,0.0049504950495049506
N4,60,15,PS,200,100,198,0.99,0,98,250a14c3f26cb4b96c62a011aa9c0362a917f4c518eae0cc1d69fefd7284bd34,ede4faf6433996100d787395b42f28ffdbba1643b0413ca39ee2227468e0fcf5,132,0.66,49,0.49,136,204,0.6666666666666666,0,0.0,0,0.0,1,202,0.0049504950495049506
N4,60,16,PS,200,100,198,0.99,0,99,208e219893e3fe8cd335f321f7454b4edf2cddc40c7ee48247f19e2fd1ffc91f,63f3ee8a2d54d07eb83b944ace566d26844281a6717fdf1e96f18381784829b6,152,0.76,60,0.6,152,200,0.76,0,0.0,0,0.0,1,202,0.0049504950495049506
N4,60,17,PS,200,100,192,0.96,0,94,5e0a2fa400f7e0c0b6acb788db7126183f657c353d07b7ef98994dacfc974875,c1cd53b8e9694e429932b6096257d016d7a8edf3beed9dcb4c6c62c336d99cd4,148,0.74,65,0.65,152,204,0.7450980392156863,0,0.0,0,0.0,0,200,0.0
N4,60,18,PS,200,100,195,0.975,0,96,67ceea4c37a063e516c67049d18428f6367cd556d7d2a6d0a1bd0445c4cc87b9,28fb5ec86cba95aa851d193f0750fc3a5649944c6c5736b62c7e45f8976c1cd0,137,0.685,56,0.56,137,200,0.685,1,0.005,0,0.0,3,202,0.01485148514851485
N4,60,19,PS,200,100,191,0.955,0,92,fa391c014105476e219b520da7da4026b4158d5987af42a20097db428ef0de85,fae0e6f42ed0f21a64b6f9c2c409c87d9f26d0d8e94b52a8ac44416ad7ccec1d,138,0.69,54,0.54,138,200,0.69,3,0.015,0,0.0,3,200,0.015
N4,60,20,PS,200,100,199,0.995,0,99,8660c3c1b998c93e2e93e88a3ee2a0f5d8c524b6dbccc6c3d92ef9c3ba7498fa,cad677278bc8f02da67de1b4f7e76aae334e22dc84997ddc518ef8b580cf9229,143,0.715,57,0.57,143,200,0.715,0,0.0,0,0.0,3,204,0.014705882352941176
N4,60,21,PS,200,100,192,0.96,0,93,a6d5ff0f2cd96ad1ffd06f5e3caf6183ac1eab8f220bc5caf85c8fd0335f50d3,ee3611b734598b473910f29779095edfab427a37450e3ca7c49c6382b4653dbb,129,0.645,48,0.48,133,204,0.6519607843137255,1,0.005,0,0.0,5,204,0.024509803921568627
N4,60,22,PS,200,100,194,0.97,0,96,fbc3bd8592414e46bbcd6496069bb28c38f1901b052c67f6f459f3330d923af1,c0bb8dc963462a27647442088cbebbcd5710a100a9b28cb4419858147d9ce732,144,0.72,57,0.57,146,202,0.7227722772277227,0,0.0,0,0.0,2,202,0.009900990099009901
N4,60,23,PS,200,100,195,0.975,0,95,0b18c5b369c17c17b7032390f4b1745daeb08c51111fe4448411ebc406496a3a,cbd4ee85e88e0083890fa55366e1cffcc73e69f556459cf1ec4f34d1f0252845,135,0.675,53,0.53,135,200,0.675,0,0.0,0,0.0,0,202,0.0
N4,60,24,PS,200,100,187,0.935,0,90,92b4bc1d768a70a61da33840f37b0c7b0dd69e93173fd44ec83cfbd4a45543f3,2b0d1934ed5ede9a8a12337f69818d4b6016dd48a70fb0b21b0fa57ce4f08e38,122,0.61,47,0.47,128,206,0.6213592233009708,2,0.01,0,0.0,6,204,0.029411764705882353
N4,60,25,PS,200,100,195,0.975,0,95,ae492affb2cbe0f07412c99fe19d0c42b1c7673e46945da19e5644048dc241b2,5093ae71e5bded2e3b4b2d0897fdf044fdad2e8c8937b446777a78c35bbb7b57,142,0.71,52,0.52,144,202,0.7128712871287128,0,0.0,0,0.0,3,204,0.014705882352941176
N4,60,26,PS,200,100,193,0.965,0,93,64f08fee42dd2a11d997015bd591b6881c7374e2b236647e813856fbc6eb5760,f8f6de68497b4201d965ab48a7c46c1ed29f91e17c4e19fc05ebb47afe4e5e02,135,0.675,47,0.47,141,206,0.6844660194174758,3,0.015,0,0.0,3,200,0.015
