arm,batch,first_fit_seconds,second_fit_seconds,materialization_seconds,finalization_seconds,evaluation_seconds,policy_instrumented_online_seconds
N4,51,288.2137951012701,0.0,0.7253628075122833,13.783294091932476,71.41148954164237,302.72245200071484
N4,52,289.77751352638006,0.0,0.7556193601340055,14.360573020763695,71.91548947617412,304.89370590727776
N4,53,289.2483868394047,0.0,0.7483475226908922,13.92263678368181,71.80631978157908,303.9193711457774
N4,54,287.4819920277223,0.0,0.7144130319356918,14.2084019202739,72.2474400345236,302.4048069799319
N4,55,294.33461946062744,0.0,0.6972133303061128,13.80207332316786,132.7342222686857,308.8339061141014
N4,56,292.1935430439189,0.0,0.5220581637695432,11.419201968237758,69.56812026537955,304.1348031759262
N4,57,291.9508685003966,0.0,0.5359137067571282,12.868752866983414,69.47588319890201,305.35553507413715
N4,58,292.82202201895416,0.0,0.7847650106996298,11.33391697332263,71.37722900975496,304.9407040029764
N4,59,288.7960379989818,0.0,0.7007314832881093,13.379413804039359,71.51419081352651,302.87618328630924
N4,60,294.16967146191746,0.0,0.735132846981287,13.924663547426462,965.0733159594238,308.8294678563252
RES8,51,289.299307894893,40.963622538372874,0.8339498061686754,27.77427865471691,71.1219713492319,358.87115889415145
RES8,52,290.7699965192005,48.82588130887598,0.8367717126384377,29.004840753041208,71.47814145218581,369.4374902937561
RES8,53,290.14393902849406,59.93014871701598,0.8392456155270338,28.02260716818273,71.37065395992249,378.9359405292198
RES8,54,288.5015253154561,53.52010912075639,0.7751938467845321,28.71384406927973,71.07073020655662,371.51067235227674
RES8,55,294.9342015264556,60.86648090556264,0.8281767759472132,21.800415229983628,130.22881642356515,378.42927443794906
RES8,56,291.86092793475837,54.93474649172276,0.6617248598486185,22.525014883838594,69.09114966075867,369.98241417016834
RES8,57,294.10399216692895,49.99519538972527,0.6756679406389594,23.313061717897654,69.1147991400212,368.0879172151908
RES8,58,293.6459819134325,62.65187269076705,0.7608674662187696,23.201902333647013,70.05830411799252,380.2606244040653
RES8,59,293.91466619912535,66.47888161055744,0.7993745049461722,28.098153617233038,71.40370139759034,389.291075931862
RES8,60,296.29029212892056,55.77803047001362,0.7941894363611937,27.62705816887319,965.3776591951028,380.48957020416856
S875,51,288.99883356690407,0.0,0.8789108553901315,13.508946215733886,71.72796082030982,303.3866906380281
S875,52,290.5734070139006,0.0,0.8567798603326082,14.11046254914254,71.58790301717818,305.5406494233757
S875,53,289.9042564909905,0.0,0.8407956855371594,13.988442999310791,71.47453189548105,304.73349517583847
S875,54,289.41902582813054,0.0,0.8528096685186028,14.241115977987647,72.35356495715678,304.5129514746368
S875,55,294.81934827007353,0.0,0.821434959769249,13.844155695289373,134.00208604801446,309.48493892513216
S875,56,295.6221464937553,0.0,0.8365970784798265,13.909802234731615,72.13253715634346,310.3685458069667
S875,57,298.04895761888474,0.0,0.8059277143329382,14.296440699137747,71.11817888915539,313.1513260323554
S875,58,296.6871776888147,0.0,0.8693836620077491,15.016871795989573,72.22409647610039,312.573433146812
S875,59,294.1951269535348,0.0,0.835931864567101,14.65932438429445,72.5215718112886,309.69038320239633
S875,60,297.9189622849226,0.0,0.8831886034458876,14.329429499804974,976.2771971281618,313.13158038817346
S75,51,287.555294807069,0.0,0.809935662895441,14.13249921426177,70.62434386555105,302.4977296842262
S75,52,289.1879012575373,0.0,0.8531666258350015,14.7717705052346,71.59281173720956,304.8128383886069
S75,53,289.229400399141,0.0,0.7053244337439537,11.826852548867464,69.22410498932004,301.76157738175243
S75,54,287.0598952602595,0.0,0.8139504520222545,11.745759489014745,69.74670578818768,299.6196052012965
S75,55,292.6848021661863,0.0,0.8056946285068989,12.824304224923253,133.95483640488237,306.3148010196164
S75,56,295.9359728898853,0.0,0.6607202561572194,11.921259482391179,70.64494658820331,308.5179526284337
S75,57,299.28619343135506,0.0,0.826735120266676,14.809803909622133,71.66916629299521,314.92273246124387
S75,58,296.55622175708413,0.0,0.8636192353442311,13.676305412314832,71.5087843472138,311.0961464047432
S75,59,293.8902780134231,0.0,0.8282161606475711,14.231192331761122,72.54453840386122,308.9496865058318
S75,60,298.26240835990757,0.0,0.8554056817665696,14.523974471725523,977.6182370539755,313.64178851339966
FULL8,51,288.846160187386,35.28869585786015,0.5900391833856702,27.676424419507384,71.39188875071704,352.4013196481392
