arm,batch,scope,requests,dataset_prompt_target_identity,arm_display_label
MEMIT_ORIGINAL,1,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,1,seen-full.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,2,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,3,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,4,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,5,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,5,seen-full.json,500,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,6,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,7,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,8,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,9,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,10,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,10,seen-full.json,1000,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,11,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,12,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,13,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,14,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,15,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,16,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,17,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,18,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,19,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,20,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,20,seen-full.json,2000,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,21,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,22,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,23,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,24,current.json,100,PASS,MEMIT_BLUE (L4+L8)
MEMIT_ORIGINAL,25,current.json,100,PASS,MEMIT_BLUE (L4+L8)
