method,arm_before,arm_after,metric,scope,denominator,before_num,after_num,retained,lost,gained,both_failed,conditional_loss_den,conditional_loss_rate,paired_rate_delta
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,RS,FINAL_W100_DIFFERENT_STATES_SAME_PROMPTS,10000,7183,7722,6370,813,1352,1465,7183,0.11318390644577475,0.05389999999999995
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,PS,FINAL_W100_DIFFERENT_STATES_SAME_PROMPTS,20000,13530,14966,11611,1919,3355,3115,13530,0.1418329637841833,0.07179999999999997
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,NS,FINAL_W100_DIFFERENT_STATES_SAME_PROMPTS,100000,53287,57848,41547,11740,16301,30412,53287,0.22031639987238913,0.04561000000000004
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,RS,FINAL_W100_DIFFERENT_STATES_SAME_PROMPTS,10000,7183,8177,6451,732,1726,1091,7183,0.10190728108032855,0.09939999999999993
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,PS,FINAL_W100_DIFFERENT_STATES_SAME_PROMPTS,20000,13530,14460,10905,2625,3555,2915,13530,0.19401330376940132,0.046499999999999986
MEMIT,MEMIT_ORIGINAL,MEMIT_L8_ONLY,NS,FINAL_W100_DIFFERENT_STATES_SAME_PROMPTS,100000,53287,48425,34093,19194,14332,32381,53287,0.36020042411845293,-0.04861999999999994
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,RS,FINAL_W100_DIFFERENT_STATES_SAME_PROMPTS,10000,7722,8177,6833,889,1344,934,7722,0.11512561512561513,0.045499999999999985
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,PS,FINAL_W100_DIFFERENT_STATES_SAME_PROMPTS,20000,14966,14460,11930,3036,2530,2504,14966,0.20285981558198585,-0.02529999999999999
MEMIT,MEMIT_L4_ONLY,MEMIT_L8_ONLY,NS,FINAL_W100_DIFFERENT_STATES_SAME_PROMPTS,100000,57848,48425,36933,20915,11492,30660,57848,0.3615509611395381,-0.09422999999999998
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,RS,FINAL_W100_DIFFERENT_STATES_SAME_PROMPTS,10000,9888,9939,9860,28,79,33,9888,0.0028317152103559872,0.005099999999999993
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,PS,FINAL_W100_DIFFERENT_STATES_SAME_PROMPTS,20000,19155,19136,18686,469,450,395,19155,0.024484468807099972,-0.0009500000000000064
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L4_ONLY,NS,FINAL_W100_DIFFERENT_STATES_SAME_PROMPTS,100000,63726,65348,55758,7968,9590,26684,63726,0.12503530740984842,0.0162199999999999
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,RS,FINAL_W100_DIFFERENT_STATES_SAME_PROMPTS,10000,9888,9396,9317,571,79,33,9888,0.057746763754045305,-0.04920000000000002
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,PS,FINAL_W100_DIFFERENT_STATES_SAME_PROMPTS,20000,19155,15556,15152,4003,404,441,19155,0.208979378752284,-0.17994999999999994
AlphaEdit,AlphaEdit_ORIGINAL,AlphaEdit_L8_ONLY,NS,FINAL_W100_DIFFERENT_STATES_SAME_PROMPTS,100000,63726,54703,42407,21319,12296,23978,63726,0.3345416313592568,-0.09023000000000003
AlphaEdit,AlphaEdit_L4_ONLY,AlphaEdit_L8_ONLY,RS,FINAL_W100_DIFFERENT_STATES_SAME_PROMPTS,10000,9939,9396,9354,585,42,19,9939,0.058859040144883794,-0.054300000000000015
AlphaEdit,AlphaEdit_L4_ONLY,AlphaEdit_L8_ONLY,PS,FINAL_W100_DIFFERENT_STATES_SAME_PROMPTS,20000,19136,15556,15166,3970,390,474,19136,0.2074623745819398,-0.17899999999999994
AlphaEdit,AlphaEdit_L4_ONLY,AlphaEdit_L8_ONLY,NS,FINAL_W100_DIFFERENT_STATES_SAME_PROMPTS,100000,65348,54703,43179,22169,11524,23128,65348,0.3392452714696701,-0.10644999999999993
