method,arm_before,arm_after,batch,metric,before_num,after_num,denominator,rate_delta,new_nll_prompt_mean_delta,new_nll_prompt_median_delta,new_nll_prompt_p90_delta,new_nll_prompt_max_delta,true_nll_prompt_mean_delta,true_nll_prompt_median_delta,true_nll_prompt_p90_delta,true_nll_prompt_max_delta,margin_prompt_mean_delta,margin_prompt_median_delta,margin_prompt_p90_delta,margin_prompt_max_delta
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,1,RS,100,95,100,-0.050000000000000044,0.6239235289449698,0.015139219467528164,1.994045986793937,10.643524929881096,-3.8192149066925047,-4.131969451904297,-4.8192523956298885,-2.6579723358154297,-4.443138435637476,-4.339375446084887,-4.8463534873692,-2.6592634890721456
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,1,PS,185,168,200,-0.08500000000000008,1.0530275323509704,0.9201925098896027,2.43563857078552,-2.1414947509765625,-1.5747848728671663,-1.5817627906799316,-1.4947054862976046,-1.6064586639404297,-2.6278124052181377,-2.1149557896424085,-3.466927029937505,-1.6077990920748562
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,1,NS,879,882,1000,0.0030000000000000027,0.04827876639366124,0.017865657806396484,0.038142013549801845,0.02114105224609375,0.028175852728134387,0.04799485206604004,0.00525941848755096,0.12922096252441406,-0.020102913665526856,-0.02021002769470215,-0.08854513168334938,-0.056833744049072266
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,5,RS,499,479,500,-0.040000000000000036,0.44704566079909364,0.005705302348360419,0.4005645580589772,12.188797950744629,-2.4454975294061008,-1.7577753067016602,-3.004589843749997,-5.7051544189453125,-2.8925431902051937,-1.8091990462562535,-3.00853772953851,-5.705356427002698
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,5,PS,934,874,1000,-0.06000000000000005,0.8567563757560275,0.7070026248693466,1.9525032043457031,-0.4082450866699219,-1.461360265745025,-1.291151523590088,-2.0378078460693363,-2.560270309448242,-2.318116641501053,-1.748863528482616,-2.511418728996068,-2.612243595533073
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,5,NS,4347,4371,5000,0.0048000000000000265,0.04861013297168526,0.04478931427001953,0.16056823730468395,-2.004667282104492,-0.03516213369362475,0.017765522003173828,-0.12352428436278728,-6.937849044799805,-0.08377226666531001,-0.08486869931221008,-0.143011951446532,-10.222974648699164
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,10,RS,995,968,1000,-0.027000000000000024,0.19052539435373045,0.00373740226496011,0.12785436976701023,-5.2967634201049805,-1.9269638816220684,-1.5239686965942383,-2.6082511901855483,-5.547616958618164,-2.1174892759757995,-1.5004189014434814,-2.627176628098823,-5.547941122415068
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,10,PS,1899,1812,2000,-0.04349999999999998,0.669732046040832,0.5026823580265045,1.7976757526397709,1.1756706237792969,-1.410158142794156,-1.2744169235229492,-1.914049625396732,-4.955163955688477,-2.079890188834989,-1.8675821274518967,-2.6308361805422447,-5.001292859436944
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,10,NS,8507,8582,10000,0.007499999999999951,-0.05484570655694654,-0.13866186141967773,-0.14218797683715856,-3.1991405487060547,-0.10388094313060314,0.012542009353637695,-0.2826048851013194,-4.184392929077148,-0.049035236573655716,0.007869720458984375,-0.2897059440612758,-8.231406456790864
MEMIT,MEMIT_ORIGINAL,MEMIT_L4_ONLY,20,RS,1988,1959,2000,-0.014499999999999957,0.1119467976613148,0.0037393253296613693,0.12890066727995914,-3.486536979675293,-1.7986191728585403,-1.642402172088623,-2.6409454345703125,-7.327768325805664,-1.910565970519853,-1.6374468910944415,-2.6751006571575964,-7.328944256696559
