model,method,layer,metric,n,mean,median,p25,p75,p90,max,min
llama3-8b-inst,memit,4,rho,100,0.43556878768763196,0.43625299636092185,0.3409029738722256,0.5438878031192355,0.6090962297586253,0.7845460747391255,0.13738705651431643
llama3-8b-inst,memit,4,under_realization_coefficient,100,0.564431212312368,0.5637470036390781,0.45611219688076454,0.6590970261277744,0.7555529563377704,0.8626129434856835,0.21545392526087448
llama3-8b-inst,memit,4,tau,100,1.2367059864345735,1.1788298685556775,0.9541169624838114,1.4854214441481952,1.7741148471935642,2.458119226347766,0.49150902169730337
llama3-8b-inst,memit,4,gap_norm_over_R1,100,0.2770255129499572,0.2640962866377802,0.23007053076814138,0.3144316436580021,0.3719408513839541,0.4935086838081313,0.189769754927938
llama3-8b-inst,memit,5,rho,100,0.35041912700443384,0.3690874603476435,0.2848468587628819,0.40783831721432673,0.4630672245247837,0.5087554347513606,0.09762476844646702
llama3-8b-inst,memit,5,under_realization_coefficient,100,0.6495808729955662,0.6309125396523565,0.5921616827856733,0.7151531412371182,0.7617951038123216,0.9023752315535329,0.49124456524863935
llama3-8b-inst,memit,5,tau,100,0.859362431982362,0.8401040088163995,0.7504628132124395,0.9705229888686775,1.08609044682782,1.488756512422356,0.4776913543853884
llama3-8b-inst,memit,5,gap_norm_over_R1,100,0.25814905256051424,0.24827825887074678,0.23152645079147607,0.2829271212790996,0.3156080692725834,0.4013395916971855,0.1858794659264314
llama3-8b-inst,memit,6,rho,100,0.372162988201789,0.3819274876160838,0.3302099665827996,0.41701439685298936,0.44698815051033375,0.5156390561276096,0.19562693903384062
llama3-8b-inst,memit,6,under_realization_coefficient,100,0.627837011798211,0.6180725123839163,0.5829856031470106,0.6697900334172003,0.7200058478790738,0.8043730609661593,0.48436094387239037
llama3-8b-inst,memit,6,tau,100,0.6203265115546245,0.5988500865559352,0.5469126800129089,0.6879961696553551,0.7444481977056716,0.9227705045271019,0.4252960018367962
llama3-8b-inst,memit,6,gap_norm_over_R1,100,0.2641474604766718,0.263050706435474,0.23290809256938017,0.28565572263888994,0.30812283770437443,0.37041321016478446,0.1886781779749642
llama3-8b-inst,memit,7,rho,100,0.4412241610546749,0.4476689923496371,0.3986453394500454,0.4848760336783021,0.511927329210594,0.5685145758154163,0.28507573428383826
llama3-8b-inst,memit,7,under_realization_coefficient,100,0.558775838945325,0.5523310076503629,0.5151239663216979,0.6013546605499547,0.6472322328361381,0.7149242657161617,0.4314854241845837
llama3-8b-inst,memit,7,tau,100,0.44454994759087946,0.4108626490207568,0.3669198122874878,0.4862392702059177,0.5710442398140221,0.9408591023151704,0.2743857143489927
llama3-8b-inst,memit,7,gap_norm_over_R1,100,0.29055074361977995,0.2829210178592526,0.2523837014334839,0.3243687163011576,0.352596184009423,0.5007365631738155,0.18823550011698323
llama3-8b-inst,memit,8,rho,100,0.5614267276052645,0.5643259334123687,0.5306970157709743,0.5920541748793678,0.6109333550422807,0.6469305997779892,0.4525794687843102
llama3-8b-inst,memit,8,under_realization_coefficient,100,0.4385732723947354,0.43567406658763136,0.40794582512063216,0.4693029842290257,0.49807221662936296,0.5474205312156898,0.35306940022201083
llama3-8b-inst,memit,8,tau,100,0.02298151589061054,0.02064653856969784,0.0154753528439418,0.02822315727699829,0.035751001590026636,0.067244453506311,0.006257936899590398
llama3-8b-inst,memit,8,gap_norm_over_R1,100,0.2882602384118054,0.280903150753657,0.25336970142750337,0.3190718295828697,0.3553211298399759,0.405879677988705,0.1856651483527491
llama3-8b-inst,alphaedit,4,rho,100,0.6289468772189865,0.6253267085311844,0.5209049056021682,0.7585929358994389,0.8327000179032725,0.9840248415014518,0.2512712446521887
llama3-8b-inst,alphaedit,4,under_realization_coefficient,100,0.37105312278101366,0.3746732914688156,0.24140706410056112,0.4790950943978319,0.5956169103339247,0.7487287553478112,0.015975158498548248
llama3-8b-inst,alphaedit,4,tau,100,1.692794656602584,1.603678392031373,1.3409802356108453,1.9595651436672308,2.4045170238908824,3.1438065078529145,0.8029868591336049
llama3-8b-inst,alphaedit,4,gap_norm_over_R1,100,0.349920684131334,0.3291723734208511,0.28386059677343695,0.39556469112472187,0.4810827735616423,0.6288652152313756,0.20195395177409017
llama3-8b-inst,alphaedit,5,rho,100,0.5045905516652326,0.50878418405786,0.42866016195193946,0.5835361989031976,0.6309961335163157,0.7669996354180617,0.22163611189235563
llama3-8b-inst,alphaedit,5,under_realization_coefficient,100,0.49540944833476735,0.4912158159421401,0.41646380109680237,0.5713398380480605,0.6242217082704536,0.7783638881076443,0.2330003645819383
