model,method,layer,metric,n,mean,median,p25,p75,p90,max,min
llama3-8b-inst,alphaedit,5,tau,100,1.1914652777049435,1.1626160465047142,1.036125394119864,1.3440046592081072,1.4681378314285056,2.0940709790853322,0.7914278725848221
llama3-8b-inst,alphaedit,5,gap_norm_over_R1,100,0.30676939613978693,0.2963175736156598,0.26267543985155173,0.3461333248598031,0.38358034115938167,0.517136258028919,0.19806847260688423
llama3-8b-inst,alphaedit,6,rho,100,0.5720380136195916,0.5739154641366349,0.5306718521833912,0.6178539185639725,0.6489401004312121,0.7322611362233821,0.3666958136606292
llama3-8b-inst,alphaedit,6,under_realization_coefficient,100,0.42796198638040833,0.4260845358633651,0.38214608143602746,0.4693281478166088,0.5039257200834106,0.6333041863393708,0.26773886377661793
llama3-8b-inst,alphaedit,6,tau,100,0.8767771904348439,0.844871323230898,0.7831159028213914,0.9528172893772213,1.0508195180221065,1.2811832367641158,0.5458988283545717
llama3-8b-inst,alphaedit,6,gap_norm_over_R1,100,0.28623810462993743,0.27672244500383875,0.24353975833061142,0.3247006200810911,0.3639779290428083,0.4356846083338791,0.16333869302071233
llama3-8b-inst,alphaedit,7,rho,100,0.7294663247208176,0.7217241476573351,0.6951378216217441,0.766982547174165,0.8014226779794588,0.8625158873971333,0.6081411688645133
llama3-8b-inst,alphaedit,7,under_realization_coefficient,100,0.27053367527918215,0.27827585234266494,0.23301745282583497,0.3048621783782559,0.3372912886524671,0.3918588311354867,0.13748411260286675
llama3-8b-inst,alphaedit,7,tau,100,0.6497378244661288,0.5997918206333607,0.5468684135339971,0.7035101914306892,0.9091688553310691,1.2720062683523534,0.3644655589269373
llama3-8b-inst,alphaedit,7,gap_norm_over_R1,100,0.26967803920722166,0.2516518820614318,0.2136266275733701,0.2932353711115887,0.3869039500270748,0.6223342920736089,0.13062440533317035
llama3-8b-inst,alphaedit,8,rho,100,0.9352932772573922,0.9329188973876579,0.9248051426904736,0.9468032292599573,0.9585498976156943,0.9900773094257754,0.8946268973475155
llama3-8b-inst,alphaedit,8,under_realization_coefficient,100,0.06470672274260764,0.06708110261234218,0.053196770740042754,0.07519485730952638,0.08445036405056713,0.10537310265248445,0.009922690574224569
llama3-8b-inst,alphaedit,8,tau,100,0.012054581056916869,0.011085290362824646,0.008227161374957636,0.013946902022580383,0.017410778252424725,0.04835691611044711,0.004551574417014477
llama3-8b-inst,alphaedit,8,gap_norm_over_R1,100,0.035546557280792236,0.03556048884242498,0.030249378995375727,0.04158661577103684,0.046589029401324096,0.061254645937147675,0.011882519063110466
qwen2.5-7b-inst,memit,4,rho,100,0.41403079247036095,0.4257562378216929,0.29600687666910663,0.5245562857345455,0.5551954707665195,0.7802984568320107,0.17599215362763318
qwen2.5-7b-inst,memit,4,under_realization_coefficient,100,0.585969207529639,0.5742437621783071,0.4754437142654545,0.7039931233308934,0.7736696528467525,0.8240078463723668,0.2197015431679893
qwen2.5-7b-inst,memit,4,tau,100,1.0149138075295367,1.0216580192372107,0.7794624757404375,1.2501455940318618,1.3796695986447483,1.7998669657584905,0.3235754213975975
qwen2.5-7b-inst,memit,4,gap_norm_over_R1,100,0.24031907751009765,0.23817605024698046,0.20319059551109644,0.27015222167692804,0.29437468279961976,0.3711344420933069,0.1676230926893001
qwen2.5-7b-inst,memit,5,rho,100,0.4436699922057484,0.4532248905613917,0.31477958975178433,0.5451983079131175,0.6518472020655418,0.8916753836084429,0.11325827655105189
qwen2.5-7b-inst,memit,5,under_realization_coefficient,100,0.5563300077942516,0.5467751094386083,0.4548016920868825,0.6852204102482156,0.7687921263981086,0.8867417234489481,0.1083246163915571
qwen2.5-7b-inst,memit,5,tau,100,0.8605110469472405,0.8497889662984115,0.6727735919621052,0.9996623003217118,1.128672749330407,1.6688195907043182,0.31844965283218896
qwen2.5-7b-inst,memit,5,gap_norm_over_R1,100,0.24788475528142986,0.2354772772970505,0.2205830982595301,0.2674554132986434,0.298214521229184,0.41650152520523454,0.17749677115801515
qwen2.5-7b-inst,memit,6,rho,100,0.6907628202999351,0.6855735398942826,0.6364465519026473,0.7622371845193224,0.8160813353093499,0.9776569375064039,0.4147626987436794
qwen2.5-7b-inst,memit,6,under_realization_coefficient,100,0.3092371797000648,0.31442646010571745,0.23776281548067757,0.3635534480973527,0.4536243290592352,0.5852373012563206,0.022343062493596078
qwen2.5-7b-inst,memit,6,tau,100,0.6151088139404675,0.58986271075628,0.5147976013196573,0.7212043466658125,0.8069496121344701,1.0492623947553026,0.37200830480044694
qwen2.5-7b-inst,memit,6,gap_norm_over_R1,100,0.20233195575883617,0.1988276170992774,0.16613309173718116,0.2299917003864379,0.2620341058325366,0.3479501989829476,0.110937448882126
qwen2.5-7b-inst,memit,7,rho,100,0.7272192342947552,0.7203836763251814,0.6951121988691411,0.7638110510687985,0.8132486285072287,0.8579439170007798,0.5685433787907946
qwen2.5-7b-inst,memit,7,under_realization_coefficient,100,0.2727807657052448,0.27961632367481865,0.23618894893120143,0.3048878011308589,0.3430470877738797,0.43145662120920536,0.14205608299922023
qwen2.5-7b-inst,memit,7,tau,100,0.3293505131016186,0.3139165411209901,0.2495557640444114,0.40269055343874527,0.446945120995423,0.6427378307459651,0.17624426447687208
qwen2.5-7b-inst,memit,7,gap_norm_over_R1,100,0.15146742268050692,0.1490489751042488,0.12030646334142056,0.1816506039396428,0.19550561490685114,0.24710858708489947,0.08163590677169492
qwen2.5-7b-inst,memit,8,rho,100,0.805098412829186,0.8071845444349157,0.7801098480678377,0.830374010022611,0.8517086920893499,0.8713888631161372,0.7208079872895018
qwen2.5-7b-inst,memit,8,under_realization_coefficient,100,0.19490158717081374,0.19281545556508423,0.16962598997738895,0.21989015193216227,0.24556471596946533,0.2791920127104982,0.12861113688386283
qwen2.5-7b-inst,memit,8,tau,100,0.0062450433256305785,0.005798516174920568,0.004517466769976464,0.006992574832864588,0.009664214261060913,0.01991870789309465,0.0023449446396569085
qwen2.5-7b-inst,memit,8,gap_norm_over_R1,100,0.0904414098364903,0.0883062946376054,0.0720105767700264,0.1082291201803484,0.13043976153623582,0.15784987910684706,0.043768616082917225
qwen2.5-7b-inst,alphaedit,4,rho,100,0.5783641639250253,0.573573532425727,0.5091619122414077,0.6291934887335628,0.6839235375183471,0.7673557984907774,0.4026168561462851
qwen2.5-7b-inst,alphaedit,4,under_realization_coefficient,100,0.42163583607497473,0.426426467574273,0.37080651126643716,0.4908380877585923,0.5340886614225346,0.5973831438537149,0.2326442015092226
qwen2.5-7b-inst,alphaedit,4,tau,100,1.3419681090144726,1.3278265965749734,1.1537969320031214,1.5461530334628062,1.7279675878212855,1.948045011177874,0.6876812632341466
qwen2.5-7b-inst,alphaedit,4,gap_norm_over_R1,100,0.2826344324029671,0.2811871221665693,0.24584096160536634,0.3200855430712043,0.3547039044399441,0.3947518421698489,0.15477532823073306
qwen2.5-7b-inst,alphaedit,5,rho,100,0.6445697965260357,0.6505769747003074,0.5557507877402931,0.7362516644373749,0.8000372002165546,1.0188285714573297,0.3128590000072775
qwen2.5-7b-inst,alphaedit,5,under_realization_coefficient,100,0.35543020347396415,0.3494230252996926,0.2637483355626251,0.4442492122597069,0.5236083139836194,0.6871409999927225,-0.018828571457329746
qwen2.5-7b-inst,alphaedit,5,tau,100,1.0299752689219916,0.9945426789387496,0.8884578515973367,1.1409109834864175,1.2544633359915476,2.2110054391511302,0.6456365957724928
qwen2.5-7b-inst,alphaedit,5,gap_norm_over_R1,100,0.2544291443733811,0.24577678680266357,0.21992115931625197,0.27834284374902607,0.31165034836564937,0.539892035216407,0.16373240834077263
qwen2.5-7b-inst,alphaedit,6,rho,100,0.876376616851595,0.8797361034702507,0.8223903291342829,0.923463300560583,0.9742008906115587,1.0793766764394046,0.6720958673157649
qwen2.5-7b-inst,alphaedit,6,under_realization_coefficient,100,0.12362338314840508,0.12026389652974934,0.07653669943941702,0.17760967086571705,0.21377428380906835,0.32790413268423513,-0.0793766764394046
qwen2.5-7b-inst,alphaedit,6,tau,100,0.6351391380457069,0.6438932677492017,0.5181871687407384,0.720373292892449,0.8142602667805289,1.0364424939322545,0.37616663477760487
qwen2.5-7b-inst,alphaedit,6,gap_norm_over_R1,100,0.17801276807642424,0.17793516653641972,0.13424833863225094,0.20570438502171903,0.2360209324735383,0.3270708860439855,0.09869321866888332
qwen2.5-7b-inst,alphaedit,7,rho,100,0.9752645650152145,0.9775631523950322,0.9476396721723013,1.002697609072552,1.0391878025523533,1.0998515767043024,0.8513805237264395
qwen2.5-7b-inst,alphaedit,7,under_realization_coefficient,100,0.024735434984785396,0.02243684760496778,-0.002697609072551954,0.05236032782769867,0.08711641094529389,0.14861947627356054,-0.09985157670430245
qwen2.5-7b-inst,alphaedit,7,tau,100,0.38275652852425796,0.3742828222372403,0.2965381241024114,0.45589007790539987,0.5331442357994884,0.7175506193197074,0.18894602914563197
qwen2.5-7b-inst,alphaedit,7,gap_norm_over_R1,100,0.11863829641918185,0.1158740642576907,0.08319576642168053,0.14493916955895658,0.16653439588553592,0.255962309344676,0.05316853901551491
qwen2.5-7b-inst,alphaedit,8,rho,100,1.0130433089456856,1.0105735044054178,1.0046854789420525,1.0186179717324841,1.0309254032956352,1.0561994359162534,0.9756493604955687
qwen2.5-7b-inst,alphaedit,8,under_realization_coefficient,100,-0.013043308945685545,-0.010573504405417822,-0.01861797173248403,-0.004685478942052568,-6.425473813318366e-05,0.024350639504431282,-0.056199435916253426
qwen2.5-7b-inst,alphaedit,8,tau,100,0.003002875086995845,0.002681185533251742,0.0017515864659293848,0.00378541610058078,0.004630405028568217,0.012226540569484396,0.0006886670577208061
qwen2.5-7b-inst,alphaedit,8,gap_norm_over_R1,100,0.00481397272490618,0.0037810229849451994,0.001789838833742639,0.006462519643157381,0.010344797757119415,0.017013417688007914,0.00022964340243043714
