model,method,batch_denominator,request_denominator,q_pre_L4_mean,q_pre_L5_mean,q_pre_L6_mean,q_pre_L7_mean,q_pre_L8_mean,q_post_L8_mean,q_pre_L4_median,q_pre_L5_median,q_pre_L6_median,q_pre_L7_median,q_pre_L8_median,q_post_L8_median,q_pre_L4_p25,q_pre_L5_p25,q_pre_L6_p25,q_pre_L7_p25,q_pre_L8_p25,q_post_L8_p25,q_pre_L4_p75,q_pre_L5_p75,q_pre_L6_p75,q_pre_L7_p75,q_pre_L8_p75,q_post_L8_p75,q_pre_L4_p90,q_pre_L5_p90,q_pre_L6_p90,q_pre_L7_p90,q_pre_L8_p90,q_post_L8_p90,q_pre_L8_gt_0_2_numerator,q_pre_L8_gt_0_2_denominator,d_parallel_mean,d_parallel_median,d_parallel_p90,d_perp_mean,d_perp_median,d_perp_p90,recurrence_closure_max,target_new_nll_mean,target_new_nll_median,target_new_nll_p90,target_true_nll_mean,target_true_nll_median,target_true_nll_p90,target_new_strict_numerator,target_new_strict_denominator
llama3-8b-inst,memit,10,100,1.0,0.9492541922963941,0.8911826045228481,0.803387575176975,0.6538784407408385,0.2882602384118054,1.0,0.9504164542818264,0.8922752533046863,0.8032471978144891,0.6467565327914275,0.280903150753657,1.0,0.9294767109533181,0.8597777850274323,0.7629070385929804,0.6068852218677486,0.25336970142750337,1.0,0.9666807719491355,0.9205284260373429,0.8438696374823879,0.7030049196745611,0.3190718295828697,1.0,0.9759714088263134,0.9429943180881237,0.8678822743752602,0.7396309115745958,0.3553211298399759,100,100,0.3134365331104252,0.30282601538057663,0.3969249259486177,0.4004578338619986,0.3909728767349159,0.47176797128930015,6.292695403398132e-18,0.22666309738568088,0.002768137608654797,0.04123607277870186,12.30502172511071,11.581907272338867,17.65062675476075,97,100
llama3-8b-inst,alphaedit,10,100,1.0,0.9424035971958723,0.8721392043494863,0.7525190197328623,0.5417509988284102,0.035546557280792236,1.0,0.9352435281790716,0.8673441730746252,0.7370889109748358,0.5296271104034957,0.03556048884242498,1.0,0.9165129753128949,0.8293616134699228,0.7014191336661177,0.4835464907352423,0.030249378995375727,1.0,0.9675532418584498,0.9195894336827005,0.8085948485465441,0.5864031574424635,0.04158661577103684,1.0,0.9868201005445507,0.9460969801925102,0.8413555023845883,0.6361100096187489,0.046589029401324096,100,100,0.13316763295987233,0.13045954400250584,0.17514362296980154,0.42418463284318214,0.40413450120056116,0.5303619888771225,9.868155830837984e-18,0.0008141292525760946,0.0005689432728104293,0.0021973887691274286,15.290966472625733,14.543044090270996,21.324364662170414,100,100
qwen2.5-7b-inst,memit,10,100,1.0,0.94172908745446,0.8638359635203843,0.6904071166719433,0.4564552362130525,0.0904414098364903,1.0,0.9408798227223418,0.8644760908514288,0.6866620508373337,0.45492627194497265,0.0883062946376054,1.0,0.9293666014200749,0.8355431650494394,0.6537549987142616,0.42207474082856644,0.0720105767700264,1.0,0.9562709266814027,0.8888774289422232,0.7285663012962558,0.49026530614332087,0.1082291201803484,1.0,0.9642639541829114,0.9279221613128876,0.7772021727892752,0.5469443188453347,0.13043976153623582,100,100,0.17666582349945087,0.16802747017459596,0.24744607936638013,0.2531213103793095,0.24573005551405327,0.3159800652260212,9.819609535267497e-18,0.016607063092360475,0.008400727529078722,0.043942386656999594,15.031133661270141,14.30262041091919,22.033864021301273,100,100
qwen2.5-7b-inst,alphaedit,10,100,1.0,0.9258594218430025,0.8140382883433236,0.6034273899542227,0.3329490621722092,0.00481397272490618,1.0,0.9238406942996982,0.8119380989157224,0.5998297312700891,0.327674089910727,0.0037810229849451994,1.0,0.9132591311403466,0.7798350054700962,0.5602587568563799,0.2962265917021286,0.001789838833742639,1.0,0.9388055267756736,0.8379586368395567,0.6404687405659729,0.36337518810875125,0.006462519643157381,1.0,0.9505905490933438,0.8593968674881475,0.6703374193688216,0.4031090662289615,0.010344797757119415,100,100,0.04268648382955944,0.045458287030816336,0.07274473591030217,0.2252139239512146,0.22218880775672012,0.2990367282969375,1.0493210486029998e-17,0.02014243424106098,0.010716437827795744,0.05460469424724579,14.610631432533264,13.562943935394287,21.21343250274658,100,100
